,sentiment,wordCount
*I. FUCKING. LOVE. THIS.*,0.6697,10
11:50 when flashback try to sneak up on you and you only get half of flashback marry off you,0.0,19
4:00 FAR from the most problematic!,-0.54,7
4:03 no ur wrong Logan Paul and Jake Paul are the most problematic YouTubers of all time,-0.8173,17
8:45 IT REMINDS ME OF THE POWER OF MAKEUP,0.0,10
A room tour  James: oops 😂😂💀,0.0,9
"AHHH you must be so stressed!!  Being watchedso closley by the internet. Ifyou trip haters are gonna make fun of you. Sorry i dont know where i was going with that, I love you and support you.",0.6331,43
ANNA RAFAILOVIĆ06 idi leči se,0.0,6
"Africa's a really nice place,since i live in the uk i think its 4 or 6 hours away",0.4754,20
Alguem assistindo em 2018?,0.0,5
Amazing xx ly,0.8126,3
Apartment tour PLEASE,0.4648,3
Apartment tour 😜😜😜💕💕💕❤️❤️❤️❤️❤️😁😘😘😘😘😁😁😁😁🌸🌸🌸,0.0,28
Apartment tour!!,0.0,4
Are you naked no hate just asking,-0.7096,7
At first his eye makeup looked like a tide pod😂😂,0.3612,12
Awhhh james i love u so much i know im late but cant believe i didnt see this till now shame on me,-0.3716,23
Beautiful!!!,0.6981,4
Because he can express himself through this type of art. And he likes it.,0.4215,16
BellaTiger true 😏😏,0.4215,4
Brasil?,0.0,2
Brother Ian got me dying lmao 😂,0.5994,7
Can you please come to Kansas el dorado,0.3182,8
Congrats you became the first cover boy on my birthday,0.5267,10
DAMNNN💕💕💕,0.0,4
"Dear James , people may say be yourself , but this is new level . Do you . Everybody else is taken",0.2023,22
Did he delete his solar eclipse look?,0.0,8
Divaza gringa,0.0,2
Emma Grant ok i already Know fron BellaTiger,0.5719,8
Excuse me James Charles can you please like and subscribe my YouTube channel only has one subscriber sadly my YouTube channel’s name is Benlamp lamp 63,0.3182,28
FYI you are AMAZING,0.7944,4
Felipe's vlogs Because he can... It’s pretty self-explanatory.,0.4939,12
Flashback Mary... Flashback Mary.... HI SISTERS!!!! (I threw my phone 😂),0.0,18
Games Charles you’ve help me improve my life and some other YouTube or‘s but you just inspired me you help me get through life easily and you help me when I’m sad so just wanted to say love you sister,0.9636,46
Gey,0.0,1
Gorgeous sister xx,0.6124,3
Graduating early = dropping out,0.0,5
HIS TEETH ARE SO WHITE WHATTTT,0.0,6
He is seriously an amazing artest and person!! !I love him so much. :D,0.9258,18
He looks like a kpop star on the set.......,0.3612,10
He should do a collab with Liza koshi,0.0,8
"Hey Sister,why is says this at begins?But your Video funny.",0.4404,15
Hey buddy I literally started watching you last night and I already say “Hey Sisters” we all love you and keep up the amazing work,0.8402,27
Hey sisters,0.0,2
Hi I am so so happy after watching your vid I love it some time soon can you plz do a only using kids make up challenge xx,0.8977,28
Hi James Charles my name is Ben and you’ve been pushing my life to the limit kind of like you to help me go through rough times. and you always make me laugh. so James Charles you just keep on doing you. and I just love your videos . ♥️love sister Benjamin,0.9137,59
Hi miy name is shyra and I love you,0.6369,9
How can people not like him fr he's so down to earth and such a kind spirit,0.457,17
How long does it take to do your make up in the morning?🤪💕,0.0,16
How many times does he say literally? Someone tell me!,0.0,12
"I LOVE THIS ! so much 
#teamsisters !",0.7592,8
I Love your videos ❤💙💛💜💙💛💙❤💚💙💛💚❤💙💛💚💜❤💛💙❤❤,0.6369,26
I absolutely love this look,0.6697,5
I almost cried it is so beautiful love you sister,0.8467,10
I am a boy and inspire me to we’re makeup,0.5719,12
I am such a big fan of you you make me cry with your story I love it,0.5267,18
"I can't thank you guys enough for everything you have done for me. There have been so many moments this year where I have broken down and almost given up, but your love and support pushed me through and I can honestly say while this year has been a roller coaster that I would never ride again, it's been one of the best years of my life. I really hope you guys enjoy this video, I poured my heart and soul into it and I hope that translates well. You sisters mean the world to me. Happy new year.",0.9913,107
I cried 😭,-0.3818,3
I did see James on “Keeping Up With The Kardashians” or whatever,0.0,14
I don't even get in 1 second in the video and I smashed that sud,0.0,15
I don't think ppl truly hated u for the tweet cuz if u think about it everyone says dumb shit and the internet loves to attack I thought the memes were funny and u should make more shit like flashback Mary,-0.8963,41
I just get lost in you eyes...beautiful ❤️❤️😇,-0.3182,14
I just realized that Bethlehem ny is an hour from where I live??,0.0,15
I just started watching you too...so,0.0,8
I keep coming back to this video it is my aesthetic,0.0,11
I know you probably see me as another support yeah nothing special about what I say but your so pretty,0.8174,20
I live 30 min from Bethlehem NY I go there for shopping,0.0,12
I love all the sisters❤️😂!!,0.6988,10
"I love how artistic you are, I wish I could be as artistic as you",0.7845,16
I love how real you are you are amazing we need more people in the world like you,0.8885,18
I love how you are proud of who you are #Sisters wish i could meet you #sisters,0.875,17
I love how you do your makeup your such a inspiration,0.8225,11
I love this sooooo much!!! OMG I just became follower but I can’t believe how into this I am!,0.5815,25
"I love you james, I live in a family of people who, at one time, hated you, but, I somehow, convinced them to love you. altho your probably never gonnna see this, I just wanted you to know thjat I love you, flashback, your makeup, and how you don't care what people think. I love you james, and I will never stop.",0.9714,76
I love your eyes! (Don’t mind my picture lol),0.6696,14
I love your makeup tutorials,0.6369,5
I love your saying hey sisters lol me and my friend call each other it ily so much xx,0.9393,19
"I never comment on videos but I have to say this is inspirational and shows a lot about how self reflective you are, which is incredible for your age. It made me proud and happy watching this even though I don’t know you personally. Way to go! Can’t wait to see what the future holds for you. 

Xo from Germany",0.9427,69
I really want to start a youtube channel about makeup because I want to become a Proffesional makeup Artist and I watch youtube videos so I get inspired and you and different youtubers are my role models really love your videos and this video is the Best 💖💖💖🙌🙌🙌💗💗💄❤❤💋💋👣💅,0.9367,62
I thought this was a makeup tutorial. This is turning into about my life,0.0,15
"I wish I could do make up like you , you
Should see the make up I do it’s nothing but basic crap",0.6571,25
"I wish I could meet you James! I'm sure you here this millions of times a day.... But I genuinely do! You are so inspiring, positive, confident, and so inspirational! Your such an amazing sister! But I know I could never afford to meet you and my family probably won't like me watching and wanting to meet a male YouTuber who does makeup. But you are a GENUINE inspiration to me and I just dream about the day I could meet you! Well, enough depressing stuff. Love you sister❤️",0.9855,103
I wouldn’t have known who James was if it wasn’t for that Covergirl SO LASHY! Mascara commercial 💜,0.0,23
I'm so proud of you and the person you have become. I hope this year is full of blessings. I love you!!,0.939,26
Idk why but this almost made me cry 😩 I’m so happy for you,0.3685,16
Ily 💗,0.6597,2
Is that the Morphe blending sponge?,0.0,7
Is you..... mmmmm,0.0,4
"It’s a 180 degree turn, sweets.",0.4939,10
JAMES CHARLES NOT TO BE RUDE BUT ARE U A BOY OR A GIRL IM CONFUSED IM NOT A HATER OK,-0.705,21
James Charles CAN I BE YOUR SISTER,0.0,7
James Charles I LOVE YOU💓💓💓💓💓💗💗💘💘💖❤️💓💚💚❤️❤️💗,0.7125,23
James Charles I’m so proud of you! I love you James. ❤️❤️,0.8585,19
James Charles MUCH LOVE BABEZZ,0.7125,5
James Charles congratulations,0.5994,3
"James Charles dude just remember everyone is QUAKING because of you, we all love you so much, strut on them haters and remember keep on slaying even when you feel so low",-0.6091,34
James Charles i love you so so so much,0.6369,9
James Charles love you so much you are my inspiration,0.8225,10
James Charles omg yassssss,0.0,4
James Charles q,0.0,3
James Charles this is such an amazing video! Good job James!,0.8065,13
James Charles u are sooo amazing. Go wild,0.5859,9
James Charles u r so cool and I hope I meet u 💝💝,0.7315,14
James Charles مممم,0.0,3
James I love this video and I absolutely love all your make up if I had all the make up I would make this but I can’t🦄🌈😜👍🏻❤️,0.6369,36
James I'm so proud of you!!,0.6783,8
"James I’d love to see a video on getting started and the basics of creative makeup such as this look! Or even what brushes, tools and pallets are your go tos! HELP A SISTER OUT💕",0.9025,41
