,sentiment,wordCount
100 years dam and it was almost finally over in 2008. lucky bailout,0.34,14
40 year old helicopter,0.0,4
90% of people will buy this truck only for the LED running lights.,0.0,15
A European dude presenting what's supposed to be an all American truck.  Piss off.,-0.4019,16
A cross between a f150 and tundra. Not a chevy fan but it still looks cool.,0.5574,18
"ATOSPLORER LS lol get a life, you have nothing else to say but, “your mom,” lol so basic",0.6808,23
Again chevys are piles of shit. So are fords.,-0.5574,11
"All those lines are for preventing dents. So, must be thin skin",-0.0258,14
"And Chevy Silverado breaks every 1000 kilometres so you better of with a F-150 believe me 
Ford 150 is the most sold vehicle in the world and its worth it Chevy not so!",0.6565,36
Another 5ft tall front end with small wheel wells as usual. Meh.,0.1779,14
Are the heavy duty trucks gonna have the same look as well? Also will chevy be putting the 6.2 ecotec3 in the heavy duty trucks as well?,0.5514,30
Ay what you learn from your customers is how they hate it,-0.5719,12
Brandon Dogoncrack ....'Freaking'🎓Your Welcome☺,0.0,10
"But, I Dont know. The front kinda looks like, a new F150. And the back looks kinda like a mix between, a tundra and an F150. Idk. I could be wrong.",-0.0146,39
"Buy toyota Hilux , best pickup u can get",0.6369,9
C10 k5 both look alike too...,0.0,7
"Can sure tell that ford and gm had to combine here, but didn't know that Toyota tundra was involved. Geezz gm get a decent design on your own. They have been ugly as shit since 98 now you have a tundra body with a half ass looking ford front end and a ford transmission. What You gonna do or copy nxt. Lol.",-0.8945,68
Can't believe they got rid of the scooped hood,0.0,9
"Can't wait for my man mahk to make fun of  this shit

Lmao",0.5574,13
Can't wait what stupid commercial you're going to come up with the Emoji I'm thinking it's a piece of shit,-0.2081,20
Can’t wait till mahk makes a video,0.0,9
Charles White64 freakn stupid,-0.5267,5
Chevrolet asta en las alturas...,0.0,6
Chevrolet everyday. 😎,0.0,4
"Chevrolet is so stupid with their bullshit gimmicks. Don't they realize that their commercials and now this lame ass stunt make them look like a bunch of fools? I bought my new F 150 just because of their dumb ass commercials. By the way, that truck looks terrible! They make it so easy for Ford to stay on top!",-0.9704,65
Chevy = Mahk,0.0,3
Chevy = the best,0.6369,4
Chevy trucks used to be the longest lasting trucks but after the gmt400 their junk,0.0,16
Congrats chevrolet on 100 years of making the best trucks i cant wait to hear about the all new SILVERADO THE KING OF TRUCKS,0.8225,24
DJBATMANGOLD The new Ford like a Chevy. Chevy grille with a prominent bar running across the middle. Stacked headlight on each side. This on the other hand looks nothing like the F-150. So any truck with LED accents is a Ford ripoff now?,0.8591,50
"DJBATMANGOLD the back i feel is intentional its the 100 years of chevy trucks, old chevy trucks had lettering like that on the tailgates , possibly",0.3612,27
Da best😁😁😁🖒🖒🖒,0.0,8
Damn now that's a truck ford is dead because of this truck,-0.7906,12
"Dean Hoskins that and thats the offroad edition so hopefully the more standard silverado still have the chrome and maybe look better , and the tailgate i like",0.8356,28
"Dean Hoskins too my grandpa has an 2001 Silverado, I think it might be Ls or LT I don’t remember but dam it’s been running for 18 years! And I think over 400k miles on it",0.0,42
Derek Ortiz  have to wait and see,0.0,7
Did they have to make it look like an f-150?,0.3612,13
Don’t make the 3/4and up  look anything like this please 🤮🤢🤮🤮🤮,0.628,18
"Dude have you signed up for the Chevy benefits? Cause if you have an old Silverado or any truck of Chevy you can get exclusive meetings, exclusive car shows specifically for Chevy, and good deals for a new truck!",0.7777,43
"DuraMAxFanatic  hahaha yes, but this is because you have a duramax inside. And this is the best part of the truck ... and this part is done by Isuzu. Same as the Colorado Dmax. Chevy forgot how to do the only thing they used to do well. What a shame...",0.9118,56
Fake as hell,-0.8271,3
FazeTug chutie ke lal apni fati huyi gand Band karale OR chut ki pille bolna sikhle fir besti Kariyo jo tere bas ki nahi Hai Randi ki aulaad,0.0,28
FazeTug you are son of bitch don't know anything. Motherfucker,-0.0351,11
For ducks sake! If it ain't broke don't fix it.,0.3867,12
Ford F-150,0.0,4
Ford and tundra fucked without a condom and they got a baby Chevrolet,-0.6597,13
Fuck ford,-0.5423,2
"Fuck oil, TESLA FTW",0.0601,5
Fucking ugly,-0.5563,2
Fucks*,0.0,2
God I hope the GMC looks better.,0.7845,8
Great Job Michael on the commercial,0.6249,6
"Grindstone he’s finally dead, that shit is fucking annoying af and how does he have time to even talk shit, he must not work and has to talk shit about things that are really good so he can feel at least somewhat better",-0.923,47
Had to watch it twice. Love the truck.,0.6369,10
Hahaha same exact thing i thought. Ford front end and tundra bed,0.5574,13
Hahahaha wtf is that an f150 lol come on chevy really!!!,-0.4359,14
Hartley Builds lmfao lmfao,0.7906,4
Hartley Builds that Honda looks cheap do not talk shit,0.4449,10
"Hartley Builds.  If it looks like a ford they have made a huge step forward which they did in looks, but it's still a chev and still kinda ugly but the best since 98. Gm💩",0.6357,39
"Headlights are ugly , looks like a weird mix of other trucks . Sad the ford looks better",-0.4019,18
Hearing voices? Might want to get checked out.,0.0772,10
Hey Chevy how bout you stop paying do much for advertising & pay some of those family's of the people you murdered?,-0.7906,23
Hey hey. 'I'll' your welcome,0.4588,8
Hey idiot. Why do you think I put it in quotes. Go suck your moms tits,-0.7964,18
Hey that I and g save time lol so freakn is good lol,0.8993,13
How many chevy trucks are built with a manual transmission? FUCKING NONE. Obviously nobody at GM listened to anybody that wanted to drive a chevy truck on anything other than a gravel road. Gross.,-0.5574,38
Humberto Rubi agree!..diesel is for making power...gas is for cleaning parts!,0.0,17
I bet they listen every customer there. They have been needs to get caught up in HD side of things example 6.0 junk needs updated in the worst way get ride of the 4:10 gears. Then maybe I will purchase another chevy truck,-0.6249,45
"I drive a 2005 chevy silverado but I will never drive this silverado, it looks like a box",0.5023,19
I have a chevy truck year 15 reason why i got it was the classic look to it compare to the 16 n up sporty look .i love chevy trucks but not feeling this doesn't have that chevy look no more !,-0.261,43
"I have to admit you boys have  done a splendid job of conceiving a 2007 TUNDRA with the F150. Nice wheel wells too, that's a serious improvement.",0.9022,30
I hope so!,0.4926,4
I hope they just straight up dont put any chrome on the front end cause based on the front end shown that would look ugly as sin,-0.4767,27
"I like it
But you should Black the letters on the rear",0.3612,12
I love Mahk ! He is make some good FUN of Chevy,0.9086,12
I love it  very good  Chevrolet  best,0.9162,7
I purchased the 2500hd brand new in 2015. After 6k miles the frame began rusting significantly along with many other parts on the truck. And of course this company did nothing for me. Never again.,0.0,39
I thought I was the only one guess not,0.0,9
"I wanna buy an american truck to look america, this shit looks chink . Fucking hell chevy",-0.8791,18
