,sentiment,wordCount
"""Learn to Turn"" needs to be a national PSA. #verticalvideossuck",0.0,13
"""To honor America and those who protect it."" Passive aggressive much haha",0.8402,15
*patriotism intensifies*,0.0,4
5 Subscribers & trending 👍🏽,0.0,6
715490 926 Sorry I forgot,-0.0772,5
A LITTLE EFFORT BY TURNING THE PHONE AROUND AND A BIT OF ZOOM.,0.0,14
All I want to know is: Who arranged this?,0.0772,11
America!!! frick yeah!!,0.5216,8
Bankside1997 Trump restored my faith in this nation. God bless ☺️,0.8442,14
Best trending video I've ever seen.,0.6369,7
Better than Pink,0.4404,3
"Christina Brodt Sorry, only in graphic novel format :/",-0.1027,10
"Christopher, where can I find this arrangement?",0.0,9
DON'T BRING THAT SHITHEAD IN HERE.,-0.6249,7
Dang that gave me chills! Awesome!,0.6892,8
Does Trump play trombone?,0.34,5
Donald Sherman - Dude it BLOWS !!!!!!,0.0,9
EVERYBODY BETTER FUCKING STAND UP OR YOU CAN GO TO FUCKING NORTH KOREA!  STAND FOR... FOR... VETERANS!  STAND UP YOU UNGRATEFUL PIECES OF SHIT!  YOU LIVE IN THE GREATEST COUNTRY EVER SO YOU BETTER STAND UP!  RIGHT!  FUCKING!  NOW!,0.6776,48
"Free* and the ""brave""",0.0,7
"From a former trombone player, good motherfucking job!",-0.2942,10
Fuckin Americans are so easily impressed Lolll,0.7575,7
Gay song.,0.0,3
"Good luck on your careers as rapists, NW whites.",0.1531,11
"Good playing, killer bass trombone, good ensemble, bad rendition",-0.296,12
Gorgeous.,0.6124,2
"Great video I see you made the trending page good job... keep uploading more videos.. watch the videos I just uploaded it’s hilarious 😆 try not to laugh challenge , have a blessed day & please let me kno if I can help with your channel",0.9377,50
"Have you ever listened to The Britch Boys album, Poop Sounds? Highly recommend.",0.4201,16
Heck yes! America!,0.508,5
Hilarious Guy how i do get on a trandimg page?,0.4019,11
Honestly this really BLOWS !!!!!!! HA ! HA ! HA ! Really it Blows !!!!,0.9367,19
How could anyone not like this rendition?,-0.2755,8
I bet some dumbass​ was on their knees somewhere,0.0,10
I don get eet,0.0,4
I had to come and listen to this after hearing Fergie's version.,0.0,13
I have listened to this at least 20 times today. Such a great job. Both the arrangement and performance was just incredible.,0.6249,25
I need a studio version of this,0.0,7
I think some of these musicians are minors.,0.0,9
"I used to play trombone and this gave me the chills! I love the dynamics, and the choir is extremely talented! Great job!",0.9555,27
I want refund.,0.0772,4
I was at the game and was privileged to listen to this rendition of the Star Spangled Banner.  What a talented group of musicians!  Thank you.,0.8398,29
I'm not even american and i want to stand up for that.,0.0772,13
IDIOTS TOO LAZY TO TURN THE CAMERA. EVERYONE HAS A HD WIDESCREEN IN THEIR LIVING ROOM YET THEY WATCH VIDEO'S ON THEIR PHONES...IN PORTRAIT MODE.,-0.3612,29
If you imagine them singing then you can hear the words at some parts,0.0,14
It's 2018 and ppl still don't get it smh,0.2411,9
JEEZE TURN THE CAMERA AROUND IF YOUR GONNA POST ON YOUTUBE.,0.0,12
Laura Vega - Do you know that their isn't any proof that Jesus existed and the Bible is a man written book by the upper class to control the lower class .,-0.296,32
Lol 9 subs and on trending,0.4215,6
Lu Tello What is wrong with vertical?,-0.4767,8
"Lu Tello the stadium is both horizontal and vertical,  guy",0.0,11
MICHGO1 wtf who whatches youtube on a tv. And this is for the music.,-0.5859,17
"Makdizzle783 our president is russian, or can you not see that? Plus, are you really triggered for a little song? Jeez",0.0,26
Makes me proud to be an American and a Trombonist,0.4767,10
Matt561 Somebody call the wahmbulance,0.0,6
Matt561 This is a music video.,0.0,8
Me Chinese. Me no dum.,-0.296,7
Minnie Mouse - Oh you mentally retarted !!!!! Ha! You thought i was gonna be politically correct !,0.5526,21
Minnie Mouse - That cuzz U stoopid !!!!!,0.0,10
Minnie Mouse you are hilarious.,0.4019,6
Murica,0.0,1
Nice butt!,0.4753,3
Nice vertical video. What is this? 2000?,0.4871,10
Nico The Rabbit a trombone is an instrument. Not a type of bone.,0.0,15
Now compare that to Donald Trump.,0.0,7
"Ny band teacher was just showing us this video yesterday, and now it’s on the trending page",0.0,20
Only if there's a way to include the whole band in the video...,0.0,14
PurpleCake he actually wrote “America”. Get the cum out of your eyes and maybe you wouldn’t make an ass out of yourself.,-0.5423,28
Restoring American pride day by day! 🇺🇸,0.5983,9
Robert Zimmerman,0.0,2
Roderick Harkins! It was a lot of fun to play!,0.7418,12
Rogers & Hammerstein,0.0,3
Such great sound but my god turn the phone landscape for all that is holy,0.6369,15
THAT WAS EPIC  :),0.4588,4
