,sentiment,wordCount
"""FAMILY GREATLY""",0.0,4
"After eating Mac and Cheese for so long and found out there is no cheese in it, just plain GMO posion, avoid Kraft foods if you life is depending on it. they cheat just like the Patriots. They shouldn't be in the Super Bowl, that place belongs to the Jags.",-0.0,56
America doesn’t questions ethnicity we just want our laws enforced stop this nonsense Kraft what a cheesy commercial. Quit avoiding and blurring the lines of the rule of law it’s unAMERICAN and quit trying to call an apple a banana.,-0.7525,46
And they say comedy is dead...,0.3612,7
"Anyone else remember going to school as a little kid with your sandwhich in a Kraft sandwhich-shaped container?








Just me?",0.0,22
Anyone know the song in the background?,0.0,8
Are you okay????????,0.0,6
Beautiful ad.,0.5994,3
Because Kraft owns 90% of American food.,0.0,9
Big deal who cares about comercial .👎,0.4588,8
Big dick otaku daddy 69 it is poison,-0.7783,8
Blikii All of them are trending,0.0,6
Blikii most of them were complete utter shit,-0.5574,8
Cece Ruben Same here!,0.0,5
Cheesy,0.0,1
"Cheesy, expedient, processed garbage masquerading as something of high quality.

Just like Kraft Singles........",0.3612,18
Cook deputy realm all stretch involvement lens approval operate seize.,0.4767,11
Corporate Bullshit. Nice pictures but fuck kraft. Moneywhores. Quit tryna make a cheese company more family than cheese. Its easy to see all you care about is profit. You cant brainwash everyone dumbfucks.,0.775,39
Did you pay Super Bowl ad money for this corny and patronizing crap?,0.2263,14
Every goddamn ad has ' is this a tide ad ' in the comments and personally I see no problem with it lol,-0.6369,23
"Farting can make someone smile too. So, fart away!!!",0.5229,14
Fucking cringe,0.0,2
GOD BLESS.,0.5994,3
Guys I swear I just got free $2435real money from this amazing website>>>>freepplmoney.win/?grv1IU Try once.,0.8225,21
Haters gonna hate.  Fuck y'all,-0.886,6
He said as he posted his opinion under the opinion he just read and doesn't care about.,-0.3875,18
"Hiring papers from corps = DESTROY your right to a trial by making you sign an arbitration agreement destroying your right to a trial. You sign you will not talk about the company on social media - destroys your right to free speech. Drug tests, violate your right to privacy along with criminal background checks and credit checks! WAKE UP US! DO NOT SIGN YOUR RIGHTS AWAY THE  SATANIC FUCKING CORPS!",-0.8959,77
How much anti-White propaganda can you fit into one commercial?,0.128,11
I DON'T SEE ANY STAINS ON ANY OF THESE PEOPLE!!!,0.0,13
I actually like this idea. People got to see themselves in a Super Bowl commercial.,0.7506,17
I couldn't handle any more diversity/multicultural commercials. Thank God the game didn't go into OT. What happened to the funny commercials?,0.7759,26
"I family my family family-friendly without any mayonnaise, because it's not good for my family's health. Water on the other hand is good for health so just spread your toast with water Justin.",-0.1561,36
"I just watched Kraft's ""family"" ad. The notion that an ad on a family show such as the Super Bowl should promote deviant familial relationships is nauseating. Kraft should be condemned for promoting relationships that the Judeo-Christian ethic defines as abominable.
The same is true of T-Mobile's advertisement (the one with the babies, which states that it does not matter who you love).. The purpose of these ads is to get our children to falsely believe that all kinds of relationships are equal. But they are not equal! There is a right and a wrong; by confusing the two, Kraft and T-Mobile are undermining the moral fiber of our society.
So WHILE THE NFL TURNS DOWN AN INNOCUOUS AD in support of standing for the national anthem, it has no problem approving ads that destroy morality! Avi Goldstein",-0.607,154
I mean would you have this or commercials with political undertone,0.0,11
I was actually surprised my family picture made it on the commercial. I had no idea you guys emailed me about it but thanks for giving me my family 31 sec of fame.,0.8922,35
Imagine being so stupid that you seek out commercials because some guys in tights threw the ball again.,-0.656,19
Interesting.,0.4019,2
Is this a Tide ad?,0.0,6
Is this a tide ad too?,0.0,7
Issa tide ad,0.0,3
It's a Tide Ad.,0.0,5
Just shut the fuk up and make your mac and cheese that's what you're here for,0.0,16
Ki nn so what,0.0,4
"Kraft Foods are a good way to kill yourself, according to Tom Brady's facebook show.",-0.4215,17
Kraft Heinz,0.0,2
"Kraft does not discriminate and is proud to provide ALL families, old, young, gay, straight, interracial...EVERYONE...with Diabetes and high cholesterol.",0.6124,30
"Kraft...providing non-nutritious, high calorie food to poor people worldwide.",-0.4767,13
Lol there is a right way to family,0.4215,8
"Looks like Kraft is angling for ""commercial that conservatives angrily tweet about"" this year.",-0.0772,17
"Love this commercial!  My friend's daughter is the first picture you see, the little girl holding the football.  Go Lilly!!!",0.7482,26
Matthew Vibbard our picture was in it? They put out an twee saying post your favorite picture and tag us and we might put you in our commercial.,0.4588,30
My doggies made it on the logo! Haha,0.5093,9
"No,No Hans. It was actually edible at one time. Seriously,back in the 60's.",0.0,22
Not terribly exciting but still a good commercial as compared to some of the other duds.,0.5647,17
Notice the pictures they chose. No stains. It's a Tide ad.,-0.296,14
"OMG PLEASE NOT MORE SJW BULLSHIT  add this to the fake food, HFCS and salt in the boxes, guess I can skip kraft products in the grocery store now as well",-0.6678,33
Only chose pictures without stains. It's a Tide ad.,0.0,11
Outstanding work and ...very tricky to produce...Great Job,0.5267,11
Recent worker snap entitle summit none celebrity crucial thanks part.,-0.3412,11
So glad I watched that ad before reading this comment.,0.5095,11
Suck a dick kraft. I eat real cheese.,-0.7351,10
Super dumbasses is what it takes to watch such trash.,0.5994,11
Surprised plan parent hood didnt do a supper bowl add. Would show a child with down syndrome and teenagers eating tide pods,0.2263,23
Thank you for putting us in your commercial😘,0.3612,9
Thanks Kraft this made our night and using our photo. If one 30 sec. commercial can put a smile on someone face then I say. GREAT!,0.8891,30
Thanks Kraft!,0.4926,3
Thanks Kraft! Lol,0.7177,4
"Thanks Legs, I was one of those people. And I have been interviewed by radio, newspapers, and TV. It is a wonderful ride.",0.765,29
The fuck does this have to do with cheese,-0.5423,9
The makers of artificial cheese present: artificial families!,0.0,10
The thing that sucks is that you guys messaged us and we went through the whole confirmation process and still nothing,-0.3612,21
There are some other great commercials out there that include diversity/multicultural commercials that I like very much. I simply just find the commercial not exciting. I just would have preferred something with a bunch of little kids of any or all ethnicity chowing down on some kraft dinner and having fun with each other doing it.,0.8059,61
There is da wae too,0.0,5
"Think of all the animals that suffer for this company to profit, theirs gotta be a better way to make sub par products.",0.3182,25
"This is such a lazy commercial.
""I have an idea! Get people to send us pictures and we'll string them together in about 5 minutes with someone saying some pandering crap over it!""",-0.6892,38
