,sentiment,wordCount
"""Only if I get to parade my sick son around for my political agenda.""",-0.5106,17
"""Well I was hoping it would be Peter""

HDJDJD LITERALLY EVERYBODY",0.5994,13
- ight,0.0,2
- iiiiiiii-,0.0,3
1:10 Riiiiiiiiiii-,0.0,3
"36 year old B.M 
Marilyn Monroe
=Bekah M 
www.Facebook.com/NadiaWriterSiddiqi",0.0,12
7906 059 7083,0.0,2
Adorbs!,0.0,2
All she needs is a propeller on the top of her head and she could fly away with those giant earrings.,0.2023,22
Are those earrings red chinchillas?,0.0,6
Are those kitty socks hanging from her ears?,0.0,9
"Are you looking fora mailchimp expert person or virtual assistant for your Shopify and other business.I am here.Quickly contact with me.https://goo.gl/uy85uJ
I will provides:
1.Mailchimp setup
Integration with Shopify, Woo-commerce, Facebook, Twitter, landing page and other site
Automation Campaign setup
Responsible Templates design,
Listing

2..Landing pages design using
 Leadpage
Instapages
Clickfunnels

3..Shopify
order fulfill using oberlo and manually.
Products upload 

4.Virtual Assistant
Lead Generation 
Data entry
Web Data Scraping and Web Research",0.6369,88
As sweet as she is she just isn’t mature enough for Arie. She looked like a little girl crying to her daddy when Tia upset her.,0.7334,30
BEKAH FOR BACHELORETTE,0.0,3
BEKAH’S THE ANTICHRIST LMAOOO,0.0,6
"Based, on the comment about wishing it was Peter, I'm guessing she wasn't that into Arie.  Can't really blame him for sending her home.",0.4858,28
"Becca is not too young for marriage, Arie is just too old. 🤭",0.0,15
Becca looks like Betty Boop,0.3612,5
"Behka is the most beautiful girl on earth, a classic beauty and a throwback from the 20s and 30s golden era of movie starlets!!",0.8617,27
"Bekah can do so much more than be a real estate agent's wife. I'd watch a show about her interesting cool life, she has such a great attitude and energy.",0.8807,33
"Bekah is DEFINATELY hot & wifeable. I would give Bekah at least 2 kids, myself. ""B"",  holla at a brutha, ah'ight! @ 3:19 , Nooo! You need to get pregnant now, babe!",0.0,43
Bekah is by far my favorite ever!!! She's so adorable and mature and an overall great person,0.9447,20
Bekah is in a league of her own.,0.0,9
"Bekah is just adorable & it won't take long for her to find Mr. Right, but what's the hurry, he'll find You now.Just be careful, there's alot of jokers out there!!!!",0.6331,38
"Bekah is so cute! Jimmy, have her as your Official Bachelorette reporter for Becca's Season! Bekah on Becca! Arie is so going to show up on Becca's season wanting her back!  Wait and see!",0.7214,40
Bekah or Kendall for the next bachelorette pls,0.0772,8
Bekah was by far the youngest yet more mature than most of the women on this show.,0.4754,18
"Bekah was my favorite on the show.  She really stands out -- brains, maturity, and stunning beauty.  She reminds me somewhat of the woman that played the role of the female bush pilot in the old series, ""Northern Exposure"".  I think Bekah is more than mature enough to be married;  Arie is not.",0.931,64
Bekah was the best of them all. Big deal. 22 is old enough/ Cute babe and so cuddly,0.802,21
"Bekah is so way over the top in everything she says and does. She is fame hungry and was embarrassingly silly on AFTFR, she constantly wants the attention...yuck!",0.3382,33
Betty 😱😳,0.0,3
Boring,-0.3182,1
Check out my football highlights,0.0,5
Come marry me. I'm the same age lol,0.4215,9
