,sentiment,wordCount
#TEAMAXE,0.0,1
#TEAMCHUCK,0.0,1
#TeamAxe,0.0,1
"#TeamAxe "" I have to dominate """,-0.128,7
#TeamAxe gents! Best show ever! Better than Power/Suits combined,0.8264,13
#TeamAxelrod,0.0,1
#TeamChuck,0.0,1
#TeamDominatrice,0.0,1
"#TeamMafee, the realist dude in the game. Don't @ me",0.0,12
#TeamTaylor anyone?,0.0,3
#Teamaxe,0.0,1
#teamChuck,0.0,1
#teamaxe,0.0,1
#teamchuck !!!,0.0,4
"#teamgovernorrhoades
the chess grandmaster! 
Both sides are corrupt.. that is what the show is about
Brillant show!",0.0,20
*FUCK YEAH*,0.0,4
*runs around room! BOOM!!!,0.0,9
"; Amen, Wags for the win against Taylor, 
""Your ego just wrote a check your body can't cash""!",0.6239,23
A great series but a mess of a trailer,-0.1779,9
Aaaaaand I'm hard.,-0.1027,4
Aaahhhhhhhhhhh I CANT F***CHING WAIT!!!!!!! Although I might just have to wait out and binge watch when seasons finished. Unfortunately it's one of those shows that gets my blood pressure sky high at end of each episode 😂,-0.6973,46
"After that last episode in Season 2 it will be really interesting to see what happens as a result.  It's probably the way they cast them and what their positions are, but the show makes me root for Axlerod and despise Rhoades.  I hope in the end of the series the ""good guy"" doesn't win.",0.3587,61
Al fín!!!!!,0.0,5
Alexandria From the UK  VERY well stated🙌🏾,0.4812,9
Am I the only one that want Wendy and Axe to be together? And fuck Rhoades.,-0.5574,18
"Axe has the win, in this season. I bet...",0.5267,12
Axe won’t let the corrupt system take him down. But if it means taking the senate with him. He might consider it. Love this show so much.,0.5859,33
BEST SHOW I’VE EVER SEEN!,0.6696,8
"BEST. SHOW. EVER.
Everything about it is magnificent and perfect.
Thank you so much for creating such a brilliant show.
#TeamAxe Greetings from Mexico!",0.9761,30
Barns Courtney music doesn't fit at all,-0.2755,7
Begin lock important train animal individual due late opportunity light.,0.5574,11
Best!,0.6696,2
"Better to stay home till there can you imagine leave then something happen like accident then I die?

No, no, no waiting to watch it.",-0.8126,29
"Billions Season 3 countdown:

https://www.timeanddate.com/countdown/to?iso=20180325T22&p0=179&msg=BILLIONS+SEASON+3+COUNTDOWN&ud=1&font=slab&csz=1",0.0,6
Billions is absolutely the best show!!! Greetings from China!!!,0.8572,15
Blacks and browns are Billionaires too,0.0,6
Bobby should hire harvey specter asap,0.0,6
Boby Axel my man! yeah we gonna fuck them again and hardly this time!,-0.4374,16
Boost general extra soon suddenly program midnight shadow candle vehicle stare.,0.4019,12
Brody,0.0,1
Brody & Tara!!!,0.0,6
CANT WAIT!!! Hope it’s completely different from season 2 though. Don’t wanna see the same conflicts all over again,0.2905,27
Can't believe they packed so much into a trailer of less than 2 minutes!,0.0,15
Can't fkn wait,0.0,3
Can't wait baby!!!,0.0,6
"Can't wait for Season 3 to stsrt, honestly. I am hooked on this story it hurts. Amazing how things can turn upside down in a singe episode, you never know what follows. That's what always glues me to the TV. Looking forward to many more seasons :)",0.7893,53
Can't wait for this New Season this is the best show on Cable TV,0.6369,14
Can't wait!,0.0,3
"Can't wait! Go Brody, ahem Axe",-0.1759,8
Can't wait!!! Bring it!!!,0.0,10
Can’t wait .,0.0,5
Can’t wait!!,0.0,6
Chuck's wife is a beauty,0.5859,5
Damian Lewis is amazing!! That being said he has kind of a nasal voice.,0.658,17
Damian...Damian...Damian... un exponente de hombre! Maravillosa Serie!!,0.0,15
Damn it. Only in MARCH hahaha. OMG. Can´t wait.,0.2263,15
Damn right!!! 😠 💰💵🤴🏾,-0.5538,10
Do you know what would be awesome?? Crossover between Billions and Suits!!! ... Bobby Axelrod vs Harvey Specter... Chuck Roads vs Mike Ross... Wags vs Litt .... even Donna vs Wendy.... I will pay a lot to see that!!!,0.7374,50
"Doesn´t matter, he is an aristocrat and Bobby is not.",0.0258,14
Every fucking weak minded takes Axe's side. People who do are the disease of this planet who root for these types that rapes the society.,-0.8268,27
"Every time i see Wags, all I can think of is Gale Boetticher from Breaking Bad.",-0.5423,18
"Excelente, se viene la 3ra Temporada...!!!",0.0,11
Excited,0.34,1
Exciting!!,0.5837,3
FLIIIP!!! Best show out...,0.7249,8
FUCK YEAH,-0.3182,2
FUCKING CANT WAIT MATE..,0.0,5
"Finally, anticipating this season for this so long and I hope Bobby destroys Chuck.",-0.1119,16
"For a show that really has no ""heroes"", I find the whole lot contemptuous and utterly entertaining all at the same time.  Love it!",0.46,29
Fuck I WANT THIS SO BADDDDDD,-0.3542,6
Fuck yeah!,-0.3802,3
Fucking awesome !,0.6893,3
Fucking. Keen.,0.4201,4
Get on the hype train!,0.0,6
"Glitter and Gold - Barns Courtney
https://www.youtube.com/watch?v=zGV9-wC9yfo",0.0,7
"Glitter and gold fitts so perfect, i love this song",0.8812,11
Go axe,-0.1027,2
