,sentiment,wordCount
"""I can find your chest but I can't find your heart"" MAGGIE YASSS",0.0,15
#damn.......she's d best ❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍,0.6369,23
#maggie lidenamnn i love you for ever !i will never stop love you,0.8905,14
"'Obsessed' Yes, ikr, im so obsessed with this song. <3 ♥",0.5202,16
*I think we ALL know it's about brennen we ALL*,0.0,12
"*ORIGINAL*
❤              ""OBSESSED""                 ❤
----------------------------
Baby, you got something special
Your body is a work of art
but we got a little issue
I feel your chest,
but I can't find your heart
Got it at the ocean
sculpted like an ancient god
For love lourself, but no emotion yeah, I like to touch,
But I can't feel no love
You're looking in my eyes,
just to see your own see your own
affection, your own affection
Your body's overpriced
cause you pay yourself way too much attention
too much attention
You're so obsessed with yourself
Maybe you should undress with yourself?
Hey
I Get a table for two,your ego and you we knew take him home and make a
move so obsessed with yourself Obsessed with yourself

Baby, like your lady special
Picture perfect beauty bells
Only looking surface level
That's if you can take your eyes of yourself
Gotta end up with nobody, (Nobody)
even though we form a line,
Oh yeah but I don't even think you're worried
If you've got a mirror,
baby, you're fine you're
Looking in my eyes,
just to see your own
see your own
affection, your own affection
Your body's overpriced
Cause you pay yourself
way too much attention
Too Much Attention
You're so obsessed with yourself
Maybe you should undress with yourself?
Hey I get a tavle for two,your Ego and you we knew take him home and make a move
So obsessed with yourself
Obsessed with yourself
You're so obsessed with yourself
Maybe you should undress with yourself?
Hey I get a take of the two either I knew take him home and make a
move so obsessed with yourself obsessed with yourself do it, baby,
like you do I love it and I hate it too do it, baby, like you do
Cause I'm obsessed with myself too.
------------------------------
OMG I LOVE LOVE LOVEEEEE THIS SONG😍🎵🎶🎧


                   *GERMAN*

              ❤ ""OBSESSED"" ❤
------------------------------
OBSESSED SONGTEXT

Baby, du hast etwas Besonderes
Dein Körper ist ein Kunstwerk
aber wir haben ein kleines Problem
Ich fühle deine Brust,
aber ich kann dein Herz nicht finden
Bekam es am Ozean
geformt wie ein alter Gott
Für die Liebe selbst, aber keine Emotion ja, ich mag es zu berühren,
Aber ich kann keine Liebe fühlen
Du schaust in meine Augen,
nur um deine eigenen zu sehen
Zuneigung, deine eigene Zuneigung
Dein Körper ist überteuert
weil du viel zu viel Aufmerksamkeit bezahlst
zu viel Aufmerksamkeit
Du bist so besessen von dir selbst
Vielleicht solltest du dich mit dir ausziehen?
Hallo
Ich bekomme eine Aufnahme von den beiden, entweder wussten wir, dass wir ihn nach Hause bringen und einen machen
beweg dich so besessen von dir selbst Besessen von dir selbst

Baby, wie deine besondere Lady
Bildperfekte Schönheitsglocken
Nur auf der Ebene der Oberfläche
Das ist, wenn Sie Ihre Augen von sich selbst nehmen können
Muss mit niemandem enden, (Niemand)
obwohl wir eine Linie bilden,
Oh ja, aber ich glaube nicht, dass du dir Sorgen machst
Wenn du einen Spiegel hast,
Baby, es geht dir gut
In meine Augen schauend,
nur um deine eigenen zu sehen
Sieh dir deine eigenen an
Zuneigung, deine eigene Zuneigung
Dein Körper ist überteuert
Weil du dich selbst bezahlst
viel zu viel Aufmerksamkeit
Zu viel Aufmerksamkeit
Du bist so besessen von dir selbst
Vielleicht solltest du dich mit dir ausziehen?
Hey, ich bekomme eine Aufnahme von den beiden
Entweder wussten wir, dass wir ihn nach Hause bringen und eine Bewegung machen
So besessen von dir selbst
Besessen von dir selbst
Du bist so besessen von dir selbst
Vielleicht solltest du dich mit dir ausziehen?
Hey, ich bekomme eine Aufnahme von den beiden, entweder wusste ich, nimm ihn mit nach Hause und mach einen
beweg dich so besessen von dir selbst, besessen von dir selbst, Baby,
wie du, ich liebe es und ich hasse es auch, tu es, Baby, so wie du es tust
Denn ich bin auch von mir besessen.",0.9937,740
0:18 damn,-0.4019,2
0:39-0:55 *I love it* 😍,0.6369,8
0:59 my favorite part,0.4588,4
1M!! Finally,0.0,4
1MILLION QWEEN💕,0.0,3
1mio,0.0,1
"1st time: this song is lit
2nd time: oooh I like this
3rd:I'M SO FUCKING OBESSSEDDDDD",0.3612,20
666,0.0,1
"@Brennen, what's good?",0.4404,5
Algum BR POR AKI NAUH ?,0.0,6
Am I the only one who is OBSESSED with the cover (picture) of this song?,-0.347,18
Anyone who has heard this from Remi Ashten videos 😂❤️,0.0,12
BRENNEN IS QUAKING HE IS SHOOK,-0.4404,6
BRENNEN MUST BE QUACKING,0.0,4
Beautiful performance,0.5994,2
Bubblegum Girl i agree,0.3612,4
Bubblegum Girl me,0.0,3
CAN SOMEONE MAKE A KARAOKE VERSION OF THIS?????,0.0,11
Cannot stop listening to this,-0.296,5
Civillance,0.0,1
December-16-2017 ❤️❤️,0.0,6
Descobri a música ontem e já sei ela inteira 💙 muito boa,0.0,12
Dude i love this song,0.6369,5
Epicc!,0.0,2
FINALLY 1M,0.0,2
From Colombia LOVE YOU,0.7125,4
Good song i love you maggie😚😚😚,0.7964,9
Got the feeling she has some german blood in her veins #Lindemann,0.128,12
Great job!!,0.6892,4
HEY HAHA THIS IS A COOL SONG,0.6486,7
Happy 1m views obsessed 💕,0.4588,5
Happy New Year everybody,0.5719,4
Happy new year 🎉 🎉,0.5719,5
Hell yes !,-0.4926,3
Help! I can’t stop replaying this 😭 guess I’m “obsessed” with it,0.2003,19
Her voice is actually a mix of Selena Gomez and Hailee Steinfeld. <3,0.4404,14
Here before 1.5 million,0.0,4
Here before 1M :),0.4588,4
Hi Maggie fans join this Amino community and show that there are not only 3 Maggie fans http://aminoapps.com/invite/45WQLXRLPU,0.296,18
Hi fans de maggie unanse a esta comunidad de amino y de muestren que no solo hay 3 fans de maggie http://aminoapps.com/invite/45WQLXRLPU,-0.296,22
"Honestly figured out about you today, and girl omg your honestly amazing I've already subscribed and turned on post notifs, like stg on my life your woooaaahhh. You're also very pretty js.",0.9412,36
How every Wattpad girl describes their guy,0.0,7
I LOVE YOU MAG,0.6369,4
