,sentiment,wordCount
"""...a court shall have authority to order a financial institution on which a grand jury subpoena for customer records has been served not to notify the customer of the existence of the subpoena or information that has been furnished to the grand jury...""
http://talkingpointsmemo.com/edblog/could-deutsche-bank-even-tell-trump",0.743,48
"""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA"" ""CARMA""",0.0,138
#FAKE NEWS!!! there is no subpoena,-0.4724,9
#MAGA,0.0,1
#nothingburger,0.0,1
*FUCK TRUMP*,0.0,4
*LOL! Heinrich Müller died in Germany in 1945! and FYI Müller is his correct spelling for that Gestapo pest.*,-0.3921,24
"*neal t*
level 3",0.0,6
17 agencies supposedly had evidence of IP addresses originating from Russian servers attempting to hack the 2016 elections. There are VPN's all over Russia (an IP address in Russia doesn't mean the attack came from Russia). This mysteriously became 4 agencies without any explanation. And recently it has leaked that there may be NO agencies with evidence of this and the whole Russia election hacking attempt may have been a farce all along.,-0.6574,79
Abv21 06 Howard 2018,0.0,5
Abv21 06... In 2010 Mueller was the head of the FBI when the uranium one deal when they sold uranium to Russia in 2010 so he;s so hypocrite!,0.0,33
Actually Deutsche bank is in Germany where they use Euros. Russians don't use the euro! I'm going to assume you realize Trump real estate/rentals is international. And his bankruptcies have nothing to do with the investigation. Mueller is shit outta luck and didn't find anything Russian/Election-related so he's digging up old financials. It's a classic nothing-burger!,-0.2924,66
Again... Why is this trending? More anti trump rhetoric from google to appease the brain dead leftys who arent worth a shit.,-0.5477,25
Ah ah first your money then your cloths.. Here we go.,0.0,13
All his bank records are DOUCHE bank records.,-0.4995,9
"Also stating a fact. Two birds, one stone.",0.0,11
"And there you have it......that is how a liberal responds to my comment, by proving my point. Liberalism is a mental disorder.",-0.4019,27
Another sooty trying to sound intelligent and knowledgeable,0.4588,8
"Anyone can say the Jacquez family ""allegedly"" has ties with MS-13 who tortures kills and extorts children, families and communities. But just like these allegations on Trump, when there isn't any incriminating evidence, Americans should not blindly believe the media trying to portray mere speculation as proof of wrongdoing.",-0.6705,58
"Apparently it's sexist to be heterosexual and make clearly sarcastic exaggerations to emphasize a previous statement when you're with the boys on a private coach. The worst is if you actually get to know girls you would know their private conversations can get just as dirty (and certainly much more evil than men) when they are in private. 

Nobody thought we lived in a sick world where there's a live mic recording that will be used a decade or two later to take your boy talk out of context in order to portray you as a rapist.",-0.9571,102
Barbara Carter you’ve got it backwards. You are defending a monster,0.0,14
"Before I speck? English not your first language, Stella?",0.0,12
Bill Clinton is a rapist.,-0.7096,6
Black God dumb Trumpturds*,-0.296,5
Confirmed fake news. Try again libturds...,-0.4767,8
"Confirmed: fake news!!!
https://www.reuters.com/article/us-usa-trump-deutsche-bank-sekulow/trump-lawyer-deutsche-bank-has-not-received-subpoena-for-trump-records-idUSKBN1DZ2WT",-0.6093,8
"DataWave, Hillary dug up his body, reanimated his corpse using the blood of dead babies, and now the Zombie Muller is coming to destroy America! lol",-0.8748,30
DataWaveTaGo never found,0.0,3
Dave Christie...Don't worry their is no subpoena here  all fake new.,-0.4393,14
David - Bloomberg lies to you again and you still eat this garbage up because you're so biased & misinformed. Enjoy your fake news. Don't worry - Bloomberg will continue to lie to you for ratings and you still will watch. HAHAHA,-0.0816,45
David Jacquez ..Your sorry Ass falling for another FAKE NEWS STORY!  COCK THIRSTY FAGGIT...,-0.897,17
David Jacquez... their NO subpoena here...fake new.,-0.4466,11
