,sentiment,wordCount
""" Appreciate what you have "" the phrase that can describe this video. Even if you had the shitiest day of your life and you think to give up or cry about you need to remember NOT what you've lost but what you have and appreciate it. Don't be angry at people who can't, they don't know the worst life. No one knows. Just try to always be polite and be nice to other people and one day this good gesture will return to you multiple times",0.9528,92
"""Dont say that u cant be sad bcz others have it worse...its like saying that u cant be happy bcz other people have it better""
-unknown",0.6067,31
10/10,0.0,1
40 seconds of darkness at the start,-0.25,7
={ This is so sad,-0.6113,5
A YouTube Oscar the homeless man superb,0.6249,7
A man's downfall often begins with a woman........... but I did enjoy the movie. Thank you.,0.8201,19
Aah here is yet nother gem. Thank you Omeleto.,0.3612,11
Am I the only one that realized that they were the same person,0.0,13
Amazing heartfelt story,0.8074,3
Amazing. Makes you look at life from so many other angles and point of views.,0.5859,17
"Another brilliant on,thanks, best wishes from Liverpool UK",0.8625,11
Anyone feel like the homeless guy was played by the main dude? They look very similar but with a little make up and more hair...,0.3506,27
"Aside from needing to be compassionate with others and not overdramatizing our problems... Lesson #1: Sleep early.. wake up early.. make it a daily ritual.. have your coffee or whatever at home in peace.. start off your day relaxed and positive.. Lesson #2: Be careful with women. Choose your partner wisely. Well.. Western women nowadays are privileged. Personally, I’m shocked to see how horribly many women treat genuine men these days. Men HAVE FEELINGS TOO! They can be HEARTBROKEN TOO! Men can have the softest and most delicate hearts. Fidelity, divorce, rejection, etc. can tear a man’s world apart. Women, treat men as you wish to be treated and stop always acting as the victim and taking advantage of the once dark history of women :) 
I’m a girl by the way. And I know that women are still oppressed in many countries and all that. I’m talking about women in developed and “democratic” countries.",0.6421,193
Average day in New York.,0.0,6
"Beating the homeless....if I find or see anyone who is doing it,  the homeless man will be the last thing you will ever see and how u beat him, I will throw you back into your home and make your hear the screams of your family. Don’t hurt anyone for fun.. but I will have fun because I will have a reason too..that reason is you abusing others or animals just for fun.",0.2732,84
Beautiful.. the simplicity.. just amazing,0.5859,7
Bhabi ke chudde moja lage,0.0,5
Bock off,0.0,2
Both guys are the same I guess!!,0.0,9
Brilliant!,0.6239,2
Brilliant!!,0.658,3
Bruh I would lob that little kid infront of a bus which I will be driving,0.0,16
But he looks like captain sparkelz and sounds like him,0.6124,10
DEEP,0.0,1
Damn......,0.0,2
