,sentiment,wordCount
"""All I wanna do is turn my pain into art."" ❤️❤️❤️",-0.5106,19
"""I just finally can look at the mirror and tell that motherfucking reflection that ur beautiful!!!""( best quote ever)",0.3129,26
"'he was fucking awesome'
How to mourn a family member.",0.3804,13
+TrevorMoran you are the best however you are! Love you!,0.8745,13
2,0.0,1
9:10 i understand that so much,0.0,6
"A complete fool you are. You are still a boy. Being transgender won't change anything.

I can't believe it. I cant believe how foolish this society is becoming. If you were actually smart, you would know you are still a boy.

Frankly, it annoys me and disgust me how people continue to do this type of "" transition. "" Completely foolish.",-0.6454,71
"A lot of people needed this, including myself. Thank you so fucking much. Love xxx",0.8043,18
AS SOON AS YOU STARTED CRYING I JUST WANTED TO JUMP INTO THE SCREEN AND GIVE YOU A MASSIVE HUG :((( <3 <3 your amazing!!!!!!!!!!!!!,0.7887,30
Aleksandar Amzic It's cause that's what he always says at the beginning of his vids,0.0,15
Aww Trevor honey I’m sorry you had to experience so much confusion 💔,-0.4173,15
Awww sweetie I just want to reach through the screen and give you the biggest hug. You are beautiful and perfect just the way you are and don't you dare let anyone change that. Your strength is truly amazing and you have such a loving heart <3 Love you forever xx,0.9884,53
BITCH YOUR GENDER IS PURE QUEEN,-0.5859,6
Bless your very existence,0.4215,4
"Bruce Jenner was def ""a false flag"" to start the trans agenda to push more people to question themselves and to get parents to push their kids to transision. Truely disgusting to play with peoples lives this way.",-0.25,42
Dirty Dom,-0.4404,2
"Do not transition. Turn away from the ideological insanity and PR push from trans activists. Your male gender is absolutely fine. Focus on career, what you want to do in life. Just be Trevor. An elfin kind of guy or do drag sometimes. Leave it at that.",-0.5279,55
Do whatever you want aslong as your happy,0.6124,8
Dolly Dog no sweet heart. Not all trans people have it.,0.2023,13
Dolly Dog no. You need to fuck off of his channel.,-0.6908,13
Dolly Dog not all trans people have gender dysphoria. And there is more than just two genders.,0.0,19
Don’t cry💞it’s ok,0.296,9
Drag queen is the way to go.,-0.2263,8
Fuck i cried,-0.7269,3
Fuck me jerry fuck me,-0.7906,5
Fucked my whole heart up...i love you so much. You're wonderful baby.,0.5809,16
"Girl, Guy, Trans, or not... WE LOVE YOU SO MUCH😘😘😍😍 ur true fans will love you no matter what!!!!!",0.9316,30
Good job trevor 💜💙I love you so much your brave and I am proud 💕😭,0.9308,18
"Hello Trevor, I am a trans girl and all I have to say is how you were feeling is completely okay, lots of people think they may be transgender but decide that's not who they are, it's completely okay you are a beautiful man and you can act who ever you are. Whether it's being cis or trans, there is nothing wrong with how you felt and you should not feel bad about any of it",0.9523,81
Hello sexy mother fuckers 😂 dammit you got me!!!,-0.3348,12
"Hey its ok. I know I am late to this video but you will be ok. Do whatever you need to do to be happy. If you transition or not, just be happy.

From a pre transition, trans guy.",0.9382,46
Honeyyy i honestly think you are the best person in the world for being you and I feel better about myself watching your videos you give me inspiration whenever u post. Before I got stuck into watching fake people and there covers but not you your the best do whatever makes you happy thank you ❤️👏👏👏,0.9652,61
Hope You Stay Strong We All Love You And We Will All Be Here With You <3,0.9231,17
"I am going to cry because 
What you are saying
I will be okay",-0.296,14
"I didn't know who you were today before seeing a video of you on Youtube.  I found this video and think you are amazing.  Don't feel pressure by anyone.  What a struggle you have been through and it will come up again in your life in different ways, but you are wise and you are absolutely enough exactly as you are right now.  I love seeing your personality.  I think you are beautiful without makeup and a hoodie and lovely when you wear it if it makes you feel happy.  And by the way, God absolutely loves you.  You. Not what you look like or how you present yourself or how you identify yourself (or don't identify yourself) but for you.  Keep using your talents to be good to make good and to spread good in the world.  That's what God created you to do.  hugs and kisses.",0.9972,164
I don't think he cares honestly,0.1331,6
I don’t believe in boy and girl clothes,0.0,10
"I don’t know you for so long but you are such an inspiration. I love ‘Trevor’ because that indeed is who you are, not your gender. And all the transgenders, so brave, yes. 
I just saw you in Laurens roomie video and I love to see you so happy💕

Btw LOVE Sinner, it’s amazing",0.9926,68
"I fucking love you, you’re so strong",0.8669,10
