,sentiment,wordCount
"+Henbot
Expect the new Shadow of Mordor didn't shit on that. Did you play the game and pay attention?
The reason why Baranor is in the game is explained and there is also a DLC coming with him as the protagonist. Which of course will explain more.",0.6025,52
+James Robinson i agree with u. the whole trilogy was a let down..,0.3612,16
797ation if done right,0.0,4
Absalom Nephilim definiatly,0.0,3
"Adam Heida Southrons (Haradrim) were more of an analogue for Arabs/Persians instead of ""black"". There are ""black men out of Far Harad"", but they're only mentioned once when they were seen at the Battle of Pelennor Fields. The men of ""Near Harad"" and the men of ""Far Harad"" are not actually the same people.

As for Easterlings, they were never mentioned to be Asians... they were said to be short, broad, and swarthy. To me that sounds more like Greeks or Turks, something along those lines.

There are others though. There are the men of Forodwaith, who live in the far northern wastes and are unrelated to the Edain, though not much else is said about them. There are the Druedain, who are described as a forest-dwelling Pygmy type of tribe (though not sure about their skin color). There are the hill-men of Angmar, barely anything is mentioned about them.",-0.2854,183
"After watching the Hobbit trilogy, I'm not so sure that Peter Jackson had anything to do with the LotR trilogy being good. My favorite childhood book was done a terrible injustice, and I sincerely hope that this new show will succeed and bring this franchise back into the light.",0.7028,53
Also Hybrid Network. I know you’re information is factual but please leave some citations in the description.,0.3919,21
Amazon? How much a month is that? What platform will that be like netflix?,0.5775,17
And what if the new characters are of racial minorities?,0.0,11
"Annette K I know, I feel the same. 😑 Really tired of white people thinking only they exist. Really racist.",-0.8169,24
Annette K simply don’t watch it you cock sucking incest slut,-0.6597,13
Apparently it's going to have the biggest budget in TV show history :D,0.6166,13
"Aragorn will be a black lifes matter hood nigguh
Gandalf will be a asian non binary gender queer soiboi
and Frodo is going to be a strong independent wheman who don't need no man",0.6472,34
As long as it doesn't end up a train wreck like Shadow of War I'm happy,-0.1531,16
As long as they follow the lore.,0.0,8
As long as they stay true to the books and lore. Not another Tauriel please.,0.6249,17
Aslong as they are doing new stories I don’t mind,0.0,12
"At first I was completely against the idea of this LOTR idea. It was my fear that the studio would reboot the movies and completely destroy the priceless art directed by Peter Jackson with his outstanding cast. Now going forth into new ideas of mythology, I can look forward to the project cautiously.",-0.4576,57
Brave Soldi3r I do too man :),0.7506,8
Can't wait I wish I was in the Lord of the Rings,-0.3089,12
Can't wait for the massive sjw shit-show they are going to make. They have to fck up Tolkien too.,0.0,21
Cant exactly do new stories unless their fan fiction. If it the other stories then it not new stories but different,0.1655,22
Case McCulloch That would be so awesome as well :),0.8911,10
Case McCulloch You mean Earndil and yeah that would be pretty cool :),0.8658,13
Could also do the fall of arnor. Would be awesome to see the witch king in his prime.,0.3818,20
Do Original Stories from Tolkien do not remake anything. Unless it's The Hobbit.   The stupid she elf is💩,-0.2732,21
Do you have any idea when this would come out ?????,0.0,13
"Do you really think Amazon has the rights to The Silmarillion? You might be interested in reading this article:
http://www.theonering.net/torwp/2013/01/07/68174-concerning-christopher-an-essay-on-tolkiens-sons-decision-to-not-allow-further-cinematic-licensing-of-his-work/",0.5688,22
Does anybody know when this comes out?,0.0,8
Doesn't sound too bad if done right,0.431,7
Enjoy your black female and transgender main cast....this is a nightmare,0.4939,13
"Even though an  awesome film was done about it here on YT callIed Born of Hope, I think the story of the last of the Dunedain kingdom and the story of Aragorn from a child and growing up with the Elves up until the moment that he enters the Prancing Pony when he first meets Frodo would be the perfect scenario.  At least it would still relate directly to the actual LOTR story time line.  But then the story of how Sauron came to be would be equally interesting to watch.",0.9337,95
Fall of Arnor please,0.3182,4
Fioreblu you are right,0.0,4
First,0.0,1
