,sentiment,wordCount
$37000 worth iPhone X was stolen from UPS truck. But you are giving away $50000 worth! From where rest $13000 came?😃,0.3164,28
3 months later and no information about who won not good >:(,0.4753,12
@paliwalentertainment at Instagram. Hope I win This,0.7717,8
Aaahhhhh I hate it when I see a video from the last 3 months because I couldn't win,-0.7765,18
All done,0.0,2
Am from India....and i love your all videos,0.6369,10
Amazing,0.5859,1
Are you left with any phone,0.0,6
Awesome,0.6249,1
Awesome bro 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲😲🙋🙋🙋🙋🙋🙋🙋🙋🙋🙋,0.6249,11
Awesome phone,0.6249,2
Awesome product,0.6249,2
Best giveaway ever...,0.6369,4
Best giveaway please give me,0.7579,5
Best video,0.6369,2
Both phones are very good,0.4927,5
Bro i want a phone as i am not having and i am 16 . The phone would help me in studyes Pleasee bro can i have any of the one,0.4588,31
Bro my insta name is yo_yo_spartan I am on your follower Please give me mobile,0.3182,15
Bro please Give me any phone please,0.5574,7
Bro pls pick me as the winner I'm your bigg fan pls pls pls,0.8074,14
Bro plz make a another new giveaway,0.0772,7
Brother good luck to your YouTube channel,0.7096,7
But i in malaysia i want this giveaway,0.0772,8
Can I have a phone,0.0,5
Can I have it? I have no phone the rest of my family do. Silver and 256 GB,-0.296,20
Can I please win an iPhone X?? I’m very poor,0.4708,14
Can i win a iPhone x,0.5859,6
Can u give me please,0.3182,5
Comment who gets the iPhone....?,0.0,7
Cool,0.3182,1
Cool !!!,0.4898,4
Could you give s9 + constest please bro,0.3182,8
"Damn, the one time I don’t have a social media account is the time when some big ass giveaway happens.",-0.7351,24
F N Z go buy one yourself then,0.0,8
Fantastic,0.5574,1
Give away to me please..,0.0,6
Give me this phone,0.0,4
Good job.,0.4404,3
Good phone mark😍,0.4404,4
"Hello bro
Please give me a iPhone X",0.3182,8
Hello your video is asome,0.0,5
Hey bro can u please guve me an iphone x please bro i belonga to a poor family and i can't buy it please give me this iphonex . Please sie please give iam the bigest fanof iphone x please,0.8271,40
Hi,0.0,1
"Hi
 bro my name Vignesh from. India and iPhone x big fun and  you  fun  and   followed  Instagram . request I say  I need  I phone x  mobile
     you any thinking say  my WhatsApp 9159290896
please send iPhone x me able request say 
                 Thanks. for reading this letter
                                         by
                                                 Vignesh",0.8957,52
Hi I don’t actually have a phone I m 12 that I have one if you to help me please give me away any one by the way I like your videos you are awesome,0.891,37
Hii,0.0,1
Holy crap enter me in lol😂,-0.3818,7
Hope i could get one,0.4404,5
How to know someone has to much money EXAMPLE A,0.0,10
"I am a huge fan for iPhone
But in real life I can't see any of apple products",0.5574,18
I am following from 2 year so plz😥,0.0,9
I am i. INDIAN,0.0,5
I am use in business,0.0,5
I am. Waiting,0.0,4
I can't believe my eyes,0.0,5
"I don't even try to participate in any giveaways because I never win,it's always someone over seas or LA",0.0,21
"I got one iPhone X
And samngs not 8",0.0,9
I have follow and decided I want an iPhone X or 10 because I never have a iPhone before,0.0772,19
I like ur attitude,0.3612,4
I love iphone.,0.6369,4
I love that theme,0.6369,4
I loves iPhone but for money I can't get this one,0.3291,11
I need all of these 😅,0.0,6
I need note 8 help,0.4019,5
I need note 8....plzplzplzpzkzpzlz. ...wish me good luck.......my favorite channel,0.7096,15
I need one smart phone plz give me,0.4588,8
I prefer iPhone x,0.0,4
I sub ur channel.but I don't have my phone .can u plz donate me redmi 4x plz....,0.0772,19
I too need one but I think I'm late,0.0,9
I wan the ipoh x and i live in selagoh klang,0.0,11
I want Samsung note 8 because it so cool and nice,0.7472,11
I want an I phone X because I could do emotions,0.0772,11
I want an iPhone X I have done everything,0.0772,9
I want galaxy😔,0.0772,4
I want iPhone x space gray,0.0772,6
I want it,0.0772,3
I want it I followed you I want iPhone x,0.1531,10
I want one phone,0.0772,4
I want this phone,0.0772,4
I want to smart phone,0.4588,5
I want to win,0.6249,4
I want to win pls. For the sake of my studies!!😭😭,0.717,16
I watn silver iphone x,0.0,5
I wish I got here when you first made his video I’ve been dying to get a iPhoneX,0.4019,20
I wish i could get a phone,0.4019,7
I wish i could win iPhone X,0.7579,7
I wish to win  this phone.,0.7579,7
"I'm in it too,bro. hope u dont miss me out.",0.5178,14
I'm your big fan sir,0.3182,5
I.  subscribe.   I.   live.   in.   Johor.   Nusa Bestari.  2/6,0.0,16
IPhone x 😗😗😗,0.0,5
Im poor but this iphone x is my dream but im using samsung j2 (crashed)phone,0.1154,18
Iphone x,0.0,2
Iphone x is best,0.6369,4
Iphone x silver,0.0,3
It would be nice if we could enter just by subscribing and liking your video Please in the future?,0.7783,20
"Its proper giveaway
Nice video man",0.4215,6
Iwant iphone x Sir,0.0,4
Just i gone maade,0.0,4
Linghd Gaming you're too late lol,0.4215,6
Lol the giveaway has ended weeks from now,0.4215,8
Love from india.....,0.6369,4
Love it,0.6369,2
May I have one,0.0,4
Me any iPhone or samsung,0.0,5
Me please Samsung note 8 please charlliesingian882@gmail,0.5574,9
Me plss,0.0,2
My plz 😢😢😢,0.0772,5
NIce,0.4215,1
Nice bideo,0.4215,2
"Nice colour with, 
look is same like S8,
 premium look, 
light weight,
Face scanner👍,
Camera is 👌,
Air emoji ☺️☺️",0.6486,30
Nice look,0.4215,2
Nice mobile,0.4215,2
Nice one,0.4215,2
Note 8,0.0,2
Note 8 please,0.3182,3
Note 8 plsss!!!!!,0.0,6
Oh I missed it,-0.296,4
