,sentiment,wordCount
""""" Somebody"""" is paying u to show the s9/s9+ as a bad products while even the S8/s8+ are the best in the business so nobody can eveveven dodge the S9/S9+",0.1779,42
"""allow us to reassign the button"" LOL",0.6633,9
0.2 seconds? At least give us 0.3,0.0,8
6.58  LMFAO!!,0.7019,4
@Marques Is it a good option to change my phone from S8 to S9? I am quiet confused. Help me out with this situation. 🤔,0.5106,28
ARmoji? Right after Animoji. 🤦🏾‍♂️,0.0,11
Allow us to reassign the button 😂😂,0.2263,8
And the reasons to own a dedicated camera get that much narrower,0.4588,12
Android Go review and your opinion?,0.0,7
"Animojis also only rely on the camera. You can cover all the sensors and it doesn't make a difference to the tracking, asking as the camera stays uncovered.",0.0,31
Any chances of reviewing sony xperia xz2?,0.2023,8
Any comments on the Nokia brand at MWC 2018 Android one??,0.0,13
Anyone know why Samsung don't allow us to use the zoom lens in pro mode?,-0.1695,16
"Aperture not only affects low light conditions, but also DOF (depth of field) or bukeh, you seem no to know much about that matter.",-0.3056,29
Best thing in S9 is make up mode.... Lol,0.7906,10
But the old Nokia N8 have the changing Ap ❤️❤️,0.0,13
"By looking at the comments, the sheer hypocrisy the android fans are displaying is insane, If Apple would have come out with just a Camera upgrade with the new iPhone, than the same people would give lots of shit to apple, but when it's Samsung everyone seems to be fine with it. Now i'm not saying the galaxy s9 is a bad phone by any means, but Apple gets lots of shit from this android sheeps which is just too much.",-0.9118,88
Can s9 shoot 1080P 480FPS video?,-0.34,7
Can you do a speakers comparo S8+ vs S9,0.0,10
Can you do a vid of the Samsung S9 vs the pixel 2 camera,0.0,14
Can you please explain why companies don’t make a white screen phones anymore most android phone front is black even phone is white,0.3182,25
Cool Cam,0.3182,2
Coolest intro,0.0,2
"DON'T USE AR EMOJI, AND OTHER VIDEO ANIMATING ""FEATURES"" 
The whole point of these tools, which have felt awkward (like, really? this is a feature worth it's own segment?) since day one at the Apple launch event, is to get you to spend time letting the phone build a 3d mesh of your face, entirely in service to the surveillance industry. Yup. They do it with a fish tunnel in the Dubai airport. The more time you spend with it, with various makeup, accessories, and hats, the more you'll be able to be spotted by AI in the future. Worry about it or not.. it's your dime.
<3",0.168,129
"Did you know that android is actually holding back the move to 4K at 60fps for YouTube streaming 

I say this can any android that can do 4K is limited to just 5min 4K video recordings, even the new galaxy s9 and s9+ plus can do 4K at 60fps is limited to just 5min, so that’s holding back youtubers cuz android phones isn’t a good enough camera for making 4K videos for their YouTube shows when you can’t record more than just 5 mins at a time",0.0258,96
"Didn't MQBHD say in some earlier video that iPhone X also only uses front camera for creatin animoji? 
(something about it still working even when he covered the new depth sensor)",0.0258,34
Do a review of Xperia xz2 (compact),0.0,9
Do they still have problems with snapchat video quality,-0.4019,9
Does an average consumer need a dual camera phone?,0.0,10
Does anyone know if you can switch the default gallery and texting app on a Galaxy?,0.0,17
Dont want to sell my kidneys for a slightly better camera effects which my eyes wont notice. A solid mid ranger is enough. Galaxies are overated.,0.3534,29
"FYI Marques, Animoji doesn't use any depth sensing either...",0.368,11
Galaxy S9's camera has a huge update..,0.3182,10
Gentle capture finance ikkglna research transportation briefly live ill close start.,0.0258,12
Give some likes,0.4215,3
Great review! As usual...,0.6588,6
Great video Mkbhd...,0.6249,4
HEVC finaalllyyyy 🔥🔥🔥,0.0,5
HIM W MAKEUP. SLAYYY😂,0.0,6
"Haha ""allow us to reassign the button""",0.5994,9
Has the Samsung s9 fixed the instagram/Snapchat issue or still wack ?,0.0,14
"Have you heard of Asus's Zenfone lineup? They're amazing! Please review their flagship! I'm currently rocking the Zenfone 4 Max 5.5"" with the 5,000mAh battery (3 day battery life, dual camera, front+rear flash, zippy fingerprint sensor, stereo audio recording) for $194.99 USD, or $249.99 CAD",0.7955,61
Hello mkbhd. I have one request to you.  In your upcoming video about samsung galaxy s9+ can you show in details how  good the live focus is. Is it better than iphone x and pixel 2 portrait mode. And one more thing. Is it smooth in the highest resoulation mode? Samsung galaxy s8 wasnt smooth in the highest resoulation mode.,0.7003,68
"Hey MKBHD.
Please make a comparison video with the Galaxy S9+, Pixel 2 and iPhone X cameras",0.3182,20
"Hey Marquees, will you switch from your pixel 2 XL to Samsung Galaxy so plus????
And do you think that Google will give an answer to the Galaxy s9/s9+????
How are about the release date of the Red Hydrogen one???",0.0,53
"Hey Marques, ready for upgrade & keep going backwards and forwards between Galaxy S9 & Pixel 2. Watched so many reviews & still unsure. How do you think the S9 lines up against your Pixel 2? I’m even debating waiting for pixel 3.",0.128,50
Hey can u do a review on the meizu pro 7 plus,0.0,12
"Hey marques, s9+ with snadragon or exynos??",0.0,11
Hey what's up guys I'm Kapiti here,0.0,7
Hey... Samsung galaxy S9 can shoot 120 FPS or 240 FPS in 1080p??,-0.4137,16
Hi in future  is there any possibilities to get s9+  camera futures through ota update to s8+?,0.0,20
Hi. Jesus has die on the cross for our sins and rose back from the death on the third day to justify us. Believe in Jesus like your LORD and SAVIOR and you are save. Romans 10:9,-0.7269,40
How about a review of the Honor View 10,0.4939,9
How can i hit you up for business inquiries?,0.0,10
How does Snapchat work on the S9+?,0.0,9
How this any different to the dual camera on the Note 8?,0.0,13
I am definitely getting the S9 this year.,0.4019,9
I cannot buy it,0.0,4
"I don't care about the camera at all, bc I rarely use it!",-0.4442,15
I have the s8 plus,0.0,5
I like marques with lipstick,0.3612,5
I like u guy.... What is your qualification...,0.3612,10
"I love photography and I love playing with lenses and something that I always though would be cool, was to have a variable aperture lens on a phone, this is seriously an amazing phone I already pre-ordered the s9",0.9393,41
I love this Music channel :D,0.8494,6
I need to buy it Right now,0.0,7
