,sentiment,wordCount
1:00 😂,0.0,2
HAHAHAHAHAHAAHAHAHAHAHHAAHHAHAHAHAHAHAHAHAHAHAHA,0.0,1
Liked for DJ Khaled (another one),0.4215,8
Some great shots,0.6249,3
Sorry but that sucked massive balls batman...,-0.631,8
That was unfunny on so many levels.,0.0,8
The Failing (at comedy) New York Times.,-0.5106,10
They drop it so many times! I thought this stuff was expensive. Still funny though!,0.3365,18
"bloop·er ˈ
blo͞opər/ noun - NORTH AMERICAN - informal 
1. when a videographer set's up, walks away from, then comes back to retrieve a 360* camera 
2. unscripted animals
3. a weakly hit fly ball landing just beyond the reach of the infielders",-0.4019,54
"delusionalthomas 
K",0.0,2
interesting ! #tubemusicedm,0.4574,3
