,sentiment,wordCount
*interactive* introverts,0.0,4
"*pulls cup of coffee out of pocket*
*sips*
*puts back in pocket*",0.0,18
0:46 I thought he is going to say recharge their phones,0.0,11
0:58 SLENDERMAN!!!!!,0.0,5
666th like...,0.0,3
AMBIVERT/INTROVERT HERE,0.0,4
Abervert,0.0,1
Amabert? Forgot already. Sorry! But I'm both. @ skol by myself and church I'm very social.😁🤓👍,-0.1511,24
Ambivert,0.0,1
Ambivert but depends on where I'm at with my social anxiety and bi polar..,-0.2617,15
Ambivert for lyf,0.0,3
Ambivert my bad,-0.5423,3
Ambivert right here,0.0,3
Ambivert squad,0.0,2
Ambivert...,0.0,2
"Ambiverts are actually very rare. Most have a preference for one or the other, even if it's small (60/40 for example)",0.0,25
Ambovert,0.0,1
Amivrt,0.0,1
Amtrivert😂,0.0,2
And can my kid jess watch this,0.0,7
Anthony Was Here,0.0,3
Anthony ❤️❤️❤️,0.0,7
Anthonyyyyyyy,0.0,1
By far introvert,0.0,3
Came here from Anthony paddila,0.0,5
Can you be both?,0.0,5
"Does being an introvert or an extrovert is congenital or can it be changed by taking some measured
For eg can I be an extrovert if made more friends and being active in social functions???",0.7672,38
"During the first half of the video I was like: Hmmm, I don't know whether I'm an introvert or extrovert. But then the video taught me about Ambiverts. Problem solved!!",0.3578,36
EXTROVERT IT SUCKS TO BE ALONE,-0.5423,6
Extro Mo Fo.,0.0,4
Extrovert,0.0,1
"Fantastic video. I'm an introvert who has always been treated as though it is fault. As though I am damaged and I could simply paste together the broken peices. I've always excelled with school and have watched those around me become intimidated simply by the way that I speak. This is course came from overly analysing my self and then later hearing another say such things about me, without them knowing that I've analyzed it.
 Truly, I could continue but I know long messages make it so many will not read or reply. Though there are those that do and will.",-0.1154,110
Flawless transition between voices.  Great video!,0.8268,8
Get a life anthony,0.0,4
Hello I was asking can you get lost at the wiching hower,-0.3182,12
"Hey there! Thanks for watching and thank you to Anthony for helping me out with this video! Go check out his channel here: https://www.youtube.com/watch?v=D2UE_Gw7XpI and tell him Blocko sent you! :) Are you an introvert, extrovert, or ambivert? Let me know in the comments below!",0.9028,53
Hi life noggin are you an extrofert or intrvert,0.0,9
"Huh so being an Introvert or Extrovert is based on how you recharge? Welp, guess Im an introvert! :o",-0.1759,23
I am a ambivert because sometimes I wanna be alone sometimes I want to be having 50 people around me,-0.1779,20
I am a padildovert,0.0,4
I am actually introverting in my room now away from my brother's birthday party in the living room.....,0.4019,19
I am ambivert,0.0,3
I am ambivert and I am sometimes introvert and extrovert but I AM ambivert,0.0,14
I am ambrevert but more introvert,0.0,6
I am an ambivert,0.0,4
"I am an ambivert...
 Also anthony go bwck to smosh u piece of crap",-0.3818,15
I am an anambivert because I’m both,0.0,9
I am an introvert,0.0,4
I am extremely ambiverted,0.0,4
I am introvert,0.0,3
"I am positive that I am Introvert, I feel tired when hanging out with many people, usually if weekend will be one day out and the other day stay at home do the stuff I want to do, can be playing games, reading, cooking. 

Though most of my friend refer me as extrovert as I am easy going guy and able to mingle with new group easily and do activities together.",0.8901,78
I am one of the  Introverts,0.0,6
I came here because of anthony he left smosh :(,-0.4404,10
I cant believe anthony is in this vid,0.0,8
I definitely fit into the introvert/ ambivert area I’m never good around people but I usually take the lead with decision making but never voice my opinion until required.,0.2256,33
I don't identify as a introvert or an extrovert...i identify as a padildo,0.0,15
"I don't know if I'm an ambivert or introvert. I do like parties and being around people, but not too often. I like being in the company of others and if someone wants me to go to an event I'll come. But I'm also shy and I can be alone really well. I don't want to be around people for too long. I also have social anxiety. So I'm more leaning towards introvert. And people always tell me I'm an introvert, but idk.",0.1433,93
I feel like I am more of an introvert the only people I am comfortable around are very close freinds and when I am around anyone else I get exhausted and want to go draw or play vidio games but who knows I'm only 13 so it might be to early to tell for sure,0.714,55
I guess I’m an Ambivert. Thought I was an introvert but I recharge better with friends near me.,0.8402,22
I hate reading,-0.5719,3
"I have a few questions, the first one is: Why do we get stressed? And how can it effect how we think?  Also, Do you have hangouts?",-0.4479,33
I lay in between,0.0,4
I love Anthony :D,0.8494,4
I love how you put his merch on him,0.6369,9
I m kind of both,0.0,5
I recharge by watching YouTube on the couch and eating cereal,0.0,11
I think I'm a mix of everything,0.0,7
I think I’m a ambivert I like being around people but mostly just so I can talk to them.,0.1901,22
I think I’m an ambivert,0.0,7
"I think I’m an introvert, when it’s outdoor recess I’m like “NOOOOOOOOOOOOOOOO ;-;”",0.3612,24
I was wondering who animated that sequence.,0.0,8
I'm  an  introvert,0.0,3
"I'm A ""mild"" extrovert!",0.0,7
"I'm An Inextrovert I Guess Because Both Sides Apply To Me
EDIT: Ambivert Appeared About 10 Seconds Later
Edit2:LOL",0.0,23
I'm Vertebrate,0.0,2
I'm a extrovert but forced to be a introvert at times,-0.6124,11
I'm a introvert,0.0,3
"I'm a introvert, always have been since a kid",0.0,10
I'm a introvert....but I'm alert...maybe to much Geometry Dash?,0.0,14
I'm ambivert,0.0,2
I'm ambivert.,0.0,3
I'm an Introvert (Don't kill me),0.5773,8
I'm an ambivert,0.0,3
I'm an ambivert :),0.4588,4
I'm an ambivert :o,-0.1027,5
I'm an ambivert. I socialize like an extrovert but handle risks like an introvert.,0.3291,16
"I'm an every-very, vert-ebrate.",0.0,6
I'm an extrovert,0.0,3
I'm an extrovert with introvert qualities am I a transvert?,0.0,11
I'm an intavex....the only intavex.,0.0,8
I'm an introvert 🙂,0.0,4
I'm both,0.0,2
I'm introvert because i was bullied a lot in school and work,-0.6249,12
"I'm neither Extro , ambi nor introverted.. I'm





Outroverted",0.0,10
I'm not sure if I'm an introvert or ambivert,-0.2411,9
I'm sort of an Ambivert/Extrovert,0.0,7
I'm your mum.,0.0,4
INTROVERTS 4 LIFE,0.0,3
Iam ambivert,0.0,2
Im An introvert,0.0,3
Im a Extrovert I love talking to my friends at school,0.8074,11
Im a padildovert,0.0,3
Im an introvert & i need friends??,0.5362,9
Im an introvert but hang out with Real close friends. They make me so happy😁 but other people drain me out i rather watch Youtube than go out. But I feel like in a ambivert a little bit,0.8126,41
In- to the t to the r to the vert,0.0,11
Innntroooverrrrrt,0.0,1
Intovert,0.0,1
Introvent,0.0,1
Introvert,0.0,1
Introvert 4 lif,0.0,3
Introvert here,0.0,2
"Introvert tbh, there are times where I go out but it's not very often and if anything I'd like to do things at home lol, I'm fine with just being by my birds",0.8462,35
"Introvert:Shy, Not Out Going
Extrovert:Out Going and Friendly",0.4939,13
Introverts,0.0,1
Intvert,0.0,1
"I’m a 
Quiet kid",0.0,6
I’m a ambivert,0.0,5
I’m a ambivert and little more introvert,0.0,9
I’m a internet,0.0,5
I’m an Ambivert,0.0,5
I’m an ambivert,0.0,5
I’m an introvert,0.0,5
I’m both I get charged being outside and inside,-0.2023,11
I’m definitely a extrovert,0.4019,6
I’m probably an introvert,0.0,6
"Life Noggin I'm an introvert ad spend my time playing games,watching youtube,thinking,and being in the unforgiving wilderness.i think I'm an introvert because I don't have friends to start with and thus get used to loneliness.when I said I don't have friends I refer to my peers since my friends are animals, family, and teachers.

Though I am an introvert I do wish to have friends (2 at max) but I don't have a lot in common with my classmates and I see things differently.because of this I'm picked on ,mocked,blamed for things I didn't do,and avoided.please give me advice I need help",0.1759,120
Life Noggin Idk,-0.1027,3
Life Noggin I’m an ambivert,0.0,7
Life Noggin Padildad sent me.,0.0,6
Life Noggin ambivert,0.0,3
Life Noggin can you ask anthony padilla do you miss smosh more then your own channel,-0.1531,16
Life Noggin definitely an ambivert I'm skipping the Valentine's Day dance to work on one of my projects and decline all party invitations but get existed at games and with close friends,0.7814,32
"Life Noggin hello life noggin! I know you take requests for videos, you may like this question and it's a bit interesting so I hope you would please answer this. I was watching my dad eat salt out if the shaker, I wondered. What would happen if you ingested 5lbs of salt all by it's self.",0.8893,62
Life Noggin https://youtu.be/sSxSLTmXQH0,0.0,3
Life Noggin your so cool,0.4572,5
Life nugget 😂,0.0,3
MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY MORE ANTHONY,0.0,40
Me = Ampivert,0.0,3
"My friend says the animation is nice, but i hate you. Take that as you will.",-0.4678,19
PADILDADDY,0.0,1
Padildad sent us here,0.0,4
Pat,0.0,1
"People are arguing because of different personalities?




What has our society become?",-0.5204,14
People like oh cool I'm ambiverted nah you just average,0.5267,10
Probably ambivert,0.0,2
Smosh,0.0,1
So I’m an introvert and I never knew it. Interesting! I always considered myself the opposite.,-0.3716,21
Society has stereotypes about everything!!,0.0,7
Some watch smosh some watch Anthony some watch Life noggin but I watch all 3 of em 🤣😂,0.0,19
Sooooo......i’m an Introvert,0.0,7
That’s Anthony from smosh,0.0,6
"The comment section





99% special snowflakes",0.4019,7
"Throughout the whole video i was thinking to myself: Im both, is that a thing?",0.0,18
Total ambivert over here!,0.0,5
"Well I'm definitely an Ambivert. Introverted tendencies but with extroverted habits. The idea that they were in seperate boxes was a weird idea to me but the idea of a spectrum is better to me. Like that 16 personalities quiz says i'm an 'extrovert', but that's 60% extrovert 40% introvert, so in the middle area of the spectrum.",0.8151,68
What a legit collab,0.0,4
What about ambiverts.,0.0,4
What about both being an introvert and extrovert?,0.0,9
What if i am all three,0.0,6
What if that wear no wimen,-0.296,6
What if you're all three?,0.0,6
What is Bob doing? 2:41,0.0,6
Where's my fellow typical introverts at??,0.0,8
Who came for anthony,0.0,4
Who came here just for Anthony,0.0,6
Who else just got here form Anthony's video?,0.0,9
Who is anthony padeela?,0.0,5
Why do you have to make videos but I like your videos,0.5023,12
Wow! Anthony actually sounded smart. Miracles can happen🙏,0.7777,11
"Your video was informative to me in multiple ways, I thoroughly enjoyed this! I have a presentation next week about research on prefrontal activation and speech performance-based social anxiety. As part of the presentation I have to critique the research and suggest other ways it could be looked at. I think your video is the key to my critique! I am going to look into introvert/extrovert differences in term of the activation you mentioned and try and apply that to the research I am presenting on. Thank you Padildad  for your video today, bringing me here).
Sincerely, a new subscriber and Padildo",0.8433,114
ambitenbd,0.0,1
ambivert,0.0,1
ambivert or introvert,0.0,3
go anthony,0.0,2
guess im an ambivert but more towards the introvert side,0.0,10
"i feel like im ambivert, but i could never know until i break it down so its just a thought.",0.1901,22
i' m a ROCK STAR,0.0,6
im a Ambivert,0.0,3
im an ambivert,0.0,3
im an ambivert but more  like an extrovert,0.5704,8
im an intro,0.0,3
im both,0.0,2
"im the lil ol introvert boi since i spend aaaaabbbooouuutttttt........70 percent drawing, 10 percent playing tetris and watching 
 YTvids, 17 percent animating, and that 3 percent? hoe boi thats what i use to JUST answer the teachers and my classm8s questions 030 soooo im definetely an introvert rar",0.2023,55
introvert,0.0,1
it will be better if your watch this vid first then go wath anthony’s video on his channel haha,0.7096,21
"its all what you know, not what you belief.",0.0,11
lol im a ambivert but i lean a little bit more towards to the extrovert side,0.2263,16
love your vids :3,0.8176,5
mbirvert,0.0,1
me a introvert,0.0,3
"wait if i'm a full introvert why do i talk more on the internet than in social life...?


or -or is it just me?",0.0,28
who just got back from anthony's video??,0.0,9
you forgot pervet😂,0.0,4
