,sentiment,wordCount
"""I am Groot""",0.0,5
"""I am groot""
- Groot",0.0,7
"""I could do this all day""

-Captain America",0.0,11
"""It's a finna be an Infinity War""",-0.5994,9
"""My favorites""",0.4215,4
"""Oh boy, I'm just so tired of all these infinity wars""",-0.8096,14
"""What are we? Some sorta infinity wars?""",0.0,11
"""What is this, some kinda infinity war?""",0.0,11
"""i'm groot""",0.0,4
"""so thats it, we're just a infinity war""",-0.5994,11
"""we gotta get outta here!""",0.0,8
#HBDpitbull,0.0,1
#LWIAY,0.0,1
#YAIYART I can't do it but I can fix my drawing on a app called sketch my user is the same as on here,0.0,24
"#YIAYART fix Jake Paul please






PLEASE!!",0.7111,8
#YIAYART well sorry jack I have no autistic talent,0.34,9
"#YIAYart
 ur face
lololololol",0.0,4
"#YIAYart
A light switch...


👍",0.0,6
"#YIAYart
Why Can’t
I Get
Featured.

Nice picture right.",0.4215,13
"#YIAYart
https://i.pinimg.com/736x/ec/41/39/ec4139adab5ea41ae029e784b254d601--my-best-friend-best-friends.jpg",0.0,2
"#YIAYart 
  (*-*)
    //
    /\
“”””””””””",0.0,14
"#YIAYart 
https://goo.gl/images/z4uKfw
Fix it",0.0,4
"#YIAYart 
https://i.pinimg.com/736x/ec/41/39/ec4139adab5ea41ae029e784b254d601--my-best-friend-best-friends.jpg",0.0,2
#YIAYart Fan art is for NERDs,0.3182,6
#YIAYart Fix Batman's mask MWHAHAHHAHAHA! you can't because it is too bad that you can't even fix it.,-0.5848,20
#YIAYart Fix The Mona Lisa,0.0,5
#YIAYart Fix my profile picture,0.0,5
#YIAYart Fix your profile picture! Make it look more friendly (or less friendly),0.5838,16
#YIAYart I can’t draw,0.0,6
"#YIAYart I would send a picture of my face for you to fix but it might take to long (not as long as yours would take though)
Love you mom",0.7783,32
#YIAYart NO,-0.4466,2
"#YIAYart YT has been sharing these weird yellow dollar signs with all of it's beloved creators, mind sprucing it up a tad? It seems a tad bland right now (Because destruction of all that is beloved is considered art right?)",0.6553,45
#YIAYart do the mona lisa,0.0,5
#YIAYart extend everything's arms and foreheads,0.1779,6
#YIAYart fix Mario,0.0,3
#YIAYart fix my profile pic it's impossible,0.0,7
#YIAYart fix the only art you have,0.0,7
#YIAYart not mine but https://allyterry1002.deviantart.com/art/Insane-mixels-oc-Insane-raptorus-545048077,0.0,5
#YIAYart nothing because I'm a hipster,0.0,6
"#YIAYart please make this look right. It looks wonky
http://ahmnicoleee.tumblr.com/post/164134069533/marce-in-my-clothes-rn-and-pb-in-aeiraes",0.3182,11
"#YIAYart seems PewDiePie has made a YIAY parody, LWIAY.",0.0,11
#YIAYart ya know them hand turkeys you made in kindergarten? Yea. I never made those :/,0.6412,18
#YIAYart 🍆💦😩😫☠️,0.0,7
"#Yiayart

Fix your face",0.0,4
"#Yiayart my art is good as is , go away .",0.4404,11
#yiayart,0.0,1
