,sentiment,wordCount
"""Life on Mars"" David Bowie.",0.0,8
"""The pain that you've been feeling, can't compare to the joy that's coming.""
- Romans 8:18

Have faith in Him my brother.",0.5859,28
*Life on Mars* by Englishman David Bowie.,0.0,10
*When you add some texture mods to KSP*,0.0,10
"*_""Life on mars""_*",0.0,9
*_ｔｏ   ｉｎｆｉｎｉｔｙ   ａｎｄ   ｂｅｙｏｎｄ_*,0.0,7
"0:42 No launch tower,   0:52 Launch tower???",-0.4098,11
0:49 Another Sandstorm Made By The Falcon Heavy,0.0,8
1 тысяча дизлайков)))) наверно священники понаставили,0.0,9
"19 February and still can't get over it ♥
Space science forever ♥",0.0,13
1k aliens disliked.,-0.4019,4
2004 is gonna be a great year,0.6249,7
"27 in the first stage, and one vacuum optimised engine on the second stage",0.4019,15
2:16 Ok no,0.0,3
"2:25 - They see me rollin'
🚆      They hatin'",0.0,11
2:25 what happens to that booster? does it return to reuse or what?,0.0,15
"2:28 N-NANI?! 
*Plays eurobeat",0.0,7
"31:58,what is the black moving spot in the background???",0.0,14
AR120gaming David Bowie - Life on Mars..,0.0,8
Aaron Peeters Fredrikssen Life on Mars - David Bowie,0.0,9
"After the Falcon Heavy launch, Elon Musk jokingly said in an interview that aliens would wonder why they put a small car inside a big car in space and then wonder what were people thinking. If beings from other worlds did exist (I honestly don’t think they do), they would not ask that question. They would rather wonder why people had put such a complicated vehicle with round wheels and rubber tires made from trees into space.... a road vehicle that is totally dependent on gravity and roads (more than 100 year old technology), but they still have not discovered the technology to counter gravity. I think that would confuse them even more.",-0.09,127
Ahh after this video I want to live!!! MY SOUL IS TORN BECAUSE it's  so much WONDERFUL!!! 😍,0.6648,24
AimanFaris8900 thanks even though I found it lol,0.6908,9
Also has the most miles on a single charge!,0.0,10
"Amazing and beautiful, thanks",0.891,5
Amazing!,0.6239,2
Amazing.,0.5859,2
"And a huge step towards space exploration but fuck that, right? It's not like this just made it possible to land rocket boosters on earth or anything",-0.7442,29
