,sentiment,wordCount
"""I did not bend enough"" said no trixie ever tho",-0.296,12
"""what an identical match"" I mean you're really not wrong... I think Trixie would approve.",0.0,19
..willam,0.0,2
"1. is that a todrick hall t shirt?
2. where did you get it?
thanks! 💕",0.5502,21
6:30 “Why’d my tv turn on? There’s a ghost that wanted to watch Bravo so bad”,-0.3182,23
">dislike
>unsubscribe 
>cries",0.0,6
A REAL BIOLOGICAL WOMAN AT LAST,0.0,6
A concept,0.0,2
Alix Nir she is a TV 🌟 now. No time for the utubes.,-0.296,15
Also you are just amazing,0.5859,5
And this Trisha Metal was born.,0.0,7
As soon as she started using her natural eyebrow as a base for the Trixie brow I knew this would be interesting,0.6369,22
At 6:46 i saw Willam.. dont know why,0.0,9
At the end of the day was this a Trixie Mattel win? Maybe not... but hey Halloween 2018 you can be a Thundercat.,0.34,26
"Awe, I wish you could have tried harder. Maybe do some research before hand like blocking out the eyebrows and baking. Lmao!",0.8748,26
Aww I love todrick!! Sorry saw your top :),0.8513,11
Bianca Del Rio's or Sasha Velour's makeup looks I would love to see.,0.6369,14
Bitch you look like @William beli,-0.3182,6
"But like, i mean. Trixie did use to look like she fell onto a makeup rack in a drugstore so its accurate",0.6124,24
C'mon willam!,0.0,3
Can you do Adore Delano next.  PLEASE !,0.7861,9
Can you please do Bianca Del Rio's makeup?,0.3182,9
Did anyone else think she she looked kind of like Willam before lashes😂,0.2975,14
Did anyone else think she sort of looks like Willam?,0.2975,11
"Dirty makeup brushes? I thought she was going for Trixie, not Willam?",-0.504,15
Do Bianca Del Rio next!!!!!,0.0,8
Do Jinx in the “ can I get an amen” music video,0.0,13
Do a Willam look I'm ready to be shook.,0.2732,10
Ew you look like willam,0.3612,5
First mistake: she didn't block out the brows 😂. Trixies eyebrows are actually on top of her hairline,0.2037,20
Follow one of Milk’s tutorials,0.0,7
For a while in the middle she really looked like Willam 😅,0.4173,12
"Fruit floral nut in my butt..
What?",0.0,9
GLUE!YOUR!BROWS!,0.0,6
Girls in drag should never be a thing this was horrible,-0.6597,11
Grace looks like willam,0.6486,4
Grace looks like willam as trixie,0.6486,6
Grace reminds me so much of Willam - she just don't give a shit,0.6931,14
"Half painted, you look a lot like Willam.",0.3612,10
"Have you learned nothing from drag queens? Close up= bad. 

Do you see how far away she is from the camera in that picture?",-0.4929,28
Honey oooooh honeyyyy... honeyyy...,0.0,6
"Honey. Oh, hooooneeeeey.",0.0,6
How dare you insult Trixie's art.,-0.5106,7
"I WANT TO SEE HER DO MILKS FANG BANG LOOK, THAT WOULD BE A LOOK",0.0772,16
I absolutely love this😂😂😂😂 please do a Jinkx Monsoon or BenDelacreame look lol,0.8707,16
I am here for all the grace doing drag makeup! Love it!,0.7707,14
I can't believe Grace is still on YouTube,-0.3252,8
"I don't understand why you wouldn't use a tutorial. This is challenging enough with instructions, might as well give yourself all the help you can get.",0.6597,29
I don’t know why but I’m getting willam vibes,0.0,13
I feel like Grace looks like what Willam would like like if she tried to do Trixie’s makeup on her own,0.8957,23
I genuinely think you did an amazing job yaaaas bitch 😍,0.0,11
I like the fact that she put the bottom lashes on upside down,0.3612,13
I love willam!,0.6696,4
I think this is what Trixie was talking about when she said OMG Trixie I was you for Halloween and then they look like a car crash.,-0.0516,28
I want Trixie to react to this,0.0772,7
I want her to try this again but with good products and a tutorial 😂,0.6124,15
I'm Roxxxy Andrews and I'm here to make it clear.,0.3818,11
I'm getting some Willam realness!!!,0.0,8
I'm seeing major willam look a like,0.3612,7
"If there isn't a sequel where Trixie comes and actually does your makeup, I'm protesting haha",0.0516,17
Im screaming,-0.3818,2
Is this willam?,0.0,4
It would literally make my life complete,0.0,7
"It's a terrible Trixie look, but it's a half decent Willam. (Insert shade rattlesnake sound)",-0.2617,19
It's like a car crash you can't help but stare at,-0.185,11
It's weird but she looks so much more like Willam to me,0.5768,12
I’m Getting Willam Vibes,0.0,6
I’m here for the homage paid to our skinny legend,0.0,12
I’m shook,-0.1027,4
Jess Hammond oh no I didn't mean hot mess in a bad way ahahaha just it was 😂❤,-0.5559,19
Kim chi,0.0,2
Kinda look like Willam,0.3008,4
Kinda lowkey looks like Willam.,0.3041,6
Kys,0.0,1
"LOL i loved, this video made my day better! >.<",0.8528,14
Lies!!!!,0.0,4
Lmao why she look like willam,0.7506,6
Lol I’m getting more willam 😹 loved this video!,0.8058,12
Lol this was more like willam trying to mock trixies look,0.4201,11
"Lovechild? Maybe the handicapped, inbred lovechild of Trixie and Katya.",0.0,13
NO,-0.296,1
Naomi smalls,0.0,2
Needs more Sugarpill 😂😂😂,0.0,6
No! You look like Willam when Trixie painted her!!!!,0.3544,13
OMG she looks so much like Willam 😂,0.4173,8
OOHHH HONAAAY you kinda look like a frog... sorry,0.2315,10
Oh hello Willam,0.0,3
Oh honey. You left your eyebrows unblocked oh no,-0.296,10
"Oh honey... 
***I know you read that in Trixie’s Weho voice***",0.0,20
Okay but with the hair shes giving me Willam vibes,0.5499,10
Omfg nightmares. 🤣🤣🤣🤣,0.0,6
Omg she looks like brandi fron real housewives of Beverly hills,0.3612,11
Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooohhhh honey.,0.0,3
Please do Aja next!!!!!!,0.5374,7
Pleeeasee do Raven!!!,0.0,6
SHE LOOKS LIKE WILLAM PAHAHAHAHA,0.3612,5
SKINNY LEGEND,0.0,2
Serving willam realness,0.0,3
She actually looks more like willam at the end,0.4201,9
She kinda looks like Willam..,0.3008,6
