,sentiment,wordCount
"""You sit on a throne of lies!""",0.0,10
"+David22092001 Yep, seems about right. I'll probably be heading there too considering my pfp. Make sure it's cozy for me at least my dudes.",0.5423,31
"+JonnyUnderrated let me tell you that a gigantic amount of people in those places either werent fully sick (that they couldny easily function in society), didnt get the meds they needed (or got meds they didnt need) and often it was a case of throwing someone in there without treating them as human",0.6507,59
...aaand that's what you get for having a Santa near a Wal Mart.,0.0,15
Actually she might have even eaten all of the chocolate in the world and her Christmas dreams will not happen as they can't make chocolate fast enough. I wonder if she has been stealing food in the mall as it looks there's a lot of stuff under her cassock/dress.,-0.25,53
"Ah, Walmart.",0.0,4
America still amazes me to this very day lol,0.7414,9
America's malls are all going to shit so why even bother with the bullshit Santa thing?,-0.8768,17
Bad Santa and the little dwarf marcus having an argument,-0.7184,10
Cocaine's a hell of a drug.,-0.6808,7
Conspiracy theorists unravel another mystery.,-0.5267,6
"Critical Thinkers know this is a fat bitch called Nicola and wanted the job but realised a haircut and wearing a dress wasn't enough to get the job this year (and last year and the years before that) she should be locked up for terrorising children in the mall. Hey, that's free speech for ya. Whilst we still got it. I really hope she gets what she's asked Father Christmas for this year as it looking like she's gonna get some coal...................................",0.533,89
David22092001  Actually pshych hospitals used to give these people places a place to live and (most of the time) medical attention and meds if they needed them. Would you rather actual crazy people just wandering around in public like we have today? I dont know if you live in a big city but its a real huge problem these days/  Its not locking them away to rot. Its to get better and be treated for their issues by caring medical professionals.,0.8225,90
Double toasted brought me here,0.0,5
ELF: Bloopers and behind the scenes,0.0,7
Execute her,0.0,2
Go back to your own fucking Country.,0.0,8
"Hello, I'm a faggot, please rape my face",-0.8316,10
"Hello, I'm an editor for Break.com, a Defy Media company located in Los Angeles. Your video is pretty incredible!! Our licensing department seeks out the Internet's top viral videos for multi media outlets, including major TV talk shows around the world. Before you give away free permission for usage of your video I would love to get in touch with you and make a substantial offer. I can be reached at mfelix@defymedia.com. Time is very sensitive. Thank you. -Mark",0.9521,91
"Hi I am Satan, from the depths of Hell. For the simple price of your soul for all eternity, you will receive all the earthly pleasures you could ever desire! The contract expires in two days, so act now or face being a mere mortal forever!",-0.1491,52
I bet she is a fat cunt who wanted to play Santa this year but they give it to a man instead.,-0.1027,23
I bet she watches Fox News and voted for Trump.,0.0,11
"I would have tackled, and thrashed the shit out of this woman... for the children.",0.6124,18
IT'S STILL REAL TO ME DAMN IT,-0.4019,7
Its near Christmas again. Time for the crazies to tell us we are the fucked up ones for enjoying a holiday as usual. Someone give that screeching thing a prozac flavored candy cane!,0.2481,36
"J.M. Studios  most people in the youtube comment section should be in straight jackets , for sure. Probably me too!",0.5411,25
"J.M. you're a pothead, stay out of this nerd.",-0.3612,14
Link?,0.0,2
Nah the haircut and weight gives it away. I'm sure she blogs on tumblr about how oppressed she is and how other people are to blame for her own insecurities and problems in life rather than taking actions for her own problems.,-0.8957,44
Ok first of all.why.i mean come on.why would someone ever say that 😶,0.296,15
"Santa, send the evil elf to deal with her, no need to add her to the ""naughty and nice list"".",-0.5859,25
She didn't get the memo when she was 10?,0.0,10
"She makes a very valid point.
He isn't real. Mall Santa's make money off children delusions.",0.0,19
She needs to take the shit out of her mouth before talking.,0.6124,13
"She probably has some kind of mental illness, however, its hard to know who has and who hasnt these days.",-0.4767,23
"Smoke another bowl, Jennifer.",0.0,6
That's no way to live.,-0.296,6
Theres a walmart in the mall,0.0,6
This is what an atheist sounds like.,0.3612,8
This kind of thing is why we need to bring looney bins back. Shes clearly fucked mentally and roaming the streets like it aint no thang. So many crazy people just walking around causing shit these days. Its depressing and somewhat frightening.,-0.8778,46
WHAT THE FUCK IS YOUR DEAL LADY!,-0.5848,8
Was that a man or what? I don't mean the one with the beard. Stupid slag should have been arrested for terrorising children. I can't wait for Christmas. Happy Christmas everybody.,-0.7783,36
"What a stupid,. loudmouthed, swear-happy, idiot! Behaving like that in front of the kids in the mall who happened to be lined up to see Santa Claus. Kudos to the Santa for keeping it cool when this lady was making a complete fool of herself. Say ""hello"" to viral video on Youtube, and other sharing sites. Enjoy your possible lump of coal, dumb ass lady in the video!",0.1739,81
"What's ""god""?",0.0,5
When alcohol and medical marijuana confront unhappy childhood fantasies.,-0.5423,10
Would it kill you guys to create original content?,-0.3182,10
Wut,0.0,1
"Yeah fuck people,Instead of helping people with problems, lets just throw them away and let them rot for being born this way right ?",-0.4215,27
You may be one of them based on your comment here.,0.0,12
Zelda?,0.0,2
Zen I'm an atheist and i'm not like that woman. I like Santa Claus and i know he is not real. You religious people are very rude to others. That's why i'm an atheist,-0.7589,37
blamin it on the pot... classy.,0.4404,8
"eh, at least they're not stealing people's videos. i don't see any harm in it.",0.7048,18
i bet she is a feminist,0.0,6
lmfao nobody gives a shit about break.com what is this 2005,-0.0258,11
mall gypsy relies on modern society and it's benefits to keep from being beaten down or buried for her public behavior,-0.0516,21
so you admit god is not real then?,0.5334,9
"well, guess you can't call her a liar",0.5862,9
yes...... yes it is,0.4019,5
