,sentiment,wordCount
"""It's so much taller.. than I am!"" :D",0.6514,12
"""That"" new Star Wars?",-0.5574,7
"""We're gonna get arrested!""",0.0,7
"""assault walker"" you're clearly no Star Wars fan",-0.6808,10
"#FakeNews
#NoPorg
#NotStarWarsPremierWithoutPorg!",0.0,4
#fakenews,0.0,1
"+Somedude Watchintv Sorry, yeah, at this point I really can't tell which ones really just don't get it. My experience with You Tube has taught me that there are a great many ""Sheldon Cooper's"" in this world. That is to say, they lack the ability to detect sarcasm, and likely don't understand what it is at all. Beyond that, that there would be a prank performed on this sort of scale is just something that should be so obviously ridiculous. I know not to take any of that for granted though. There are always a few, or more, that will take you seriously :).",0.3862,120
"+Zack Briggs
*Spoiler Alert*
(Don't read if you don't want to spoil the movie.)



Watched it on the premiere. Sadly yes. I was hoping they wouldn't go there since they did it with Han Solo in the last movie. But appearently they thought it would make for good story telling.
Basically Luke has a bad hip. And so he falls over and lands on his lightsaber when he enters the Millenium Falcon. It's a bit more dramatic than Han's death. But personally I feel like it's not a very satisfying end to his character.",-0.4971,108
".... You a Dunkey fan, Jenny?",0.3182,8
......,0.0,1
02:05 so happy about getting arrested XD,0.7526,7
"0:47 Such a shame that the background audio made it sound like you said ""Good boy"" to BB-9E when you clearly said ""Good girl"".",0.7845,31
2:15 John Cozart?,0.0,4
2:15 Jon Cozart?,0.0,4
Aaaaand where is the review?,0.0,6
After this treatment no wonder you liked the movie so much smh,-0.2449,12
All dressed up to see a movie? Last I checked people don't even dress up to fly on planes anymore. lol.,0.4215,24
Are you not doing content for ScreenJunkies anymore? Can I unsubscribe from that stupid channel yet?,-0.5803,18
"Are you speaking to Billy Bob? He was making the joke. Yes, the premiere for the Hollywood insiders is where she was, as she is ""media personnel"" via Screen Junkies. I think everyone here should be aware of that though.",0.5994,48
As of right now the videos is #33 on trending.,0.0,11
BB-9E,0.0,3
"Best. Legs. Ever!!!

Can't wait till the embargo is over, please be fair but do your worst! Lol",0.4798,25
"Billy Bob guys you're actually starting to worry me a little,  you understand it's a joke right?",-0.1779,19
Billy Bob its the world premiere,0.0,6
"Billy Bob no that was the world premier. From there, the movie opens up in different countries at different times.",-0.296,23
CHEWY EATS PORGS!,0.0,4
"Came for star wars nerdgasm, stayed cause I like the outfit.",-0.2732,13
Campea said the same thing about the Walker. That size of that thing is just so impressive!,0.674,19
Christ on a bike! Has the species just _lost_ its ability to detect sarcasm and irony? **Slams head against desk**,0.126,26
"Clay Mann man Ben totally missed you 
Was sad you weren't there",-0.6801,12
Come so far so fast! I remember when she was just that girl who washed My Little Ponies!,0.0,20
"Congrats on an awesome year, Jenny! Your invite to the premiere was definitely earned by your Rogue One video last year alone. 😂",0.8777,26
"Cure
I meant to write cute, but that works as well",0.5647,12
"Cute, sparkly dress you were wearing Jenny.",0.4588,9
DANGET. I don’t wanna see any spoilers for this. DON’T SPOIL THE MOVIE AMERICA,0.0,20
DUMBASS AF,-0.5574,2
"Damnnn, Jenny is T H I C C! She out there looking like a snack 😍😍",0.4199,19
"Did they cast you as Jynni Erso, Galen Erso's illegitimate daughter's daughter's daughter, yet?",0.0,17
Did you meet the cast?,0.0,6
"Didn't even introduce your friend. So rude! When you were done did you just say ""OK, you can leave now""?",-0.1494,26
"For such an event, I expected to see French Manicured nails.",0.0,13
Genuine Jenny is my favorite Jenny,0.4588,6
Get rekt,0.0,2
Glad you had so much fun...when is Millennial Falcon coming back to Screen Junkies?,0.4588,17
God seriously?,0.1027,3
"Goddam you're cute. I love your stuff. You're spot on with your commentaries. I wish I had friend like you to geek out with. Fingers crossed you have a soft spot for creepy middle aged men.  Some how I doubt it, but that's okay. Keep doing what you're doing. You're better then most TV.",0.8779,63
Good for you Jen,0.4404,4
Haha suck it George Lucas I just pirated your movie by watching the joy in Jenny's eyes,0.5994,17
"Hahaha. Gold,",0.5574,4
Han Solo dies,0.0,3
"Her legs are thicker than you'd expect, judging by just seeing her upper body in her vids.",0.0,19
Her legs aren’t thick at all.,0.0,9
"Hi Jenny how are you? I'm Marcus nice to meet you, Great Video of the Premier of Star Wars Episode 8: The Last Jedi I hope you and your Friend had a Great Time, it looks like you both had a Ball and Thank you for Sharing it with us all😊☺.

From Marcus a New Fan and Friend, and can I say you and your Friend are both Beautiful, thank you for reading my Comment have a Good Monday and a Great Week my Friend😊😊🌹🌹",0.9914,97
How cool! I would have loved to see everything outside the movie.,0.7574,14
How did you enter in the primer,0.0,7
How did you get to go to this,0.0,8
How did you get to go to this?!,0.0,10
How does the BB8 head stay in position when the body is rotating? 0_o,-0.0772,15
How hard did she get Weinsteined to get to go to this ?,-0.1027,13
How was star wars battle star galatica?,-0.7351,8
"How,... did you swing this ?!?!?!?",0.0,14
I also would love to know this. combined with her usual long-sleeved undershirt it had a wonderful 90s quality to it :D,0.9175,23
I clapped! I clapped because I know Star Wars!,-0.6351,11
I do worry about your bb obsession.,-0.6486,8
"I don't use purses, but I would use that BB-8 purse.",0.0,15
I expect that imperial walker to be on your bed next video you film...,0.0,15
I feel like I'm the only one who didn't like this movie,0.6124,12
I figured she pulled it because she screwed up the half-porg dive.,-0.4939,13
I hope the porgs aren't anoyying,0.4404,6
I hope you got a bingo,0.4404,6
I just want to know how you did on your bingo card.,0.0772,13
"I know you can't talk about the movie, probably signed an NDA or something, but are you at least able to tell us whether you liked it or not?",0.5719,32
I like how you didn't spoil the movie with spoilers,0.3612,10
I love at 0:50 when Jenny wanted to pet the little dude,0.6369,12
I thought I saw you on the livestream walking by.  I thought I had just imagined it.,0.0,19
I thought you meant about the Walker.,0.0,8
I want caress Jenny softly all night long 🙂,0.0772,9
I wonder what Jenny's reaction to Snoke being Darth Vader's dad is gonna be.,0.0,15
I would like the idea of your The Last Jedi Spoiler review to be just you playing your bingo card.,0.5106,21
I'm all kinds of jealous.  This is gonna be such a long week.,-0.4588,15
"I'm not a thief but I'm stealing that walker. Tell me where that walker is, so that I can go steal it.
I mean borrow it, indefinitely.",-0.8577,32
I'm referring to - whether you liked the movie or not - spill it!,0.4753,15
I'm so jealous,-0.5095,3
I'm so jealous I wish I could have come with it seems so cool,0.3973,14
I'm... I'm so sad... I was watching the new video that was posted today... When all of a sudden it just stopped playing and became unavailable... WHY!!!!!,-0.3111,34
IM SO SAD THAT I WAS DISAPPOINTED :(,-0.9117,8
If I was a girl I would want to be her. She is so cool. I wonder if she has any health conditions,0.5092,25
"If Luke dies, I'm gonna hate Disney forever.",-0.5719,10
"If ol' Stevie Coals could make it into the Hobbits, then surely our pal Jenno Nix should swing a quick cameo in the Big IX as The One True Porg Empress.",0.6908,34
"Impressive,,, most impressive  :P

Jenny Heaven I do believe and we wish we were there too",0.9119,19
Is it wrong that I want to hug the black bb-8 (sorry I don't know the name of it).,0.0772,24
It was too obvious that it was a fake in my opinion. Next time she should get a celebrity doppelganger and say its the real person and that would make it so much more convincing.,0.0404,37
