,sentiment,wordCount
"""A real human bean...and a real hero""",0.5574,11
"""It's a foodage.""",0.0,6
& I thought Charlie brooker was talented.,0.5106,8
3:36 my reaction to every episode of season 4 of Black Mirror,0.0,12
"Actually black mirror got the idea, for that episode, from a book written by someone else. We need to figure out  if they wrote the book before or after Karl's idea. Also for the second part of the episode I really think they talked to Karl or something. It's too much.",0.0,57
"Also, another section that Karl predicted from the same episode was when he came up for the idea of a TV show called 'Look What We Can Do With Science' in which they remove all of the bits a human doesn't need until the patient is just a head with machines going into him. 

This idea was briefly explored by the Dr when he realised he could inflict sexy pain on himself and still get the same enjoyment from it (before going on to murder the homeless man).

Rolo says: ""He spent a week just whittling away at himself. Cut here, a gouge there. I mean, the guy was a doctor. He knew far he could go without it getting fatal."" 

I bet if we look close enough then we can see even more Karl inspiration in the series, perhaps even other shows!",0.2193,161
"Always thought Gervais was a little too mean to Karl. While simple, I think Karl had some good points on his world traveling show",0.4404,26
And a real hero,0.5574,4
"As Gervais said, it's more likely they copied the idea.",0.0,12
"At least he has evidence he said it .
I'd be hitting the producers up for theft of artistic licence !",0.0,21
At no point am I gonna lick a little frog's head,-0.296,11
Being,0.0,1
Black mirror is sooo overrated,0.0,5
Blech nuse wooosh,0.0,3
"Brilliant.  I also love how Stephen and Ricky could have used these ideas as their IP since they were published on their show but thought they were so terrible.  It is not often, but Karl gets the goal on this one.",-0.3584,45
Brooker you fucking fraud.,-0.624,5
"Budget was too tight to get Rebecca De Mornay and Clive Warren. (((Producer))) came to the rescue and gave us the bog standard, average, European mixed race couple that definitely has no political agenda behind it....",0.5859,46
Can someone list the episodes?,0.0,6
Captain Freedom  shit I just realised I was beaten by Conner McCartney by a week. I guess we're both losers :(,-0.8176,22
"Channel 4 Black Mirror was way better. I really disliked Netflix Black Mirror. Americans are good at making science fictions, but Black Mirror was more than that. It was about political satire (National Anthem, Vote for Voodoo), morality (White Bear, Christmas), and how technology’s changing and “black mirroring” them. Netflix took it in the wrong way. It seems that Americans audience prefer some shallow or rather direct writing that tells straight them the moral of the story (USS Callister, Crocodile). This is why you hardly see any satric writing in any US shows, most things are based on shock value (doctor story in Black Museum). You hardly find anything deep (USS Cllister, Metalhead, Crocodile). These stories are just so forgettable. I watched the whole season 3 & 4, and remember even fewer plot than Anthem, Voodoo, White Bear and Christmas stories.",-0.2952,177
Charlie Brooker is definitely a fan.,0.6124,7
"Charlie Brooker, hire Karl for fuck sake!  Either he ""borrowed"" the idea, or it is such a big coincidence that he needs to join the writers team!",-0.4374,33
DON'T TALK TO ME ABOUT SCIENCE MAKE ME TELEVISION,0.0,9
Don't forget Karl's suggestion of VR glasses supporting alternative realities. It could happen in a Black Mirror world!,0.5938,20
"Dr: ""Your husband's dead.""
she's like "" oh god""",0.5574,14
"Either Karl predicted it or, as much as I love him, Charlie Brooker stole his concept? o,O Curiouser and curiouser..",0.6369,26
Exactly what I thought watching that episode!! Thank you for this!!,0.5673,15
"Floydthefuckbag Yeah it kind of pissed me off here how he dismissed an original, interesting idea just to try and get a laugh out of people.",0.6494,28
Fuck rickys fake and disgusting laugh.,-0.7506,7
Fucking amazing! Karl Pilkington the Oracle,0.6581,7
Fucking hell carl should sue,-0.7089,5
Funny how the fat twat who made Ghost Town found these ideas so crazy.,-0.7855,15
Genius.,0.0,2
Glad I'm not the only one that noticed this..,0.4588,10
"God... Ricky, and Stephen were just assholes to this guy",-0.5859,12
Hahaha I fucking knew I wasn’t the only one thinking this,0.5574,13
He also predicted that Morgan Freeman would be talking about only using 10% of our brain just like he eventually did in 'Lucy' in 2014!!!,0.7249,31
He also predicted the countdown to death watch. I think there are a few examples,-0.5994,16
He also predicted the episode where they use AR on soldiers to make them ok with killing,-0.4939,17
He could prob sue...,0.0,5
He didn't predict it. They probably took it from Karl.,0.0,12
He is my favorite species.,0.4588,6
"He was right about the chimp in space, he was right about augmented reality glasses, and he was right about this. Karl is a prophet. Nuff said.",0.0,32
He's a genius.,0.0,4
He's sometimes an idiot but also sometimes a genius.,-0.2846,10
Head like an orange mirror.,0.3612,6
Her Man's Her Mits,0.0,4
"He’s a visionary. Someone deemed generally as an idiot, he proves that there are many different types of intelligence.",0.4939,24
Holy shit,-0.5574,2
Holy. Fucking. Shit.,-0.5984,6
Hope Rickys seen this,0.4404,4
