,sentiment,wordCount
"""On this"": shows picture of falcon 9

""A falcon heavy rocket"": quickly changes picture to falcon heavy",0.0,23
"(Cough,ahem!) CAPRICORN ONE.",0.0,9
"*Shows picture of proof of spherical earth* ""CGI.""

*Flat earther doesn't have a single bit of evidence that the earth is flat* ""Haha we aren't sheep and we're intellectuals""",0.6808,38
*anyone who believes any of this fakex shit has completely relinquished his faculties of rational thought*,-0.5574,18
0:00,0.0,1
0:37 the future is now,0.0,5
"1980: there will be flying cars in the future

2018:",0.0,12
"1985: in the future we will have dank memes

2018: 0:00",0.0,13
"2:18 
Gps: Don't panic! We have no idea where you are! Just deorbit!
Dummy: Out of fuel.
GPS: shit...",0.3352,27
A billion years really,0.0,4
"Ah, that's funny. This is a serious video?",0.3818,11
Am I the only that heard about the car and thought it was a joke,0.296,15
Amazing and scary how many people are waking up to these GCI hoaxes. Would not want to be working for NASA or Sapcex right about now.,0.0971,28
Amazing how a tesla roadster made it through the thermosphere with temperatures up to 2500 degrees Celsius...,0.5859,18
"And yet again, humans venture off into the great unknown of space. First, the orbit of earth, then, the moon. Now we will conquer another planet just as we have conquered Earth. Hundreds of years from now, we will no longer be confined to the bonds of our Solar System. Humans will grow as a species far beyond what we are today. We will have taken over all the planets in our Solar System. We will have exited the gravitation pull of Sol, our own sun, and will explore other solar systems. We will find life. Life that may be the end of our species, or that may be a friend to it. None the less, space is our only option for a viable future. Our planet is being dried of it’s natural resources. Soon, we will start to dry out Mars like a wet sponge. That is just how humans are. We are parasites in this universe. We can’t do anything about. All we can do now, is wait and see where our technology in the future will take us.",0.8779,212
Another dramas...,0.0,3
Anybody pay attention to the first second of the video. Pause it and look at the background this is all fake!!,-0.6229,24
Aren’t you guys supposed to be curing cancer?,-0.6597,11
At 2:08. I don’t know why that smoke coming out looks so fake,-0.6113,16
Ben Dover hope you are a troll,0.4404,7
Bond villain,-0.5574,2
Brilliant way to advertise a tesla roadster!!! To bad space is a hoax,-0.3971,16
Bruh if you think this is a waste of resources just walk down your downstreet and youll see 20 different wasted resources.,-0.7184,23
But how does he eat?,0.0,6
But it doesn't show the Tesla? Obviously fake,-0.4767,9
Can any one give me a scientific explanation WHY ? The tyres of this Eleon Musks personally used actual car did not burst in the vaccum of space due to internal air pressure ?. Why the air in the seat qushions did not inflate ? etc.,-0.4098,48
Can anyone Tell me the Song title ??,0.0,9
Cory Thomas they don't want you to see the studio,-0.0572,10
"Dear flat earth believers, beware before commenting otherwise you people might tip over",0.3818,14
Does he has insurance?,0.0,5
"Elon musk:I need an Uber
Guy in Tesla:I’m coming",0.0,15
"Exactly what is it carrying to Mars,and how long will it take to get to Mars? The possibility that it will perhaps someday in the near future carry humans is very exciting !!! Once  the obstacle of humans visiting Mars has finally been achieved,then the endless possibilities  of who knows? The possibilities of humans traveling to the rest of the planets in our solar system,and who knows? Perhaps the technology will also allow humans to explore places within our universe,oh and besides that,we will perhaps even travel to neighboring stars,Alpha Centauri,and Proxima Centauri. Let’s just keep looking to the stars,going wherever they may take us. Let’s go to distant stats because there are things out there just waiting for us to explore them.",0.6496,151
FAKE BULLSHIT,-0.7845,2
Fake news!!!,-0.6093,5
"Fake, rocket does not go straight up but starts to back out to sea. Cgi used to show car floating up out to space. Lovely clear images of rockets, car space and earth with sea below. But lack of stars, space debris and satellites orbiting the earth. Also if the car has no power and just left to float to mars surly the car would be dragged back down to earth by the earth gravitational pull. And how is a rich man allowed to leave junk in space. And fina very poor cgi of rockets landing, my xbox original has about the same graphics card and quality. I really hope that Tesla is telling the truth. If he is bullshiting he may need a far away place to hide from the masses. Maybe that's what they are looking for, somewhere to go hide when we all realise that all these people have fed us shit. Time to wake up and not believe that we see and are told by those who have everything..... Or do they???",0.6003,195
Fake.,-0.4767,2
FakeX,0.0,1
"Few centuries later,





The Tesla roadster hits earth..",0.0,10
Finnaly,0.0,1
"Flat earthers want to prove their theory using small rocket with max height reached 73 miles(117km) to see half of earth surface with 12,742 km diameter and area of 254,902,900 km².
Lol, that is like to create a super flat cone with 1 cm height and 110 cm diameter  in hope to see any curvature",0.9313,62
For knly 399$ you can get this beautiful car,0.6833,10
"Geepers, I wish I was the guy operating the camera on the side of the un-meltable Roadster.  SO real, and already1/3 the way to the moon (by the size of earth in the backround.)     If this ain't proof of a round earth, I don't know what is.     Do You?  Flat earthers are dummies. Here's PROOF!!!",0.5538,69
Good science fiction story..,0.4404,5
Ground control to major tom,0.0,5
Guys make playback at 0.25 at the start and see,0.0,10
His tweet said the car would be up there for 1 billion years and other scientists say that the car will be disintegrated by radiation within a year nobody can keep their facts straight about space how come they don't show every angle of the stars I don't even believe this flat earth shit but I don't believe anything because there's no proof I swear to God they don't tell us shit or show us anything that proves anything,-0.802,79
