,sentiment,wordCount
"#Light the World
I live in Germany and how I can post a picture here in this comment area?
I like to encourage people,who are going through hard times with  pictures I painted ,as I by myself  went through  a hard time.The   message is: DON'T GIVE UP
Find me on Facebook : DON'T GIVE UP @djs heartart
I would like to encourage you to donate an amount to  Kinder u Jugend ARCHE in Karlsruhe,or B.A.C.A.A. ev ,(all in Germany) on each downloaded picture or you can donate it  Thank you and GOD bless you
I stiill join in...",0.9695,118
#Light the world,0.0,3
"#LightTheWorld    I was so moved by all of the answers on the questions that were presented to each musician.  I have followed The Piano Guys and David Archuleta  off and on, after watching this You Tube, I am so touched and in Love with you all.  I Pray you All have a Beautiful and Blessed Christmas !!! God Bless You All and Your Families !!!",0.9655,73
"#LightTheWorld   Enjoyed David Archuleta and the young lady was really good, like the way her arrangement is done.",0.8508,20
#LightTheWorld  From BRASIL,0.0,3
"#LightTheWorld  So Loved this !!!  From Bicknell, Indiana",0.7243,11
#LightTheWorld From Hawaii LDS,0.0,4
"#LightTheWorld from Pernambuco, Brasil.",0.0,6
"#LightTheWorld.  Hello from Fortaleza,Ceará, Brasil.",0.0,10
#iliminaelmundo #lds Saludos con todo mi amor desde CHILE a mis queridos hermanos <3,0.7845,14
#light the world  I don't have much but i have a friend who is homeless and I invite him over for a few days at a time to give him a break from the shelter. Would have him stay longer but cannot risk my housing. Then i wouldn't be able to do anything to help.,0.8994,58
#lighttheworld from Colombia. That beatiful little girl made me cry.The powerful deep sound of the cello...thank you so much!!!,0.5684,25
'This is amazing! Warm my heart,0.7177,8
"Agawam, MASSACHUSETTS USA",0.0,4
Alberta Canada,0.0,2
Already gay,0.0,2
"Also I suppose no one told them that the mix Steve did between Carol the bells/ Pirates was actually God Rest Ye Merry Gentlemen/ Carol of the Bells, but let’s not tell him that, it was awesome.",0.8338,44
Also most musicians don't mskr any expression and it is super boring to watch,0.3818,14
Amazing beautiful voice,0.8271,3
Amazing concert! Thank you!,0.7835,6
"Amazing concert, I really enjoyed it!",0.8264,8
Any one notice claire and his dad? Shes really cute.. and lexi walker damn shes pretty.....,-0.4019,19
Ark City,0.0,2
"Awarua, New Zealand. Thank you and Meri Kirihimete!",0.4199,11
Awesome,0.6249,1
Awesome job!!!!,0.7405,5
Awesome work!!!!!!,0.7405,5
Beautiful concert! Thanks to all who shared their talents with us!,0.915,13
Beautiful! loved it!,0.855,5
Beautiful!  Great voices and music!,0.8619,7
Blessed Christmas from Singapore! Thank you for being God's inspiring angels! God's favour upon you.,0.9133,18
"Bonjour , les chansons sont belles. Dommage que les commentaires ne soient pas traduits en Français, joyeux noël",0.0,20
"Can some one answer my question of what 
""Light the world ""
Means?",0.0,15
Canada,0.0,1
Claire and the Crosbys sent me here!! I missed the livestream though :(,-0.6892,15
Claire is so precious.,0.6948,5
Cough cough being repealed cough cough ajit pai,0.0,8
Crying on the first song😂,-0.4767,6
"Dallas , TX",0.4995,3
David Archuleta =D,0.6166,3
David archuleta is so sexy and hot,0.656,7
Dubai UAE,0.0,2
"Durban, South Africa...",0.0,5
Ecuador 🙋🙋🙋,0.0,4
Evynne and Peter together singing December song. Perfect! <3,0.784,11
"Fantastic! Great! Amazing embodiment of the Christmas spirit! Merry Christmas!  Greetings from Abu Dhabi, U.A.E.",0.9669,25
From Spanish fork utah,0.0,4
God Bless All,0.5994,3
"Good concert, GOD BLESS & MERRY CHRISTMAS TO ALL AND TO ALL A GOOD NIGHT!!!

And Steven what you said about what your wife did for you was beautiful, I got emotional along with you! :)",0.9794,42
Good music but all the questions and commentary horrible.. stick to music!,0.3054,14
"Good to see everyone using their God given talents, coming together for such a special time. Thank you to all who took time to put this event together! Merry Christmas!!",0.9483,35
Got sent here Because of he Song dedicated to those who lost loved ones about his daughter who died..,0.6808,20
"Great concert, guys! Hoping to see more Nathan Pacheco on your channel too, with talent like that, the the guy deserves more exposure!",0.915,28
Hello from Indiana!,0.0,4
Hello from Kurdistan,0.0,3
Hey Al I come from a family of seven kids too!! I am the second oldest!,0.0,19
Hey I was watching this and I forgot to put where I am from I am from Ireland 🇮🇪🇮🇪🇮🇪,0.0,24
Hi I am from Nepal love u all Mary Christmas......,0.6369,11
"I Can’t believe i missed it!. God bless you all. It’s beautiful what you do, very inspiring! 🙏🏻
🎄MERRY CHRISTMAS 🎁",0.8828,32
I KNEW IT WAS DAVID YAS QUEEN OF CHRISTMAS IT WASNT JUST ANOTHER CRUSH!,-0.2244,15
I am British but I live in France,0.0,8
I am in Texas i am one of the victims of hurricane harvey,-0.3182,13
I am watching from Iowa,0.0,5
I came for Taylor but I ended up enjoying the entire thing. Thank you,0.8338,15
I didn't know that you guys where on but I am coming from Edmonton Alberta Canada and I just love you guys.,0.7783,23
"I don't know how I missed hearing of this, but I am so glad I stumbled across it. What a gift you've all given to us! Love, love, loved this and it will be the soundtrack to the rest of my Christmas season. Thank you!",0.9876,52
"I face palmed at Taylor Daves. Taylor sounded amazing, and I loved the Hollens duet, The Prayer was beautiful. Everyone sounded good really.",0.9382,28
I forwarded this to all my friends and posted it to Facebook.  Merry Christmas to all.,0.765,18
I have down syndrome   I am 22  years old,0.0,9
I have down syndrome! I am 22 years old! My name is sammi batty,0.0,16
I have felt that from the very beginning! All of his smiles make everything more enjoyable along with all of the other piano guys' smiles!,0.8743,28
I love December Song!!  I would love to have the music for that song!  Beautiful concert!!  Thank you Piano Guys and friends!,0.9641,28
I love it......bacolod Philippines send our lights to everyone,0.6369,11
