,sentiment,wordCount
"""From a Hollywood producer"" I'm shocked and appalled!",-0.68,11
"""Sept 11 was good for Israel."" -- Netanyahu
www.youtube.com/watch?v=-W6LdB24-wU",0.4404,13
"""anti-Semitic,"" That old chestnut. Israel is a rogue state. When are we going to inspect Israel's nuclear arsenal? After all ... we paid for it.",0.0,32
"""trending""",0.0,3
#fakenews  Good to see CBS finally show their globalist roots.,0.4404,11
"'Bibi resign, Jewish people won't give up': Protesters demand Netanyahu's resignation. I determine March 7, 9, or 10. Give thanks to God because he is corrupt.",0.1446,35
*Clinton,0.0,2
*Oy vey shut it down*,0.0,7
*SHUT*,0.0,3
...been 2 weeks... what's happening with this crook..,0.0,11
2.4k views and trending,0.0,5
2k views and is in the trending tab. Ok YouTube.,0.296,12
6 gorillion,0.0,2
A Hollywood producer? The conspiracy theorist are going to have a field day!,-0.5707,15
A bunch of lies. The world of full of hate and the devil worshiper go after the good people of the world,-0.7906,23
A corrupt politician? No!,-0.3595,6
"A liar and a criminal, just like his buddy Trump",-0.6369,11
"A man who republicans gave a standing ovation to for his speech about not trusting another country is now up on charges of corruption.  Coincidence?  I mean I can see why the republicans love him, given their track record on corruption, illegal activities, and hypocrisy; but could they really have known before hand how like them he really is?",0.7924,66
ANOTHER LIES OF CNN MSNBC AND ALL  OF DEMOCRATES DISTRATION ON AMERICA WANTS AGAIN//AND THE BRAINWASH OF CHILDREN WHO BELIEVE ANYTHING THE MEDIA NEWS TELL THEM,-0.4215,29
About time they get rid of that murderous pos,-0.6369,9
About time.,0.0,3
Abraham Rivera Run by CIA,0.0,5
Abraham Rivera lol... have you heard of Syria? Or Afghanistan? Or Iraq? Or just about every other nation in the Middle East? I guess they’re calling air strikes on themselves for the past 2 decades.. jeez the amount of idiocy you have,-0.5362,50
"Abraham:
 Yeah.  Sure.  Why don't we?  I'm being serious.  Let's ignore the fact that we aren't even citizens of that country, let alone it's elected officials.  Seriously.  Let's give it to them.",-0.25,41
Adnan Azam Arnon Milchan not Weinstein.,0.0,7
Ah! So even rich countries are corrupt....who knew?,0.6334,12
AiraCon - Brawl Stars THE SIX GORILLION!!!!,0.0,10
All he needs to do is call everyone antisemitic like he usually does and he will get away with it,0.3612,20
America's biggest Welfare Queen.,0.0,5
"Antisemetic OBAMA 

Thanks you TRUMP for adding more 700 millions a year to israel in a new budget proposal 3 days ago. 

Now Israel is getting 3.5 billions a year.

mean while Americans have no decent healthcare etc
With 30 trillions dept by 2023.

 Anti-semetic OBAMA gave israel only 3.2 billions a year

Trump realy serving israel 
I hope he israel  gets 25 billions a year from America.

Americans should agree on this or else  you are antisemetic.

MIGA
Bless trump",0.836,86
Arnon Milchan - the israeli terrorist who secretly aided the development of their nuclear weapons program.  How he is not in jail right now is beyond me.  The sick thing is he openly boasts about it in public.,-0.8979,41
Awwwwwwwwwwwww!!!!!!!! How are racist Zionists going to meet their white Jesus!,-0.7326,15
BUILD THE WALL,0.0,3
Baseless?   Hahaha!,0.5983,4
