,sentiment,wordCount
"*I literally just posted this on Facebook earlier today! This is how I practiced optimism!* 

Why today is a bad day:
1) I couldn’t bring any coffee with me to work this morning, because our coffee maker is broken!
2) I forgot to bring my lunch to work that I had spent the time to pack this morning.
3) I had to drive 30 minutes to an appointment during my break to get a new dependent ID and their system was down so I wasted 40 minutes in a waiting room for nothing and had to drive the 30 minutes back to work.
4) I unexpectedly started my period today without having brought my diva cup with me!

Why today is a GREAT day:
1) I nanny for a very generous family who shared their coffee with me this morning.
2) They also allow me to eat their food if I’m hungry. So I got to have goldfish crackers and a quesadilla for lunch today instead of whatever boring food I packed.
3) I got to drive 30 minutes through the beautiful city of San Diego and across the Coronado bridge with a stunning view of the ocean to spend 40 minutes laughing with my husband during my break.
4) I had the forethought to always have tampons in my purse just in case my period comes unexpectedly. Thank you, past Heather! Also, yay for no babies!
BONUS: I woke up in our new house this morning and only had to drive 15 minutes to work instead of my old 40 minute annoying commute.
BONUS: I have the evening off of rehearsal to spend with my wonderful husband before he leaves for training.
BONUS: I have an awesome rewarding job that challenges and delights me.
BONUS: I am healthy and fit and (let’s face it) gorgeous and funny and just generally an awesome human to be around.
BONUS: Harley 🐶 (need I say more?)

I just wanted to share this for anyone else who is having a “bad” day. With a change in perspective, those minor annoyances can be seen as beautiful blessings. Just keep swimming, everybody!",0.9972,412
"*why I want to fukk her so much, is it because she is lesbian* ?🤔🤔🤔🤔",0.0772,21
"7:00 I was bored so I skipped ahead to this spot and saw this question.... I quit watching.... Like, who the fuck cares 57% of women have a bank account? How many men have bank accounts? NO ONE CARES! WTF? 😄",-0.6873,49
"A beauty channel interviewing bill gates? Please, tell me how did this happen. Who called who? And why? Great video by the way.",0.8943,29
"AHHAHHHHHH poverty? health and women issues is sort of going out of your way to avoid the facts that it is all about pollution and overpopulation and the human footprint on the planet via the techno sphere.... sort of going far away from the reality of the planet to speak fo third level subject and ignored the 1st and 2nd level ones 100%.... is this how you bullshit millions on end to not see the real problems?
c) almost halved BUT many times more pollution and harm to land and water as well as Air and the natural function of the planet. Sp less poor = more pollution and more babies to do more pollution and so not going forwards at all. MOVING PEOPLE UP has only = more much more pollution and far more harm to nature and GROWING numbers... destroying the planet with a smile Mr Gates! Avoiding population reduction as ONLY solution.

c) fallen by half causing bith rates to go up and more people use up resources strip the lands and unbalance nature as they go. Cut in 1/2 equals millions of extra born people that should not of existed in the 1st place with birth balanced villages and cities that just do not make babies and permit population balance... this is stupid doom without logic of simple changing 1 problem into another and not solve it... shame Mr gates proud of doing the wrong thing in the wrong way and still wind up with same problem in future. population care = balance and health not more births! women contraception = vast pollution!
Reducing population growth does not stop or balance it... it continues doom!

used to be 6 is now 9 and so horrible levels of education world wide... basically keeping humans as slaves.
Soon web will be world wide... then maybe education would work.. but the web is corrupt and so victims are about to be made. To pay on the PLANET for education = crime! EDUCATION is simple copied best teachers of the planet..

most women hold most of the money of the planet due to inheritance passed down. Women almost always wound up with the money by outliving husbands as women do live longer and have less reasons to spend it... so answer never changes in history... women always had the majority of the money. The reality is that the majority of the planet has no bank account and they are playing games with your mind here.
4 to 5 BILLION do not even have a toilet.

what we see is the works done are based on teh very flaws that create them and so is not a solution just another path to doom just different fails.

Intentions will NOT save the future! Building villages and cities correctly and not loser tower and grids that promote fail by just existing and people too blind naive to understand 1 template works for planet and world and space... what gates offers now is what we see as PATCHWORK for a problem he dares ignore deliberate of overpopulation that once stopped ends capitalism forever.... so he is protecting capitalism against the true solutions that work.

If Gates wanted to save the future in compassion he would simply build my villages and save 1 village at a time all over the planet as examples to all others of what works 1 million years over what man has built that will not last long at all and is all wrong.

play all you want... in the end overpopulation destroys the planet via pollution and wars over resources of plain insanity like Trump wanting to do the wrong thing all the time due to mental problems with dementia no one is taking seriously.

your world is doomed like it or not! Capitalism is just another form of slavery and NEEDS new victims or dies. No new pavement, building,. schools and all the crap not needed that you build now or you not build it from lack of need... so you repair and upgrade and look to the stars... because you are not wasting time on babies that never should of been born to be slaved via credit to feed a monster that never shuts up from screaming MORE MORE MORE! till all are dead.
Balanced population on the planet = capitalism dies.... do you think them monsters want to die? so please... face reality! no babies no capitalism or a future timeline.... choose!
if you choose capitalism know you are slaved to slave others and waste time making babies to slave others and never ever will they teach you the truth about the wqords FREEDOM and LIBERTY they tried to remove liberty and lie up freedom to be reverse of what it means just to prevent YOU from thinking FREEDOM FROM and LIBERTY TO... because it implies a cure exist and is possible to build and maintain to save village after villages... and it was given as a cure far in the past history of humans by wisdom that is lacking today to simply grasp equality.

so Gates... with the money you have you could save the world and no one could stop you... but you chose to play and pollute and harm the world more thinking 1/2 ass ways will work 100%
Prove me wrong.... or build what i say! even in models my villages beat all others on the planet and not one will beat mine ever in hostory to come... just saying... WHAT you been thinking all your lives????
How not to solve the problems and just play with the tips of the problem will solve the whole logic????
I knew in 1966 it was MY WAY or the future of this planet is doomed to be just a library left behind on a dead planet caused by humans too stupid to see a future past wars and playing MONOPOLY with reality when the dam game never ever had a winner! ALL LOSE in monopoly... no one left to rent you die alone and the whole game does not work without other players ALIVE...teaching your kids to destroy others via greed and vanity till doom...great!
try logic wisdom and correct form and functions to make every one of my village beyond all you have for the next million years here off world or any other world... it is my way or fail.",-0.9985,1148
AMAZING!! THANK YOU INGRID 👏👏👏,0.8537,9
"All that money can't add inches to your dick, bill :D Nor can it make you look less like a goddamn prune that has been marinating in Woody Allen's sphincter",0.0305,31
All this percentage look fair enough being an architect I always look forward to reading all this survey how it is calculated and concluded if you have resources to find data of all this question ask please link it.,0.5574,40
Amazing 💜,0.5859,2
Amazing! Go ingrid,0.6239,4
