,sentiment,wordCount
"""any form of internet communication is referred to as 'tweeting' "". That's only if you're an ignorant moron. 
https://en.oxforddictionaries.com/definition/tweet        https://www.merriam-webster.com/dictionary/tweet
http://www.dictionary.com/browse/tweeting
Not reading the rest of your long ass reply cause you're starting with an obviously false statement, which tells me the rest isn't even worth my time. All I know is you can't speak English and you are super triggered about the fact that I don't hate the well respected GM Seirawan.",-0.0726,81
12:58 must be chilly in the room,0.0,7
"15:10, what are you drinking?? Is that Heineken Jennifer? lol 😂",0.5171,15
"1972? I wasn't alive. How old are you? No offense but I thought you were quite young based on your insults involving (for example) weird fantasies about mothers and sex with animals. I've never known an adult that would think those things are actually offensive to anyone. I don't know if you're bipolar or something but I like your sweet side better. Anyway, if you're genuinely asking why people are so hostile about commentators: You should know that there's ALWAYS someone complaining about commentators. It's either about Maurice or Jen or Christian or Yasser (rarely Yasser though). People always want someone out, or they want someone else in, instead of enjoying the fucking FREE content that this great team provides. If you reproduce this toxicity, you'll attract hostility.   Many of us are just tired of people whining. You like Lyman better than Seirawan? Good for you, it's not going to happen. Ok, you might find some  other negative comments about Seirawan and others. As always, people with hate in their hearts are way louder than people enjoying themselves.  Believe me when I say most people really like Yasser. He's very good at explaining things for beginners, and has good  old stories that stonger players can enjoy.   Just look at the comments under one of his lectures. Or go to the Chessbrah Twitch channel and see how the audience (mostly teens) goes wild when he appears (subscriptions and donations go crazy). You have your own opinion, that's fine.  But at least next time don't express it by focusing on how ""bad"" Yasser is, and try to remind people about how good Lyman was.  What you want won't happen anyway, but at least you won't attract toxicity.",0.9916,329
"1:54 Yasser is asked to defend his definition  of a double attack. He is wrong. Only the attacking piece/pawn can make, in the accepted definition, the double attack. To add to a threat that exists with a single additional attack is not the same thing.",-0.9493,53
"3:37:37 ""As soon as I moved my whore""",-0.6486,12
40:20:20:20 thank me later,0.3612,6
"4:56:02 Jen Shahade erroneously compares Magnus Carlsen, the undisputed #1 in chess, with Serena Williams who, as John McEnroe was quoted as saying, is probably around #700 in the world in tennis. In fact, it would even be unfair to compared Serena Williams to Hou Yifan as Yifan can and does compete with some male competition and is at least in the top 100 in her sport. Grow up Jen! Stop pandering to the social justice warriors and the mindless PC crowd. If you want to get good at poker some day, you're going to need to learn how to be objective and honest and not let your feminist motivations contaminate the facts.",0.5848,127
6:27:38 - .....,0.0,5
7:00:35  . Throwback to that smooth interview.,0.0,10
7:07:00 --> the start of the tiebreak match,0.0,10
Ben Simon got you,0.0,4
Ben Simon gotchu* sorry boutique that,-0.0772,7
Can’t tell if troll or serious lol,0.3612,9
"Congrats to Mr. SuperCarlsen! He hasn't been under 2800 since November 2009. 
His stability on top is never before seen. He can drop a game here and there against top 20, but none of the others can stay above 2800 for very long.
He simply is the greatest.",0.8605,55
"Congratulations to the producers of this broadcast, who made it so fun to watch. I felt like I was watching the last round of the Masters golf tournament. This was really high quality sports coverage. Much love from Kenya enjoy the holidays & see you in 2018",0.9667,51
"David Wilson --- You're saying him calling you a virgin is projection but you end your comment with calling him lonely, which I would also say is projection. You're completely laughable. I'd love to see a picture of you. You're probably the smuggest looking twat there is, surviving only on Daddy's money.",-0.4338,60
DeadBunny69 it even beats Logan Paul’s diss track on Santa ffs,-0.5859,14
Did i mention chess?,0.0,5
Disgusting how blatantly biased the commentators were towards Fabiano at the end. Honestly fucking pathetic.,-0.7574,17
"Exactly, which is why Yasser is wrong in this case, where only a single attack was created, adding to the attack which existed before the move in the game. Only one piece can instigate a double attack, where none existed before the move, even is this involves one of the threats being from another piece by discovery.",-0.9217,64
"Fabi won! Fuck yes! As a Fabi fan, this is the most gratifying win since his record at the Sinquefield cup 14'",0.9254,26
Fabister win spoiler alert,0.7184,4
GREAT TURNOUT,0.6249,2
"Gay Turbo Actually, you wouldn't know the first thing about being a smart person. You're a simpleton who isn't even capable of engaging in a discussion that is even remotely relevant to this thread. You're just posting a comment which is completely devoid of content just to whine and cry like the frustrated butthurt bitch you are!",-0.826,61
Her constant feminist ramblings are hard to take. She adds nothing positive to the commentary.,-0.5145,17
I WISH I COULD SEE ONE GAME AT A TIME,0.4019,10
"I have to ask, is Wesley So perchance gay? I'm getting that vibe.

IT DOESN'T MEAN I'M GAY!!!!!!11 xD",0.7156,26
I just got done watching all the games from all 9 days....I'm spent..lol,0.0,17
"I know Shelby Lyman by reputation (including magazine articles) and it's a good one. Somewhere I saw a film or tape of a show that Shelby did hosting the Fischer-Spassky match in 1972 and this is how I know him- I wasn't there in 1972 but reputations do make the rounds. I just found out that Shelby is 81 and I guess that explains why he isn't doing commentary. Too bad this generation missed seeing him- he was about as good as it gets for this kind of thing,
     As far as 'attracting toxicity' is concerned, it doesn't concern me one little bit- I can dish it out better than you can take it and you know it . I got you to back off and apologize, didn't I? But that's not the point- the point is that not everybody will agree with you nor will you agree with everybody and I think you know that. But people have to learn to disagree without becoming disagreeable. You speak your peace and the other guy speaks his and I think that you know that too. Chess players and fans calling names and swearing? I thought this was an 'intellectual' crowd. Sometimes they sound more like they belong in the back room of a saloon rolling dice, drinking and swearing. Chess players acting like fools and little children over who likes what commentator? How low will they drag this game? Next year, Carlsen defends as does Tan Zhongli and there will  also be a number of tournaments and I hope we get some fantastic chess and even fantastic-er commentary and if there are disagreements and there are bound to be, may they be intelligently expressed. Peace to all and to all a good night",0.979,321
"I thought we were ""tweeting"" genius, so keep it short. Bullshit all you want but keep it shorter. I don't have time to read emotional garbage from a butthurt teenager.",-0.09,36
I'm not unhappy that this is trending. It gave me a good chuckle.,0.7865,15
"I've been watching chess since they first started broadcasting online, and this is the first time it's been on trending. Amazing!",0.6239,24
It also says there's 3 replies to my comment but I can only see one... Wierd,0.0,17
It's 9 hours tight fucker..,0.0,6
Jennifer's tits are noteworthy. That's about it.,-0.2263,9
"Jesus Christ dude. I have an IQ of 138, which would also make me in the top 1%, but I'm not a complete asshole like yourself. I'm pretentious, but you're like SUPER pretentious. I don't have anything to say to you other than I feel bad for you. You're obviously upset about something. See a therapist.",-0.6839,66
"LMAO another triggered reply. You're just butthurt cause you're a huge minority in hating Yasser. You defend Jen Shahade based on her accomplishments (which is fine), but then you don't even make basic research about Yasser Seirawan. As David Wilson points out, his accomplishments are even more impressive. So you're inconsistent and dumb. Which confirms my initial statement: Yasser is awesome and you're shit.",0.5432,75
Levon Aronian vs Magnus Carlsen LCC R9 https://www.youtube.com/watch?v=DhCH71tWhSg&t=12s,0.0,8
Little Peepee You're clearly doing what's called PROJECTION with that virgin comment. Only an actual virgin and someone very young would even think in those terms. You're too stupid to even have a conversation and I shouldn't even be wasting my time and the small amount of bandwidth it takes to try to reason with a lonely imbecile like you. You're so desperately lonely...getting someone to give you attention is like winning the lotto for you.,-0.0956,82
"Lol this has been fun. 
You're hilarious.",0.8316,9
"Lol, I didn't apologize. Talking to you without mentioning your lack of intelligence constantly doesn't mean I regret my actions. Is that a normal inference from someone with low self esteem? How do people usually talk to you? I admit I thought you were some old guy, and I don't like to be an asshole towards old people because it's impossible to change their ways. When you start growing pubic hair you'll understand that nobody ""backs off"" from your weird sexual fantasies. Healthy people like me will just think you're sick and disgusting, or at least too butthurt to express your feelings like a rational person.   But thanks for being positive and talking more about Lyman being awesome than Yasser being ""awful"". I'm glad I could educate you, but you still have many things to learn. .",0.7713,153
Nate Huffmaster You’re right.  There are no smart people here.  Just pseudo-intellectuals that secretly watch Top 10 videos and VEVO 90% of the time.  Just got sucked in from the trending list and are now trapped watching 9 hours of this garbage.,-0.6249,49
NiBBa none of these THOTS have even a chance against the great mikhal Tal,0.7269,14
Nic Weiss what do you mean?,0.0,7
Nic Weiss what??,0.0,5
"No he is correct, a move that creates 2 threats, even if it is in a discovered attack by another piece, is called a double attack. Even if the 2nd threat is a checkmate, it is called a double attack, it just means 2 threats at once.",-0.9545,54
No way I would play my king,0.0516,7
Now u can see all 9 hours..enjoy :),0.4588,10
OMG another fcking essay dude. Why is it so easy to trigger you? Grow up.,0.5777,18
"Oh alright there, David. I guess in your imaginary world you have to be a total prick and belittle others to make yourself feel superior. I don't care if you believe my IQ score or not. The idea that you get so worked up over an insult your Magnus Carlsen just shows how pathetically shallow and slow your life is. I really hope you find happiness, because clearly you're just one of those people who incessantly bitch and moan while hiding behind your computer screen without a single picture of yourself.",-0.6843,98
"Only people not named ""Nate""!",0.0,8
Only real nibbas watch all 9 hours,0.0,7
People watch chess?,0.0,4
Shut the fucck up kelly witless. You're just a mindless fanboy fagggot who knows nothing at all about chess...or anything else.,-0.4404,25
"Sorry, but Christian shouldn't rely so much on his engine. It's annoying, just give some decent commentary and don't be so stubborn about the engine evals. Practicality in chess is real, it's how Carlsen wins a lot of games. Annoying, even more so than in previous Grand Chess Tour installments.",-0.4473,58
Stephen L salam,0.0,3
"Still waiting to hear who these ""better players"" are Logic and how they are better than MC",0.7003,19
THIS SUM LIT SHIT,-0.5574,4
Thank you Ben Simon,0.3612,4
"Thank you again, team, for even-handed great commentary and coverage.  And nice job, Magnus, for sticking it out despite feeling like shit, giving a gutsy interview after a tough loss yesterday, going on to win the Grand Tour.  And Fabio winning London, nice! Congratulations...hope you get to play Magnus!",0.9762,62
"Thank you. That looks more like a ""tweet"". Yes, you're a genius buddy! Hope it makes you happy. Now you're bringing pedophilia into it as well... I'm telling you you're sick.  Say all you want about me, all I am from your perspective is the stranger that called you shit. It's not nice or creative, but it's not disgusting or insane. I wasn't expecting such a huge emotional reaction but whatever.  What also puzzles me is the fact that you decided to reply to me instead of replying to the guy making an effort to systematically refute your points. I think you're toxic and insecure. Bye.",0.5939,123
"Thanks for a great broadcast, please get a better viewing angle for the live chess.",0.9042,17
"The IDIOT who calls himself ""Logic"" No, you have it backwards. I'm the guy with my feet firmly planted on the ground. You're the idiot who is living in a fantasy world. A make believe world where someone like you, with an estimated IQ of around room temperature, who is too stupid to even learn the rules of how to move the chess pieces, is qualified to critique the play level of Magnus Carlsen, LMAO!",-0.5707,86
"The IDIOT who calls himself ""Logic"" Now you're begging for pictures of men, lol! So in addition to being a LOW GRADE MORON, it turns out you're also a FAGGOT who is trying to meet MEN to exchange pictures with!",-0.9405,46
"The IDIOT who calls himself ""Logic"" Of course this has been fun for you. You're a loser with no friends and no life who is thrilled to get a man to give you some attention. No need to state the obvious!",-0.6155,46
