,sentiment,wordCount
"""I want your secrets, your weapons. I'm gonna burn it all!""",-0.4389,16
"""Imma burn it all!""",0.0,7
"""It was a pleasure to burn....""",0.5719,9
"""Take That FireWood"" - DonSanSoSavage`",0.0,8
"""We burn books"" the end",0.0,7
#DonSanSoSavageApproved,0.0,1
#TeamSuper anyone?,0.0,3
*At least the movie's not 5 minutes long tho*,0.0,11
*Fahrenheit 451* movie avaiIabIe here [ en.opizo.com/Fahrenheit451HdMovie ],0.0,10
"+No Body i am bothered. Bothered that race is still an issue to people.
Thousands if not millions of people have died to try to change it. If we as people keep that issue alive. Then all those people died for nothing. So yes that bothers me.",-0.9142,54
232 degree Celsius,0.0,3
"451 F, the temperature which paper burns",0.0,8
A bad book will be a bad movie.,-0.7906,9
AHHH,0.0,1
"All of you already took all the Killmonger/Human Torch jokes, fuck yall lmao",0.34,16
"Am I the only one who was thinking...
""Where's Lilly?"" hahaha no, just me?",0.4137,20
And I FUCKING HATE how people are turning what shpuld be an awesome superhero movie into this giant race issue. Just shut the fuck up and watch the movie....or dont. I don't care. I just like marvel and super heros in general and i don't give a fuck about your drama. Lol both sides of my personality had to comment back.,0.3686,68
"Aqui é Brasil, caralho!",0.0,6
Aw man I remember when we had to read this last year.. good times 👌,0.4404,16
Beatty looks just as I pictured him,0.0,7
"Blackwashing another work of art, are we Hollywood?",0.0,10
Book is sick,-0.5106,3
Bruh they used Sicario's soundtrack in the background,0.0,8
Can't remake a work of art. See the original.,0.3182,11
"Criminy, this is one of my favorite books. I hope they do the remake justice, seeing as how it feels like we live in a Fahrenheit 451 society.",0.8957,32
Don't get me wrong I love Michael B. Jordan but this just doesn't seem like a role that fits him,0.1808,21
Everybody quoting black panther in the comments is really annoying. Prob haven’t even heard of this book.,-0.4576,21
Excited to see this.,0.34,5
"Fahrenheit 451 is egzist but you dont se it washbraine, eat what you served.Your lifes is created.",0.3612,19
Finally! I read this book in high school and they finally make a movie and with Michel B. Jordon 😏,0.0,22
Finally.,0.0,2
"For all the race baiters, if you actually read the novel you'd know there's no reference to Montag's race at all. His wife and Clarise are white that's all we know.",0.0258,34
"GET RID OF CABLE/SATELLITE 
TV NOW!
ONLY $20 A Month for 500 streaming channels on any device👇👇👇
http://setvnow.com/#nocabletv   
Get PAID💰💵 per referral Too
bit.ly/JoinSETVToday",0.0,33
General Zod's new motto: I WILL BURN THEM!,0.0,10
Getting Equillibrium vibes.,0.0,4
God bless Ray Bradbury,0.5994,4
"Great- one more excuse for lazy fuckheads to not read the book. 

WHICH IS ABOUT THE DANGERS OF NOT READING BOOKS.

Fucking hell America. 
Really.",-0.7843,30
"HBO and Netflix are not even on the same level, just look at the quality.",0.0,17
Have a hard time believing HBO is going to tell the actual story without changing a lot. Too many social aspects of this book go against what the media and hollywood follow. So here's hoping its not just a washed down version or a liberal view of conservative narrative,0.3976,51
He died the day I finished reading the book,-0.5574,9
Hey look it’s a movie about the book I pretty much didn’t really read and I still somehow passed the tests and class with ok grades. Yay go 9th grade English,0.8316,36
Hey thats pretty good,0.7269,4
"Hopefully they don’t make the only good people in the film black, because then that’s when I know that the studio got involved and put a bunch of politically correct dumb shit in the film that hinders what could be an otherwise incredible live action adaptation of possibly the greatest dystopian stories.",0.4404,58
How the fuck is Michael b Jordan blowing up,-0.5423,9
"Huckleberry Finn , Tom Sawyer , Gone With the Wind , The Bible , Around the World in Eighty Days and To Kill a Mockingbird . All are on the radical leftist burn list . The future is here .1984 wasn't just a novel it was a blueprint for today's democratic party .",-0.6075,54
Hype,0.0,1
I WANT IT NOWWWWWWWWW!,0.1511,5
"I adore the book and I have full faith in Michel B Jordan as a good Guy Montag, but this feels totally different from what the text. Like, “Fahrenheit 451” is a thinker but it’s not dark and gritty. It’s this colorful electric and even the firefighters in it are kinda playing along with the whole one dimensional reality. It’s not your regulation dystopia.",0.8466,78
I am not impressed.,-0.3724,5
"I can't wait to see how they create ""The Hound"" in this",0.2732,14
I cannot wait,0.0,3
"I don't know if I'm excited to see it become a movie or worried that it'll be like Percy Jackson or Eragon

Edit: I want the fucking Mechanical Hound.",0.4588,31
"I don't twerk, I read",0.0,6
I feel like the whole point of this story will be lost in translation if you can just watch it.,0.0516,21
I guess burning all the heart shaped herbs wasn’t enough,0.0,12
"I have no opinion one way or the other on the subject because it doesnt matter. Why not? the simple facts:
we are all people
We all live on earth. 
We all are born.
We all die.
We all feel. 
We all think.
And we are all classified as the same species. 
So no...i wouldnt care. And i dont give a shit if they want to make MONTAG a black man....WHY does that bother you so much? And hiding behind ""ITS ABOUT THE SOURCE MATERIAL"" is what i perceive to be closeted racism. Thats what i feel keeps race issues alive. Closeted racists. I may be wrong and if i am i apologize. But come on...... Like FR",-0.9457,140
"I heard that Library Wars was based of Fahrenheit 451, so here I am. 😅",-0.5574,17
I hope this carries the theme Ray Bradbury was trying to get across about censorship and the like,0.6597,18
I hope this doesn't slow down MBJ's filming of the Space Jam anime sequel...,0.4404,15
I hope this is amazing.  I have taught the book several times - to 9th graders.,0.7717,18
I just read this book it was awesome,0.6249,8
"I mean, yeah. But that's not what I was talking about. It's just an internet/twitter trend to say ""your mcm..."" followed by something a disappointing guy would say. Just to basically make fun of mcm's. But lmao I've never had to explain it before, it's weird if you don't have prior context.",0.6705,64
I read the book this year 😂,0.0,7
"I read this book back in 3rd grade and now they make a movie 25
 years later",0.0,17
I really fucking hope fandoms don’t ruin this adaptation of a beautiful book,0.5531,15
I really think you're the one that's bothered lmao,0.3818,9
I remember reading this freshman year,0.0,6
I rememebr this book,0.0,4
"I saw the 1966 movie on TCM a while back.  never knowing about the book's existence either.

in that version, there were no written words anywhere, everything was symbols. Even in the opening credits, they're spoken to you with no text.  Very interesting and weird.",0.0334,53
I think they replaced it with an aerial drone...,0.0,10
I want to see the hound,0.0772,6
I was forced to read this book in 9th grade. So I know what's going to happen,-0.4588,18
I'm Reading the book and it's so good!,0.6166,9
"I'm barely finishing it and this came out, I hope it doesn't ruin it the book is amazing",0.8681,19
I'm interested to see Wakanda movie this will turn out to be,0.4019,12
"I'm looking forward to this. I hope it's good. It will be great to have an updated rendition of the story.
I love the use of the ""Sicario"" soundtrack.",0.939,35
"I'm not a racist person, but I just don't see Montag as a black person. In the Francois Truffaut film the firemen look a lot like Nazis  (which is appropriate, since the Nazis burned books).",0.6553,41
Incoming 8th grade flashbacks,0.0,4
"Ironic that Michael B. Jordan is starring in this film and then supporting ""inclusion riders"". That is literally what Montag was fighting against in Fahrenheit 451.",-0.0258,31
"Is it weird all I can think about is how ecologically minded are they trying to be, since tha's a lot of books being burnt up",-0.1779,27
Is there no classic novel that modern Hollywood can't ruin? Did they even read the book? Another social justice screed.,0.7865,23
Is there no originality left in the world?,-0.296,9
Is this a movie or a show?,0.0,8
