,sentiment,wordCount
"""Easily give you 10 stories, I'm sure""..... Well, if you get sexually assaulted THAT many times, you're clearly putting yourself in that position. This shit is getting ridiculous. It's time to quit pulling out your victim cards for 5 minutes in the spotlight. You're starting to make people not give a shit about the TRUE victims. Don't take my word for it, look at the like to dislike ratio. Just stop, you're making me lose compassion.",-0.8302,90
"""I'm one of hundreds of thousands of women that has a story."" --okay, lets hear it, bitch.
""I could single in and talk about my experience but i think its more important to talk about the entire movement as a whole."" --Bitch how the fuck do you manage to make the personal political without actually voicing the personal first? I 100% know you're full of shit. And you clearly justify this slander to yourself, because you think, hey, if i talk about my fictional rape experiences for attention, i'm helping women everywhere. I'm basically jesus. But no--you're only helping teenage sociopaths like you who promote victim culture as a means of getting their 15 minutes of fame.

We all knew Louie was a pervert. That was not news. I'm sure he's crossed the line before, his entire stage persona is that of a habitual line crosser. But these guilty until proven innocent witchhunts, target good and talented men with sensationalist populism. The whole ""#metoo"" movement (and i doubt anything that claims to be socially progressive that starts with a hashtag) is about the mentality ganging up and thinking ""if we get enough women to accuse this guy, we can destroy his entire life without a trial."" Telling women they're not alone isn't a recipe for tolerance, its a recipe for mob mentalities. Thats not progress, thats ochlocracy. Thats shirley fucking jackson's the lottery. You pieces of shit think you're above the law... You want to accuse a man of rape? LET THE FUCKING COURTS DECIDE. Let a fucking jury of your peers decide. Don't poison the well and destroy a mans entire career before you've even gone to trial. Lets say the man WAS a rapist. He should still fucking walk, because at this point with the way public perception has turned on him like a bunch of hungry jackels... There is literally no way to ensure a fair and impartial jury. That's a mistrial before its even begun, and its YOUR fault.",-0.989,386
"""People are going to be held accountable.""

You mean men.
Women aren't being ""held accountable"" for the same shit.
And they're not held accountable for lying about it.

What you will get is people being less likely to believe women, and men staying far away from women, to avoid risking having their reputation ruined.",-0.9274,65
"""Thank you for asking me that question. What an excellent question and I thank you for it. I think it's so great we live in a time where you can ask questions. Because without questions, we just have answers. And an answer without a question, is just a statement. Thank you very much.""",0.9472,63
"""You could ask any of us in this room and all of us could easily give you 10 stories I'm sure""...",0.34,24
#FreeLouie,0.0,1
#MAGA  #COVFEFE #TRUMP,0.0,3
"#MeatToo

For women being so “strong and equal” they sure are victimized a lot.  MeToo is a joke.",0.1779,22
#freelouis,0.0,1
#fukwomansfeelings,0.0,1
#mepoo,0.0,1
#metoo I was raped by a girl who was looking like chloe grace. She fucked me really hard and I cried,-0.8503,22
"''Everyone has a story'' I don't get what this means, is she saying every woman has been raped or sexually harassed? If so, I think the movement is fake with celebs fishing for more recognition to promote something.",-0.8532,46
"@ Cameron Homan - that's what I'm talking about. No one wants to hear it. And, by implication, the reverse of it should be true about metoo, men do not want to hear about women bellyaching either. If it's okay for women not to give a shit about men, then why should men give a shit about women? What is sauce for the goose is sauce for the gander.

Thumbs up to you for being a perfect exemplar of this.",0.8963,90
@variety Fuck you!,-0.5848,4
Actually impressed with her diplomacy...,0.4767,6
Ahhh sut up you big clit,0.0,6
"All I heard was ""blah blah blah blah"" 
But she hot doe 😂😂😂",-0.3818,17
All you need to destroy someone is an accusation these days. I politely solicit women via telegram,-0.6705,18
Am i the only one wondering if Louis CK is not just a sexual predator or if hes also a pedophile coz Chloe is only 20 and he may have assaulted her while she was also underage.,-0.5267,38
And no men will help women at work anymore ... good luck with that lol,0.8481,15
