,sentiment,wordCount
"""She's one of the survivors""?  How many people did he kill?  What Nassar did was horrible but he didn't kill anyone.  So why is the news trying to maximize how sensational this story is by using the term ""survivor""?  The primary definition of survivor is someone who remains alive in an event where others have died.  So who did he kill?  If he didn't kill anyone then its ridiculous and shameful to call Aly a survivor.  Aly was sexually abused and she deserves justice but the fact that the media is using a word that doesn't fit just shows how shameful the news media is becoming with each passing day.  Everyone already hates Larry nassar.  its not necessary to use words out of context to make people hate him more because he is already one of the most hated people on earth.  Aly is NOT a survivor and shameful and disrespectful to people that are real survivors to call herself a survivor.  She was sexually abused so call her what she is.  A victim of sexual abuse.  But don't call her a survivor because as far as we know he never killed anyone.  She is not a survivor and it is shameful that she allowed people to coach her into saying that.",-0.9961,231
"""Survivor""",0.0,3
#FreeLarry #TheyLying #YallLovedItNowYallComingOutSaltyCauseYallBrokeAndAin'tGoFarAndWantMoney,0.0,3
#illrapethat,0.0,1
'survivors' ? Hyperbole much?,0.0,7
*SHES SOOOOO HOT*,0.0,5
*m y   l e f t   e a r*,0.0,11
.,0.0,1
...,0.0,1
0:50 almost had a heart attack that my headset broke one speaker.,-0.6845,13
13:36 the pervert behind the camera zooms out to get a body shot of the victim. a Hilary  supporter no doubt.,-0.7906,23
??,0.0,2
@southchum101  > ROTFLMAO  that reply was frick'n epic! frick'n hilarious.,0.8188,12
"A Bae A Bae people usually don’t die from sexual abuse so it IS strange to use the word survivor. If it makes her feel better that’s cool but the definition of victim isn’t supposed to be degrading, it just happens to have the best definition that fits the scenario.",-0.5076,59
All yaw crackers some mutha fucked crooks!,-0.69,8
"Aly Raisman you are brave, so amazing and you are on fire!",0.7997,14
Aly is so hot.,0.0,5
Amazing 👏,0.5859,2
Amazing.,0.5859,2
"And bend over, Aly.",0.0,6
Anyone know we're to get cookies,0.0,6
Are they also going after US Olympic organization?,0.0,9
"As a heterosexual man, I find her very beautiful. But I feel GUILTY for that, because of the horrors she and other young ladies had to suffer at the hands (literally) of this satanic monster. I hope she and the others can heal, and find Comfort in Almighty God.",-0.0103,57
"As a native Arkansan she looks hot as fuck, I'd eat the peanuts out of her shit, so hot",-0.7964,21
"As long as men continue to deny that women and children get sexually abused, it will continue to happen. The same kinds of men are against lgbt people but act so gay themselves.",-0.431,36
"At first Trump, now Nassar, really falling from grace....the US",-0.2247,14
"Ayai 
  
.",0.0,2
Bill clinton,0.0,2
"BlakeRocks52 It’s purely to avoid saying victim because that’s not
empowering. Are you seriously
that dumb or you just trolling",-0.8214,26
Body,0.0,1
Boom BLAST Haha got one.,0.4588,6
Boom BLAST Hilary supporters are hypocritical. nothing to do with politics.,-0.0258,13
