,sentiment,wordCount
"""... and Bill Maher, go fuck yourself""
damn what did he do to her or what was that about?",-0.7351,23
"According to a recent statistic, black people make up 13 percent of the US population.",0.0,17
"Actually, his use of the N-word was taken out of context. It wasn't meant to be hurtful and - dare I say it - wasn't racist. But of course, the subtlety of the matter was lost on too many viewers and critics.",-0.5544,47
Amber is everything.,0.0,4
Amber is so great!!!! I wanna be her best friend,0.8614,13
Amber needs her own late night talk show,0.0,8
Amber rules!  ❤️❤️❤️❤️,0.0,11
Amber says a lot more than what,0.0,7
Amber singing was the icing on the cake! She is so talented.,0.674,14
Amber sings WHAAT!,0.0,4
Amber so lit. Giving shine to the #FUCKBILLMAHER movement!!!,0.5506,13
Amber!!!!  You killed it!,-0.7696,8
Another loud woman who happens to be black ;( I want so much more for her!,0.1511,17
"Ashley Lavergne I'm not. I heard the joke live, in context and thought it was funny at the time. The next day I had a heated talk about it with my friend who saw the snippet / heard what others had to say about it and of course was outraged. Everyone's got an opinion on it...

That said some POC are upset about all the borderline & flat out racist things he's said over the years (from what I've read). I just started watching him a year ago, so IDK how much backlash he's rightfully earned",-0.8258,105
Awh. I love Amber,0.6369,5
Beautiful!,0.636,2
Can't wait to see how Maher responds.,0.0,8
"Carla Lussini I don't think I'm right (or the moral instance to look to for absolute truth), I was merely agreeing with someone that the incident itself was a lot more nuanced than what it's made out to be and that the intention behind Maher's comment might not be the one you seem to be so sure of.",0.6588,62
"Carla Lussini so disagreeing with you in general is bad? You seem to be fostering the idea of your moral superiority, I find that a little disconcerting.",-0.6389,30
"Carla Lussini well, I'm not white and I dare concur with Steffen.",0.2732,14
Congrats Amber. Before too long you will host Late Night and Seth will be writing for you.,0.5267,19
"Daneelro it's her upbeat attitude! She's like a puppy who just ripped up your throw pillows while she looks at you like ""what did I do wrong?""",0.6476,31
Died at Girl Trip 2 joke 😂,-0.34,7
Discomfort is one of the building blocks of comedy. I dug it.,-0.296,14
Geez. Is there anything this woman *can’t* do?? ❤️,0.0,17
"Grateful for the laughs, Amber. Only thing keeping my head from rolling off my shoulders sometimes.",0.7351,19
"He thinks he's a rebel cause he says politically incorrect (shitty stuff that white straight guys have being saying forever but just know are being told that they can't say without people talking about what a dick they are) things like using the N word, wich is the only thing americans have agreed upon that they shouldn-t say if you-re a not racist white person.",0.7123,69
"He used the N-Word, and acted like he's cool.",0.5859,11
"He's just a smug asshole.
He says offensive things for the sole purpose of pissing people off and seeming edgy. Really he's just saying all the same shit that white guys have been saying for centuries.",-0.8176,39
"He's pretty offensive about Muslim people too, lumps them all together like a race, instead of a religion, and hates on all people of faith, not just extremists.",0.3818,33
"Ho my god , she can sing to!❤❤❤",0.3382,12
I LOVE AMBER!!!!!!!!!,0.7482,6
"I admit it, I am somewhat outta the loop: So, would someone please tell me what is behind the bill maher 'shade,' hate, etc? Did he do or say something particularly agregious, recently, or what?",-0.1769,46
I have noticed Bill Maher is acting mighty guilty lately.. lol,0.0,12
I heard Amber Ruffin was doing the 2018 Writers Guild Awards and I was like WHAAAAAAAAAT!?!,0.7256,19
I heart Amber,0.0,3
I laughed till I cried,0.1027,5
I love Amber and think it would be great to see her get her own show.,0.8519,17
I love Amber!,0.6696,4
I love Amber! We need to have more of Amber on Late Night with Seth Meyers!!!,0.7482,20
I love Amber. You always make me laugh :),0.8957,10
I love it!! I wish she was hosting the oscars :(,0.6792,13
I love you so much Amber,0.6369,6
