,sentiment,wordCount
,0.0,0
"""Oh God you've come to get me. I knew it! It's the Muslim stuff, right?""
""No."" 
""It's for calling Mexicans rapists?""
""No.""
""The Roy Moore stuff?""
""No.""
""Draft dodging?""
""No."" 
""The birther stuff?""
""No ."" 
""Pocahantas?"" 
""No.""
""The Central Park five? No wait...making fun of the handicapped reporter like this: Ehhh ehhh!"" 
""No!""

I. Can't.",0.7458,105
#Trupp,0.0,1
"10, 287 trump turds thumbed it down along with  the Man himself . LOL",0.5473,15
1:43 I died😭 and came back to life and died again,-0.5574,12
4 weeks ago this says Christmas was only 2 weeks ago,0.0,11
48k likes vs 10k dislikes I say that's a win,0.5994,10
5:25 oh HELL YEAH!! OUR TRUE PRESIDENT IS HERE AT LAST!! SAVE US HILLARY CLINTON!!!! #ididntvotefortrump,0.7379,23
"@2:23 - "" Oh Mike you were my man!""",0.0,13
A moment of deflection is worth a lifetime of pointless investigations.,0.2263,12
After seeing the great stuff you post I think you'd be inspired by my story. You should check it out if you get a chance.,0.8519,27
Alec Baldwin is one dumb looking mo fuker,-0.5106,8
Alec Baldwin looks likes Trump. I saw Alec’s book next to Trump’s actual book and I couldn’t tell the different at first. But Anthony atamanuik does the best voice.,0.7906,38
Alec Baldwin you are an american hero. I wish you were president at this moment X),0.743,18
"Alec, you better have a talk with your brother Steven.  There is a massive ET spacecraft over our planet, and the governments of the world know this is true.  The ETs are getting ready to sever the wicked from the just.  Time to start thinking about saving your souls, people on planet Earth, because the Kingdom of Heaven is at hand!",0.8908,69
"Alex's Trump impression gets worse not better. This is worn out. As well,  pizzagate is real. Luciferians run it all. You can do better.",-0.7279,30
Am I the only one who had never heard of Billy Bush before the bus tape?,0.0,17
"America was too busy tweeting and posting on FB, about the hilarious skit of Donald Trump on SNL. While he was winning the elections! LMAO. Everyone is too preoccupied on the materials things around, that they have no clue for what is right for America, just idealistic thoughts of what is right.  Also since there is sooooooooo much mixed culture, you tend not to worry about the bad things about different cultures, instead you choose the sentence like "" There human just like us"". Oh there human alright, but with a different mind set on things.",0.8427,109
And the political situation in America just keeps getting funnier by the day.  SNL needs to do a skit spoofing Israel and the KKK.  It's all such brilliant comedy!! I can't wait to see how it all ends....,0.8619,43
"Anybody watching SNL is kept dumb and built to beat!  You will not steal my sunshine, SNL.  The Lord God is my Father, and your souls are his.  How's that for reality?  Oh, that is right, you like to believe your own lies, and live in delusion.  Very well then, if you chose to serve Satan, you will get your just reward.  Notice that massive ET spacecraft hovering over our planet?  Do you know what that is?  Hint: Somebody was supposed to return to Earth with his own.  Remember now?",0.7045,108
At 1:42 LMFAO!!! 😂😂😂😂😂😂😂,0.7277,9
"Authentic geniuses do not boast. Authentic successes do not toot their own horns.  Think Einstein, think Salk, think Warren Buffett. Trump is an infant.  He is insecure and incredibly needy.",-0.8135,37
BORING,-0.3182,1
Baldwin a shit impersonator,-0.5574,4
"Baldwin is not funny, the only time he is happy is when he is making MONEY off of Trump.  Baldwin is a no talent hack that needs to go away. SNL has not been funny in a DECADE.",0.125,42
Best sketch! !!!,0.7482,6
Brilliant!,0.6239,2
"Car drivers, pilots, power station engineers, and supermarkets prefer poison to clean air, therefore worship their own death...God, Almighty Bless The Cowards..(The Angel Of Death)",0.4939,36
Carlos Danger!,-0.5707,3
Cecily Strong is so hoooooooot,0.5106,5
Conservatives should put down “choking on Donald’s schlong” on their resumes under “Personal Achievements”,0.0,20
Do you think I'm cool? :-D,0.7456,7
"Does anyone still watch SNL???    Oh yeah, a few middle aged female Hillary supports.   Ratings in the cellar.",0.6416,24
"Don't let Trump fire Mueller to kill 
the Trump-Russia investigation. 
#CallBankAmerica 800.732.9194
jam the phones disrupt business
Give Congress a run on the bank 
to convince them to #ProtectMueller #ImpeachTrump 
TheResistance.Blog@ogkeyser",-0.3948,35
Douche would be on the street if it weren't for his portrayal of a real man. Scum sucking libs,-0.3612,20
Duscuting joking about the thousands of kids Hillary sold and trafficed ..you people are sick,-0.34,16
Edward Cenerizio ^ retard that watches the sketches and then claims nobody watches 😂,-0.5267,14
Even though I'm a trump supporter I find the skits hilarious,0.5859,11
Every one loved Trump before he ran for office,0.5994,9
Fire everybody that has there head in Trump's ass!!!!!!!!,-0.5526,12
Fuck you all SNL.,-0.5423,5
Funny 😁 but they Should really lock 🔐 Hillary up instead she’s the real criminal doesn’t matter anymore if you are a woman you going to be treated like man because you want equality well good for you Smart aaa and glad that Hillary Clinton is never ever going to be a president in the United States in her life time awww  pee u,0.9581,68
"Funny...  Alec bashing Trump's intolerance after Alec, himself, has a record for calling gays “faggots,” black ex-NYPD officers “coons,” and his own 11 year-old daughter a “pig.”",0.0,39
GOD DANG IT! SNL sucks on Donky Dong these days. God I miss laughing. I guess that's what the internet is for.,0.6514,26
"Go ahead, Keep making fun of Trump, it's helping us win better #maga",0.9042,15
Gotta love President Trump. Stock market breaking records. Unemployment at the lowest rate in 20 years. Foreign business investing in America again due to deregulation. Illegal immigration down 70%. Drugs coming over the border down 73%. GDP the highest it has been in years. Tax reform. All this done in 1 year. Best President ever.,0.0772,67
Great great,0.8481,2
HERE IS LUTHER CAMPBELL OF 2 LIVE CREW SAYING HE HAS TO LEAVE A TRUMP PARTY AT MAR A LAGO BECAUSE THE PATRONS WERE HAVING SEX WITH UNDERAGE GIRLS FROM THE MISS TEEN USA PAGENT- youtu.be/pmq_m7rqYY8,0.0431,37
HERE IS TRUMP SAYING HE HAS SEX IN COMMON WITH IVANKA- youtu.be/VWxkauh6lyA,0.0,13
HERE IS TRUMP TELLING A 10YRS OLD GIRL I WILL BE DATING YOU IN 10YRS- youtu.be/yRAPLodRnd4,0.0,17
Haha I fucking love Trump!,0.831,6
Hair needs to flap from the bac 2 the frount,0.0,10
Hence I will merely say after a heavy sigh and face palm: Put the shirt and pants on now actor version and real version (with real version jr). It's winter time,0.0258,35
"Hilarious!
Good one Donald Jackass Tramp.",0.4753,8
"Honestly who would of thought that Alec Baldwin would of not only saved this show basically, but also became dare I say the best impersonation in SNL history. There have been many through the years and I have been watching this show since 1990, and time after time he just gets funnier and funnier. It's the best impression because its the perfect balance of spot on impersonation, but also that exaggerated humor with the facial expressions etc. But his timing and delivery are downright impeccable. Kudos to the writing staff as well with the jokes and lines but honestly how hard can it be to make fun of that asshole, he is a magnet for comedy and just what the show needed in a way bc the funniest members are female like Cecily and Kate, who is a genius. Kate and Alec together are unstoppable",0.9954,155
How did I not see this yet,0.0,7
I absolutely LOVE this as a TRUMP SUPPORTER. You guys STILL can't get over it. You can't get over how SICK of you LIBERALS that REAL Americans are. We are truly blessed to have adversaries as DUMB as YOU are... Good night and GFYS...,0.8268,49
I can't believe any one still  is still watching Saturday night live it turned to trash years ago. It should be cancelled what a waste of air space,-0.5859,29
"I don't even remember who Michael Flynn is. It's so hard to keep track. It's like a drama, but you only watch every other episode.",0.0815,29
"I grew up watching this show when it was funny. Now it is just another Liberal Lie promotion show... same old Liberal theme; Hate America, Dont believe in God, Hate our Military, etc... on and on... ya, ya ... Good fit for NBC Liberal Liar network.",-0.3182,56
I love the Donald trump skits,0.6369,6
I love this! F trump for life,0.6696,8
"I pity christians, not hate them.  Evangelical christians are a different matter, they're the christian equivalent of the Taleban.  Fundamentlist extremists that need to get a life of their own and leave others alone to live theirs.  They've wrecked the US education system, are anti-scientific (anti anything that disagrees with their ludicrous, vapid god claims), have caused untold misery in countries like Africa where they withhold aid if planned parenthood is practiced and so causing millions of unwanted children to be born and the spread of diseases like AIDS.  They're trying to hijack the government, insisting that the US has a christian constitution when it patently has not, and they mentally abuse their children to grow up to believe the same stupid things they themselves were indoctrinated to believe. 

The tyrant you speak of takes many forms.  Anyone or anything that seeks to oppress others behaves in a tyrannical way.  The systematic oppression of the blacks and gays in the US is a direct result of christian teaching, gleefully seized by those who want to oppress blacks and gays anyway, it validates their bigotry.  Trump wants to be a dictator, he's made that quite obvious.  He wants to do what he wants with no constraints, and the sooner he's removed the better it will be for the USA.  The evangelical christians have threatened ""blood on the streets"" if this happens, so much for christian love.  Hypocrites, all.",-0.7907,266
I remember when SNL use to have comedians on the show; SNL of Christmas past,0.296,16
I remember when SNL was funny. That was a long time ago,0.4404,13
I remember when the US had a proper president.  That wasn't so long ago but it feels it.,0.0,20
I think Apple is slowing down these ads intentionally.,0.0,10
"I typed ""drizzler"" not ""drizzled"" above. Stop fucking with us, Amazon",0.4313,17
"I used to love the comedy against bush. I feel like doing a parody of Trump is too forced and often just feels like its more about making a statement rather than going for laughs. This is generally the feel of most things these days, which is why i have for the most part stopped watching TV in general.",0.8665,63
I watched the entire thing. It's not funny. It's boring. It's not funny at all. SNL really sucks.,-0.6851,23
I went to a play of jack and the beanstalk there was a Donald trump face on the giant 😹😹😹😹😹😹😹😹,0.34,22
I wonder how many skits they did on Obama? Oh wait he's black it might be considered racist lol. Fix the racism in the prisons that's where it's at.,-0.743,32
I'm all for Trump. Hate how the media bashes him 24/7! But these skits are hilarious AF!!!,-0.4885,22
"If Hillary managed to win with all her voter fraud, SNL would have to rely on their lame comedy sketches.
At least they can mock President Trump for the next four years.
If he loses in 2020, SNL might at well go off the air like it should have 30 years ago.
In the meantime, all you kiddies have fun with your childish TV shows.
By the way, your hero Alec Baldwin called a homosexual a cock sucker and chased him down the street after he took a picture of his daughter.
He's a hell of a hypocrite.",-0.6908,108
"Im a Republican, but I still find this hilarious. Sometimes you just gotta have a laugh without taking it seriously. Cheer up people. Its a joke.",0.9591,31
Is this what passes for comedy in your country? Or does cold open mean no jokes?,0.3939,18
Isn’t great that Hillary is just a ghost behind that table and goes away... Make America Great Again,0.7845,21
It made the list at https://www.historyandheadlines.com/january-5-1066-10-modern-nicknames-celebrities/,0.0,6
"It was funny, but where is Bannon and Moore? I was expecting to see them to rub salt on Trump supporters wounds!",0.7263,25
It's funny !,0.4926,3
"Its been 30 some odd years since I watched Saturday Night Live.  It stopped being funny then. NO change now! Still not funny!  Like silent,  sad skits from high school.  Mrs Emissary.",-0.7292,39
"Just tell 
me how to turn this crap off my phone z  keep it off",-0.4588,15
L O C K   H I M   U P,0.0,9
LOCK HIM UP! AH AH,0.0,6
Lame,-0.4215,1
"Last year, this was funny. Now it's garbage, Alec sounds like....ALEC... But it occasionally has some funny things, NOT Alec though.",0.7003,29
Libtards,0.0,1
Lmao love you all,0.8442,4
Lmao of hillary being the last ghost,0.3818,7
Lock him up for what? Hillary is more crooked than President Trump is. Thank God she isn't president. MAGA!,0.5983,23
Lock that bastard up,-0.5423,4
Lock them both up.,0.0,5
Lol,0.4215,1
Lol snl needs to bring back Putin,0.4215,7
Loll,0.0,1
Look at how the liberals act when they lose. I mean just look at it. They cannot except the loss so they actually look like bigger fools. Alec Baldwin is that guy that attacks people in the street for taking pictures of him?? Great role model.,-0.1526,52
Lord 😂😂😂❤️❤️,0.0,8
Love this.,0.6369,3
Low IQ comedy,0.1027,3
