,sentiment,wordCount
"+MountainRain Omgeeee, Hisoka ❤",0.0,6
"@TracyKaoma If you like this, we think you might also like this video: https://youtu.be/GEN8s2DW6tM",0.6124,16
"Adwoa is ""supermodel-material""? Since when?",0.0,9
Amazing!!!,0.6884,4
"Ashley Graham has so much class, and her body language is sooooo nobel. <3 Also, LIPSTICK CHESS!!",0.5399,22
"Best cosmetic ad I’ve seen in forever. Always thought of Revlon as a company geared towards older women.. but this commercial makes it young and fun. Everything from the makeup to the dresses, music and dancing is spot on. Please do more like these! 💋",0.9323,53
Blow your mind that's the song,0.0,6
Blow your mind-Dua Lipa,0.0,4
"Congratulations on your new campaign from this open-hearted guy who believes women and men can partner with each other to save the world. Please post the speech Gal Gadot gave at today's NYC launch of the campaign. Thanks!
#OnlyLoveCanSaveTheWorld",0.9117,42
Don't you know your beautiful the Way you are,0.5994,9
"Funny, because we keep being told by the fashion industry that Adwoa, Ashley and Imaan are supermodels",0.4404,19
Glad Ashley is in the ad but they do cover her up every time she’s on,0.25,18
Hi @MariaLeaf ! We love hearing your feedback and are so happy you liked it. We think you might also like this video: https://youtu.be/GEN8s2DW6tM Let us know what you think <3,0.9565,33
Hi @TransplantedAmerican Ashley is wearing Certainly Red :) We're so glad you like it <3,0.924,15
I like knowing that this is an AMERICAS NEXT TOP MODEL COMMERCIAL. So are these the tops girls that made it so far???? Because on ANTM only 4episodes have been released so 🤷🏼‍♀️ there are still A LOT of girls left.,0.8516,50
I love ashley graham!!,0.6988,6
I love it.,0.6369,4
I love the ad so much esp Imaan! ❤,0.6696,10
I love this song,0.6369,4
"It''s ""Blow Your Mind (mwah)"" by Dua Lipa",0.0,12
Lol,0.4215,1
Love is on Revlon. It's cool. :),0.8591,9
"Maybe, just maybe, they're trying to showcase women besides supermodels since their customers are largely, you know, not supermodels? Lmao wow shocking, I know! You mean everyday women want to buy makeup from brands that employ powerful women they can see bits of themselves in??? Amazing. Who would've guessed.",-0.5057,61
Omg Ashley Graham is so beautiful!!!,0.7825,9
Princess Narriah Blow your mind by dua lipa,0.0,8
Raqurl zimmermann is perfect 💕,0.5719,5
"Some parts are cringe worthy. Nice try in trying to top what L'oreal have been nailing for years. Nonetheless, Raquel is the most effortlessly perfect for Revlon new set of casts (eventhough Revlon focuses more on that so called supermodel Ashley and Adwoa & she seems like got picked for this just for the sake of Revlon to have one supermodel-material person for this brand - bit saddening).",0.9182,74
Somehow I'm in love with the song pls make this a REAL SONG ITS DA BEST,0.8868,16
Song: Blow Your Mind (Mwah) - Dua Lipa,0.0,11
Song?,0.0,2
The song is blow you mind dua lipa,0.0,8
The song is by Dua lipa,0.0,6
The songs name is MWAH by Dua Lipa,0.6408,8
This is actually a cool commercial,0.3182,6
Thx,0.3612,1
What is the song,0.0,4
What's this song?,0.0,4
What’s the name of this song?,0.0,9
What’s the song?,0.0,6
YAS DUA YAAASSSS,0.0,3
elizabeth McKinney yes,0.4019,3
"i said ""so called supermodel material"" which part of that phrase you don't understand well? tell me, i'll explain further.",-0.2057,25
what color was ashley wearing?,0.0,6
