,sentiment,wordCount
"""ANTIWAR-PROPAGANDA"" does not exist.FUCKING WARPROPAGANDA PSYCHOLOGICAL MANIPULATION
ANTIWAR PROPAGANDA IS CALLED ""THE TRUTH""",-0.3885,17
"""Fondas name synonymus with Outrage ?"" Duh.... ""Dont you Treasonist, traitor B*tch ?""",-0.5661,21
"*""look at her treatment of our military during the Vietnam war""*
But yet again ZERO mention of the US military killing millions of Vietnamese civilians.
HYPOCRITE.",-0.6597,32
"+The View This is related to the film she's promoting. What's the problem to talk about everything? - Double standards?

Who are this pseudo-journalists? Well, they're not 'real' journalists - that's the issue.",0.3485,42
All of you supposed feminists upset because a woman isnt afraid to ask a question and call someone out. If she had asked a question that agreed with your political agenda you would call her a hero.,0.4767,39
All these round table cunts are SO jealous of Megan Kelly.,-0.8371,12
"Also, too many people misspelling the name ""Megan""",0.0,11
Am I the only one who notices Megan McCain also has to add her father into every conversation? Or is that just me?,0.0,25
And this is what you call journalism just one nasty person,-0.5574,11
And what is it about American so called 'Republican' women who seem to want to come across as the Blonde stepford wife 'good girl' type image whilst having a myriad of hypocrisies about themselves?,0.4939,39
Ann Curry is a  genuine Lady. Megyn Kelly is a bonafide biatch!!!,0.0,16
Ann Curry ❤️,0.0,4
Ann curry i love you,0.6369,5
Ann is right. We need to stop the meanness.,-0.296,11
Ann is such an elegant and classy lady. Love her.,0.8807,12
Ann's face when Sunny said Megyn is the highest paid anchor at NBC says it all,0.4215,16
"Anti war propaganda.  Meghan do u know the history of Vietnam War.   The Govt. Lied to get into the war, gulf of Tonkin lie.  Then we kill millions of innocent Vietnamese people and sent our troops to die on  lie.  To stop would be communism.",-0.9799,52
Anti-aircraft guns are defensive weapons. You don't need to fear them if you are not bombing rice farmers on the other side of the planet.,-0.0444,27
Anti-war propaganda?  Lol,0.2023,4
Any time to bring up a traitor to our country is a good time !!!!  I remember when Jane Fonda did this it was and still is a total shame to our Vet's and country  !!!,-0.3331,40
Are you fucking kidding me anti war propaganda??? You have to be a fucking sick person to even think stuff like that not to speak of saying it...  To be against mass murder of innocent people is now called propaganda thats next lvl sickness.,-0.9288,49
Barbarella psychadela,0.0,2
Because Hanoi Jane caused our men to be killed.  She was on the communist side.,-0.6705,17
Behar is a disgusting stupid cow that should keep whitetrash mouth shut.,-0.7783,13
"Bunch of miserable, cackling, old hens whose egg-laying days are over struggling to stay somehow relevant.",-0.7184,19
Children... give them each a lollipop 🍭,0.0,8
Curry licked matt lauers taint,0.0,5
Do you witches consider yourselves journalists?,0.0,7
Don`t like this woman ...Megyn  Kelly !,0.4199,10
Dude I only watch these vids because I got the hots for Meghan McCain I have a thing for hateful conservative women.,-0.4939,23
"Entertainment news and celebrity news is taking a huge part of American broadcast time; more than important topics like the memo and Hillary's collusion with Russia to slime Trump. Fonda almost single-handedly stopped the war in vietnam, something few journalist did much to expose. 

Megyn Kelly has done nothing for America, for broadcast news, and seems to be very evil, even demonic - in her hatred of Black people. 

For a fake journalist who is a racist, to be given the opportunity to attack an American heroine and acting legend - is unforgivable. Boycott NBC. You'll never see NBC talk about how they blew Iraq war coverage, and have never covered major scandals aggresively, and how they favored corrupt Hillary in their coverage. Boycott forever NBC.",-0.9338,141
"First of all, you don't ask a woman you meet for the first time in your life about what work she's done and if she's proud of it. Fonda never even came across that Megyn Something, so she has every right to limit the interview to only the movie. If you've met someone more than once and at least exchanged some words on a few occasions then you can gradually go deeper into more personal questions. You'd think a journalist who does interviews would know that.",0.4767,92
Fonda is a patriot while Johnson and Nixon were war criminals.,-0.8225,12
"Fonda was right at the time about Vietnam. What the US did there was fkn atrocious. Shame, shame, shame!!!",-0.88,26
Go Meghyn Kelly! 🙌🏻🙌🏻,0.0,8
God these broads are a bunch of cackling hens,0.2732,9
"Good Lord, you are all nuts!",0.2244,8
Gross...the Vietnam war was a travesty. The US committed atrocities.,-0.7579,14
Hanoi Jane should have been hanged from the nearest tree as soon as she got back from North Vietnam.,0.0,20
"Hehe. Megyn is back! She should start her own conservative talk show. Hahah! This is so classic. It's true, Jane Fonda is a true traitor aiding and abetting the enemy. This is a pretty nasty fight. Megyn hits back hard. Love it. The point that Megyn is not supposed to be the story is true however, I think Jane Fonda is the person you should think made it about her. Jane Fonda is also stupid, because she doesn't have a leg to stand on morally by any count that I know of, and Megyn Kelly is a former lawyer, who has quite a leg or legs to stand on. But just funny, and amazing stuff going on.",0.8853,135
"Hey hanoi jane, we dont care what you say....",-0.3875,11
I agree with Megyn Kelly on this one and I’m not a fan,0.1376,15
I don’t understand. What about her question was inappropriate?,0.0,13
I guess Megyn Kelly has slept with more than one producer ..,0.0,12
I heard Joy and Whoopi scissor each other on CNN. So confused.,0.2975,14
I hope Megyn Kelly loses her life to a horrible disease,-0.4404,11
I hope the View don't call themselves journalist either....,0.4404,10
I knew it! I knew it! It wants to go back to its fakenewsplanet.org .It senses it doesnt belong on The View ! I'm sure if someone left a trail of M&Ms back to its natural habitat it would be waaaaaaaay more comfortable with its own and not to mention solving the torture of watching it struggle week after week.,0.2577,66
"I liked Megyn's comeback. I like Megyn when she is honest and herself, she is pretty badass. I don't like her when she pretends to be ""nice"".",0.9062,33
I mean santa is white LOL,0.5473,6
I read an interview with Jane Fonda where she said she didn't do anything wrong. So how is Jane Fonda trying to make things right by denying responsibility,0.0397,29
I think Megyn just cancelled her future interviews with celebrities....,-0.25,11
"I was proud of kelly, dont really like her but she did good. NOW YOU STUPID BITTER HAG, THOSE VETS ARE STILL ALIVE AND JANE SAID ..THEIR TORTURE WAS UNDERSTANDABLE.. AND WOOPY, THE PAST MATTERS..YOU AGREE ???  Jane is a typical lying violence promoting liberal elite and you two are old bitter racebaiting slime. So we can forgive the past right??? Well then you should be kind to trump, the fool said he was sorry and it was just locker room talk... you two are just the worst, hypocrites, racebaiting, violence promoting and now its ok that our soldiers were tortured and its in the past[she also never said sorry for the comments, just for the pic.].. so our vets should jyst get over it.. just a new low. Whoopie was my hero for decades untill she fell in with the likes of you joy",-0.9322,172
I'm with Kelly.  Fonda is scum.,0.0,8
"I've ignored all the Meghan comments so far, trying to give her a breather and whatnot, but no, she literally does just go ""BUT WHAT ABAHT MAAAA FEEEEELLLLIIINNNGGGGSSSSSSS"" ALL. THE. TIME. She's as much a precious snowflake as the democrats she seems to have a burning desire to put down. I was a fan of her on the panel, but randomly this one conversation did it for me. God I miss Jed.",0.8705,84
"If you were of age as I and some of these ladies, then you know what your talking about. But those to young to remember should just not say anything. That's offensive to the rest of us.",-0.4588,41
Im way more upset about jane fonda. She literally was hanging with the enemy and went and shamed american pow's in a place of torture.,-0.9312,27
"Is the view a bunch of old hags trying to be hip 😂😂😂
Bunch of gossipers with fake lives ......",-0.6369,22
Is this Richard really worth $20000000 a year Christ how can this be justified for a bunt like her,0.7501,21
"It makes no sense, unless you factor in Kelly's low ratings. The one headline I have seen (that I remember) on the subject of Megyn Kelly's NBC show is that it gave ""NBC some of its worst ratings ever"".
I can't think of any other reason why you would do an editorial like that, four months after the guest in question appeared on your program. If I remember rightly Kelly's move to NBC cost the network upwards of $20 million. I daresay we'll be seeing more desperation like this in the months to come.",-0.7713,106
