,sentiment,wordCount
"""Bye"" omw adopt me",0.1779,6
"""Female Actor"" = ""Actress"".  Aaah DAAAAAAAA",0.0,11
"#Theyknew
#Timesup
#Hollywoodcorruption",0.0,3
#downwithhollywood,0.0,1
#theyknew,0.0,1
*1997,0.0,2
*Margot Robbie’s Award,0.5423,6
*simply the BEST... love her much...*,0.6369,10
"0:32
Frances: ""Representation...""
*someone claps*",0.0,11
2nd oscar,0.0,2
360p seriously?,-0.1779,3
?,0.0,1
A fresh of breath air? You must be as stoned as she was.,0.3182,15
"Accent on ""nonsense"" & ""crazy"".  Yeah, s/he's def a ""winner"".",0.296,21
"Actually I wanted Saoirse to win but I'm not mad if Frances got all the awards, she deserves it",0.8702,20
"Alexander Garcia 
Thanks sir cuck alot",0.4404,6
All love Frances McDormand,0.6369,4
All these puppets smh.,-0.3182,5
Amazing talent,0.765,2
"And overrated.  I blame the drugs (not enough), and the lack of talent.",-0.2263,18
Another piece of crap like the rest of those pretentious pricks in the audience.,-0.25,15
Antonio Jjohnson that's subjective but ok,0.4215,6
Any explanation to the dislikes ? :S,-0.6841,8
"Artistic Endeavors Boring and predictable, and you only watched the first fifteen minutes. Yeah, that's how you criticizena 1h 55m film.",-0.0258,25
"Believe me Dude, she will be awarded :)",0.6908,9
Bence Illes Oh god this was horrible to read.,-0.34,10
Billy the kid awesome dude. Sounds like someone needs a job and to stop wasting their time online.,0.4019,20
Billy the kid maybe t he same actors win bevause those are the best actors. Did you ever think about that? You jackass.,0.7351,26
Billy the kid you have absolutely no argument. Nice job hitting back.,-0.2977,14
"Boring and predictable movie. Turned it off after 15 minutes. These folks are so full of themselves they lost their edge and their talent. They are little more than legends in their own minds. They want credit for any good stuff and no liability, responsibility nor accountability for the bad.  Their disclaimers and non-disclosures wont save them anymore. Proof: Rose McGowan and Harvey Weinstein. It's over. Gonna get really interesting very soon, but not for them!",-0.2167,88
But more to empower women is what matters,0.0258,8
CLASS ACT,0.0,2
"Can someone explain the doorstops thing to me, please?",0.3182,11
Celine Ng Nic Cage is the youngest at 31.,0.0,10
"Celine Ng Yeah, I was being genuinely curious. People in this comment thread were acting like they knew. And someone commented about men, so I was curious and looked it up. Phillip Seymour Hoffman won at 37, then it goes up from there. I'm curious to see if it's the same for women.",0.9231,61
Cocaine is really a bad drug,-0.5849,6
Comb your hair ya dumb bitch.,-0.7964,7
