,sentiment,wordCount
"""Go ahead""twin brother.",0.0,7
"*I ADORE ALICIA! Must admit, if just one person reads this it will make my day. I'm a music artist from Azerbaijan (I guess you even don't know where this country is). I do know that folks always make these comments, but I believe that I will be the one you'll be excited you decided to listen to. If ONE PERSON could just give this a thumbs up, you will be a great step closer to helping a person's dreams come true. I swear that I don't suck and you won't be disappointed. I just need one chance and 3 minutes.*",0.9846,115
+Judith Tinker She needs to come back with much better music than this song,0.4404,15
"+Ross Rubio listed here Square, this album will sell 2 copies and u will be one of the dumb enough bitches to buy it",-0.802,26
+TorqnGears amen,0.0,3
"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/5x1FAiIq_pQ"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",0.0,32
AK is a queen❤️,0.0,6
ALICIA FAT ASS  guillaume niemans - de ling - wulf i wanna call you but my account is turn around so i cant call bibi,-0.3852,25
Absolutely incredible!,0.0,3
Aerial Mitchell that is from 2007 as i am photoshoot so its old,0.0,13
Alice key,0.0,2
Alicia Keyes so beautiful!!,0.7633,6
Alicia Keys you have a beautiful voice,0.5994,7
Alicia ROCKS!!!!,0.0,5
"Alicia is SOOOOO beautiful and her music is absolutely great ,really a gifted talented woman love all her music!!!!",0.9598,23
Alicia miss u!!!!,-0.4153,6
Amazing <3,0.7717,2
"Amazing woman, amazing Voice 😍",0.8225,6
Amazing!!,0.658,3
And very very beautiful 😘💟,0.6674,6
As I Am é uma obra completa. Referência pra próximas gerações. Único CD que ouço sem pular nenhuma música. Manda mais canções descartadas desse album!!!,0.0,31
Ashutosh chouhan I disliked it. Fuck this Hillary Clinton supporting bitch an fuck the feminists.,-0.891,17
Ashutosh chouhan racist CUnt,-0.802,4
Awesome song but she always is!!,0.4826,8
Ay! This is good!,0.5399,6
Beautiful 😍😍😍,0.5994,4
Brian Butler Like wise😪😭😢,0.3612,7
"Buffey Mathis How can anyone argue that logic? Oh wait, perhaps because your delightful misspellings.",0.34,18
"Buffey Mathis Well, the album this was originally made for sold 5 million +. So yes, I'm one of the many that purchased this. But feel free to continue your spelling tutorials.",0.8122,37
"Buffey Mathis u stupid , do your research",-0.5267,8
"CADÊ OS BRASILEIROS DE BOM GOSTO?? PRIMEIRO A GENTE GRITA ""QUE HINO"" DEPOIS NÓS ESCUTAMOS? 😍😍",0.0,22
Cant miss a song of the greatest❤❤,-0.1531,9
"DIDDY DAMAN your single mom aka breeder failed you. I know for a fact, a few of her random boyfriends raped your butt. Take that shit off your head an clean your room.",-0.8689,37
Damn I like it,-0.0516,4
"Didn't this feminist want us to vote for that cheater Hillary Clinton?? Booooooo! We don't take females serious anymore. Toddlers with voting rights, technically.",-0.6312,30
Different....needed the change,0.0,5
"Don'cry please, don'cry....you know why...💰",0.3182,10
Dope!,0.0,2
"GENTEEEEEE, ESSA É MINHA RAINHA ALICIA KEYS!!!!!!! ME SIGAM NO TT: @ALICIA_KEYSBR",-0.5216,17
Garcon Sabine 💯,0.0,3
George Golden is a simp.,0.0,6
"GirlsLiftToo Please do not release any more, PLEASE!!!!   😥😪😭😂❗❗❗",0.5374,19
"GirlsLiftToo Yes exactly !! Everytime, I discover a new unreleased song from her, and everytime it's an hidden masterpiece for me ! What a shame but what a thing which makes me happy at this moment 😍😍",0.851,41
Go ahead reprise or alternative,0.0,5
Go ahead. Do your thing. Just don't loose your sound when you get big. Make your music sound like you. I have a notebook with lyrics to songs. I hope one day I can turn each page into a song.,0.7478,46
Haters will say it's fake I don't care Alicia Keys  buy youtube views from *AUTHENTIC* *Views* *dot* *com*,-0.8372,26
Her voice is one of the most beautiful thing I've ever heard,0.6361,12
How much of an idiot are You?,-0.5106,8
I Love It!,0.6696,4
I Love you!,0.6696,4
I don't like it!,-0.3404,5
I don’t believe this song is on the As I Am album.,0.0,15
"I jumped on this notification. Thanks for this gift AK, you're a total legend and inspiration. Been breaking boundaries and paving the way since day 1! Lots of love <3",0.9485,34
"I like alicia. But this song is boring! It's all over the place, the melody, her voice. Pangit.",0.126,24
I like this song,0.3612,4
I love Alicia keys very much,0.6369,6
I love this! So so good. I wish we could get an album of all the unreleased songs that didn’t make the final cut for all her albums.,0.8939,33
I luv this song,0.0,4
I really like the sound of this song. It is so different!,0.474,14
I see you put you face back on Alicia baby!! 😍😍 love you,0.6988,16
In love!!!!!!! #AsIAm10 Love you Alicia!,0.7482,10
"Is this a bonus track on ""As I Am""? I have this album and I've never heard this song before.",0.5423,24
It's old.. An unreleased track recorded years ago.,0.0,10
"It's so good, I'm thinking of covering it!",0.54,10
Key to my heart,0.0,4
"Leah amen i mean ""we""",0.0,7
Leah best album from her! ❤❤,0.6696,8
Leah you have reazon 👏,0.0,5
Lellow!,0.0,2
Lili Zina Rus It's from the As I Am recording session,0.0,11
"Love It!!!! Very retro, thanks for this gem!!! Love U! 😍",0.9293,19
Love it,0.6369,2
Love it ..its deep fa me,0.6369,7
Love it.. love that neat too.,0.9081,8
Love this song ❤️❤️❤️,0.6369,9
"Love to hear from Ms Keys, she's an artist unlike others she stands when others sit down and  her music evokes romance, love, power, and ideological beliefs of self worthyness to be free.",0.946,38
Loveeeeee❤❤❤❤❤❤❤❤❤❤,0.0,4
MARAVILHOSAAAAAAA! RAINHA DESSE MUNDO,0.0,5
MY NEW FAVORITE SONG☺,0.4588,5
Makes me wonder how many more awesome unreleased songs she's hiding.,0.4927,12
"Monica castro villa  I agree with you,  don't get me wrong I love  Alicia keys, I'm just  not feeling this song, maybe  its totally different from  her normal style  of music that she produces, but I don't like it either.",0.3131,45
More fire,-0.4005,2
"My fav will always be ""The Element of Freedom"" ♥",0.802,12
Nice xoxo,0.7783,2
OMG!! 😍,0.0,4
Oh wow this goes hard #aliciakeys #akfam,0.5267,7
Omg I was just stiff that whole time being teased in and out omg this is so beautiful I love when she do songs one this.,0.8508,27
Pure art !!! Pure talent !!! Alicia is godess !!! 💎👑👑👑👑👑,0.6083,20
RADIO TRANSAMERICA RJ  HTTP://WWW.breneaksoles2.blogspot.com.br/2015/07/breneak-soles-som-transa-america.html  |  • http://t.co/Iykw6L3Cwo,0.0,7
Right?,0.0,2
Right? I'm hoping to cover one of her songs soon I love her style!,0.807,16
"SHOP SCENTSY! 💜💜 
Make your home smell AMAZING! 
https://ashleycanady.Scentsy.us",0.7284,12
SIGAM MEU TWITTER DEDICADO A ALICIA: @ALICIA_KEYSBR <3,0.4404,9
Sent it to my sister haven't  seen in 6 years........,0.0,11
She freestyled this whole song,0.0,5
She is just like candy.,0.3612,6
"She look like 2007 Alicia in the pic , caught me off gaurd😂😂",0.3612,15
She never fails me,0.3252,4
She's amazing,0.5859,2
She's amazing and wonderfull in the same time,0.5859,8
She's crazy good! I hope to record with her one day,0.5707,12
