,sentiment,wordCount
"""You scumbag, you maggot, you cheap lousy faggot""....pure gold lyrics...not this rubbish",-0.8271,20
2018🎉😍,0.0,3
2:14 CRINGE! This is awlful. Nobody will ever be able to be as good as the originals because the pogues  and Kirsty lived the lyrics of the song.,0.4926,31
4:13 she don't look happy!,-0.509,6
All wrong,-0.4767,2
Amazing!!!,0.6884,4
Another song ruined...he's a one trick pony...soooo boring.and ugly😨,-0.0516,14
Are they in love ??????,0.7319,7
BBC stands for Big Black Cocks,0.0,6
Blasphemy!!!!!,0.0,4
Boo.,0.0,2
Can't beat the original,-0.2411,4
Can't say faggot?,0.5448,4
Cheap lousy faggots too scared to sing the actual lyrics.,-0.891,11
Christy Moore didn’t Butcher the lyrics why did you?,0.0,12
Corrinne Green *Abysmal.,0.0,5
Cut my fuckin ears off plz,-0.2023,6
DISGRACEFUL! A MOCKERY!,-0.4374,5
Did he also change the “junk” bit to “drunk”?!,0.0,15
Don't censor faggot,0.7181,3
"Ed - great singer
Music - well played 
Lyrics - what the fuck?
Duet girl - who needs a lyric sheet for fairytale of New York????",0.7236,30
Ed Sheeran sucks except for this cover right here.,-0.3612,10
Ed and the band were good but Anne-Marie ruins it,-0.4404,10
Ed sheeran & Ann Marie voice got really nice together,0.4754,10
"Ed sheerans on everything not on me radio though
Does me swede in pretending to be homeless when he come on scene just a posh boy",0.1027,26
Ed slaughters this,0.0,3
"Ed was good-ish, but this was a cold-blooded murder of a good song. Why choose such a classic song that no-one can top?",-0.3612,26
FUCKING WRETCHED. What a disgrace.,-0.6278,7
Fox Daily Obviously.,0.0,4
"Fuck off cant you just leave anything alone, this takes everything out of what makes the original the song it is.
Fuck as if i dont  hate commercial bullshit enough then this comes along.
AHHHHHHHHHHHHHHHHHHH they cut out slut and faggot, ahhh why cover a song then butcher and take out the original references.
I rarely listen to pop music because i fucking despise it and this just makes me hate everything about it even more.
This ginger guy and this silly chav have just fucked this song up royally, so from everyone who hates pop music and everything about it , FUCK OFF YOU CUNTS, I HOPE YOUR XMAS IS SHIT, I HOPE YOU GET HURT IN AN ACCIDENT, NOT TOO BAD JUST ENOUGH FOR A COUPLE OF DAYS IN HOSPITAL.",-0.9886,143
Gay,0.0,1
Get out of here with this trash. May you both die long agonizing deaths.,-0.8225,16
Girl is too slutty to christmas song. But ed!!! Go on!!!,-0.6671,18
Go lose theology terrorism path drinking campaign leading would space.,-0.8074,11
Good,0.4404,1
Good job long live the pouges,0.4404,6
Good video but not a lot of charchter like the poeges but I'd say it would take a miracle for someone to get the exact charchter and tune of Christi and shane,0.886,32
Hate is not strong enough for this ginger talent less bastard,-0.7788,11
Hate it when lyrics are changed because of political correctness. If you are not going to sing the real lyrics then don’t bother to sing the song at all.,-0.7269,33
He absolutely ruined that,-0.5256,4
