,sentiment,wordCount
#supersister,0.0,1
( ͡° ͜ʖ ͡°),0.0,8
*I don’t have a sister but if I did I bet she would let me fall and pretend to be shocked*,-0.1531,25
*_F   U   M   B   L   E_*,0.0,8
*baby volleyball*,0.0,4
*goes,0.0,2
*r/bigsisterreflexes*,0.0,5
2.9 mil for a 10 second vid. Now that's how it's done folks.,0.0,15
99 reflexes,0.0,2
Ah... kid would have been fine.,0.2023,8
"Am i sick for really wanting that baby to fall and cry? There’s something about them that really annoys me. Like once when i was young, some stupid ass 2 year old was taking forever down the slide at the mcdonalds play place, and when he finally got to the bottom, i went down as fast as possible and kicked him right into the glass window. I pretended it was an accident but man it felt good....",-0.8,86
"Amazing, you could almost forget the fact that that fall wouldn't do shit",0.7284,14
And this has 2 million views how?,0.0,8
And this is how the drop was made,-0.2732,8
Andrea Brasher WHEN YOU RECORD A VIDEO YOU SHOULD ALWAYS HOLD IT HORIZONTALLY NOT VERTICALLY!,0.0,16
Andrea Brasher is that you in the video ? If it is....nice catch,0.0,15
Andrea Brasher no excuse! Hold it properly!,-0.3578,9
Andrea Brasher this is why moms don’t belong on the internet...they take the jokes literally...,0.25,20
Anyone else ever want to get their dick sucked by Pegasus from Yu Gi Oh?,-0.7184,16
"Asthma is a chronic disease. So must each one of us See all large and small about his children.
http://eues.io/bdrZ",0.0,22
"At first I thought the big sister fell, I noticed the second time I watched it that she actually saved the baby.",0.4215,24
Awesome!,0.6588,2
Aww I wish I had a nice sibling like that😂😂😂,0.7906,13
Ayyyyyyyyyyyyyy she goes to my school,0.0,6
"B ,hy7",0.0,3
Best reflex on the WORLD nice sister,0.7906,7
Better than any professional women's goalkeeper I've ever seen,0.4404,9
Brill,0.0,1
But there are more better videos like father saving his child from falling etc.,0.6549,15
"Camera shuts off 





*dabs*",0.0,6
Category: gaming,0.0,3
"Caught!!!
https://youtu.be/z3uDw5MCEJU",0.0,5
Check out my latest video. I JUST SOLD A $75 MILLION DOLLAR HOUSE!!!!,0.0,18
DAMM!😣,0.0,3
Dang she was quick,0.0,4
Ever consider volleyball?,0.0,4
Fake,-0.4767,1
For some reason every other video loads fully but this one gets stuck at 5 seconds,-0.3612,16
From the laugh alone I can tell they're from northern Ireland,0.3818,11
Genre: Gaming,0.0,3
Genuinely hope this video was monetised 😂,0.4404,7
Give her a set of gloves and we can fuck off De Gea,-0.5423,13
Go on big sis 👊,0.0,5
God bless you👍👍,0.5994,5
Going to be an amazing mother someday! Awesome!,0.8585,10
Good catch there,0.4404,3
Good job,0.4404,2
Good save,0.7269,2
Great jog girl!!!!!!,0.7405,6
Great save !,0.8221,3
Great! She is such a good big sister.,0.807,10
HILLARIOUS amiright oh no okay,-0.0772,5
HOLY CRAP THATS MY SCHOOL LOL,0.0516,6
Having seen this person in real life it is really funny reading all these comments...,0.4927,16
Hold it horizontally you fuckin whore,-0.6486,6
Hopefully my two can be like this!! :),0.8513,10
Hopefully that big thud came from her knee hitting the floor lol nice save though! ✊💯,0.8955,18
How does this have 2k dislikes,-0.4019,6
How low is your door handle!!,-0.3987,8
How the Vikings saved the game,0.4215,6
I RESPECT THIS SISTER DANGGGGGGGGGGG,0.4767,5
"I believe those are actually called just ""reflexes"" and every average human has ones as fast as that... if not much faster.",0.0,26
I didn’t catch my sister fall,0.0,8
I do the same but... sometimes i don't make it in time 😶☹,0.0,15
I love this vid,0.6369,4
I read it as big sister flexes,0.0,7
"I remember when my niece was really young, barely able to walk around, I did this ninja stuff too. We were in the living room and I was laying on the couch while she tried to stand, I was holding a pillow at the time. She fell forward but I threw my pillow under her and she landed on that instead of her face.",0.0,70
I saved my nephew similarly to that except my nephew was on a table and fell the same way the baby did in the video and would have been hospitalised if I didn't save him.,0.0444,36
I still think it hit forrrr sure,0.3182,7
I think its god,0.2732,4
I wish it fell,0.4019,4
I wish my internet was as fast as she is !,0.4574,11
I wish you could do my makeup 😭😢,0.4019,9
I would if let the baby fall,0.0,7
INSANE!!!,-0.5538,4
Ik she’s happy she didn’t have long nails,0.5719,12
Is she from dene Magna or from newent?,0.0,9
Is that even a girl,0.0,5
Its fucking cold in my room,0.0,6
It’s too bad she didn’t react like that when the camera was being turned vertically,-0.25,19
I’m surprised the YouTube CPS hasn’t blown up from this lol,0.631,15
"JUST Watch ANY OF MY VIDEO....any one can watch....
<--------- Tap/Click HERE",0.0,17
Just a normal human reaction nothing special...what's the fuss?,0.0,12
KYS,0.0,1
"Kids drop slowly, its not actually sister's fast reflex. Kids are living things... they know they are falling, but their tiny muscles tries to stop, but could not. That tiny muscles makes the fall slow.",-0.5647,42
"Little baby is so cute, let me hug your sister .",0.7886,12
