,sentiment,wordCount
"""Some of the ways you program that bass is like, technically impossible"" 
He is talking about the process of programming/sequencing the bassline in MIDI to sound like a real bass. Not that it is impossible to play xD",0.8807,44
"""technically impossible""BLEWWWM PRUMBURUM PLLEM PLE É LUIM PRUM BUM DURDUMDdum dum dum BLEW BELEU BUM DURUDUM",0.0,19
#TryNotToHeadbang Challenge,0.0772,2
"*me seeing cover* 
Oh god he better not use a deadmaus",0.6124,13
0:19,0.0,1
0:33 fav part,0.4588,3
0:58 !!!! Nice bra bruh bro bruh bruh,0.6083,10
1:45 holy shit,-0.5574,3
500th,0.0,1
ABSOLUTELY FABULOUS !,0.6105,3
At the end of the video he is only playing half the riff.,0.2023,14
Awesome job Davie504! Makes me want to learn to play bass! Keep them coming!,0.826,18
Awesome!!!!!,0.0,4
Awesome. Shoulda played with your signature. That tone is so sexy.,0.8972,14
Badass,-0.1531,1
But can you play any Omnific songs?,0.34,8
"But, can you do this???  √''''''''*",0.0,14
Can you play Bach's Bourree in Em please? Or toccata and fugue.,0.5719,14
Could(obviously yes)/would you do a cover of the whole thing? I´d much prefer that to the original simply because of that bass.,0.3182,31
DAFTMAU5,0.0,2
DEADMAU5 dropped his panties,0.0,5
Damn 1.5k dislikes must be deadmau5 fans who are mad that you nailed it,-0.8225,16
Damn bro,-0.4019,2
"Damn thats impressive.



And no I dont mean the whole bass thing but the fact that you can lift both your eyebrows individually",-0.0772,24
"Damn, this is funky!",-0.5255,6
Davie504 I still say it's impossible for a mortal. You are clearly a god and I shall try not to anger you. All praise Davie! Lmao! Serious badassery my dude. Wish I had you in my band years ago. Are you from NOLA? 504 is the New Orleans area code.,0.9537,59
Davie504 Not even :),0.4588,5
Davie504 it sure as heck a beautiful riff!! And sounds even better on a live bass by a smooth player! Great job!,0.9368,27
Davie504 no and your a legend,-0.296,7
Davie504 soooooooo dope!!!,0.0,7
Davie504 was,0.0,3
Dead meme. Very disappointing.,-0.8313,6
DeadMau5 clearly has never listened to jazz or metal,0.4019,10
Deadmau5 is a whiny bitch boi,-0.5859,7
Deadmau5 is full of shit,-0.5574,6
Deadmau5 thought this was impossible?,0.0,7
Deadmau5 youre a fucking joke dude ive seen 7 string fretless bassists write nearly impossible songs,0.3597,17
"Deadmau5:  This baseline is technically impossible.  Davie504:  Hold my beer.       
That was fucking awesome dude!",0.6893,22
"Deadmou5: ""MOTHERFUCKER""",0.0,6
"Deadnutsack is a doosh, he thinks he is the best thing before and since sliced bread",0.6369,17
Difficult not impossible,-0.3612,3
