,sentiment,wordCount
#Brasil🇧🇷,0.0,3
#Dubai,0.0,1
#India,0.0,1
*-*,0.0,3
*Are we getting old?*,0.0,7
*Avicii  <3 ◢◤ ''the legends returns''*,0.4404,13
*El mejor*,0.0,4
*THIS FACE!* 0:46,0.0,6
"0:06
0:06
0:06
0:06
0:06",0.0,5
0:26 eres tú Lion ? 😲,0.0,6
1.25x Unbreakable,0.0,3
1:04 best moment in this video,0.6369,6
1:05,0.0,1
1:10 Surprise motherfucker!,-0.5848,4
1:48 handsome .,0.4939,3
2014....,0.0,2
2:57 sad,-0.4767,2
"6M   
Really ??? 🤔",0.0,6
:),0.4588,1
<3 (y) :D !,0.8034,6
Alguien que hable español me explica el final?:v,0.0,11
Alzhiemers a bitch !! :(,-0.8065,6
Am I the only one who came from Avicii Gravity HD game?,0.0,13
Amazing Music,0.5859,2
Amazing video!,0.6239,3
Amo esta cancion *-*,0.0,6
Asu q cancion mas buena,0.0,5
Avicii,0.0,1
"Avicii
legendary",0.0,2
Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,0.4939,14
Avicii <3,0.4404,2
"Avicii es el mejor ♥♥♥♥♥👑
Avicii is the best ♥♥♥♥♥👑",0.6369,16
Avicii number 1!,0.1511,4
"Avicii sendo Avicii 👌❤
Sensacional como sempre",0.0,8
Avicii suas musicas me faz lembrar meu passado,0.0,8
Avicii waiting for love😂😂,0.0,6
Avicii 💗💗💗💗,0.0,4
Barbados & lagola,0.0,3
Beautiful,0.5994,1
Best song,0.6369,2
"Br ????
🙌🙌🙌🙌🙌",0.0,7
Brasil alguém ????,0.0,5
Brasil aqui???,0.0,5
Breaking the replay button. Good song.,0.4404,8
Can avicii be a friend of mine?,0.4939,8
Can't stop laughing with this 0:15 killer smile 😂😂😂😂,-0.5484,11
"Come to Goiânia, Brazil!!!!",0.0,8
Comeback to tomorrowLand :),0.4588,4
Congrats John,0.5267,2
"Da best, as always!",0.6696,6
Dab for avicii,0.0,3
Du är bäst,0.0,3
ES LA MEJOR CANCION DEL MUNDOOOOO!!!!!!!!     <3,0.6209,10
EVERY AVICII MUSIC VIDEO GIVES SO MUCH GOOD VIBESSSS,0.4902,9
Enserio que videoclip tan sad :'v,-0.4767,8
Es decepcionante el vídeo esperaba algo mejor :( pero la canción está execelente ;),-0.25,14
Eso fue muy sad,-0.4767,4
Esperen Esperen Esperen Quien Tiene Alsheimer Ella O El?,0.0,10
Esta canción me pone triste 😢 😢,0.0,7
Está bulla si que está de putas madres que les den por culo a los que digan lo contrario jaja yeahh!!,0.0,23
Fav song ❤,0.4588,3
"For a bit, I thought it sounded like an ad commercial.😢🙌",0.3612,15
Fvaorite avicci song now,0.0,4
Glad you're back. Your songs are the best! 😊,0.8172,11
Good,0.4404,1
Good work nice song bro,0.6908,5
