,sentiment,wordCount
*not what it seems*,0.0,6
069,0.0,1
1:26 is that Steve valentine from uncharted 2?,0.0,9
2009 selena gomez = bae❤️,0.0,7
"3:20 i think that tournament worked for fans of the series as the climax. Since up to that point the whole show  had been building to the kids wizard trial.  
It's sort of a coming of age ceremony for wizards.
Where only one child per family could be the adult  wizard when they enter adulthood.

For the rest of the series after this movie Alex (Selena Gomez) was the only wizard in her immediate family and her training and responsibility as the family wizard was more serious.",-0.1513,94
3:45 your right it is something from the show it's brought up alot actually.,0.0,15
4:13 Justin checks out his sister,0.0,6
A half assed magician,0.0,4
Actually a really good show and it didn't need to explain alot as it came a few seasons in and the competition was a big thing and explained in alot of episodes so only makes sence if you watched the show,0.4927,41
"Also, here's a fun fact. The dad is a former wizard and the mother was never a wizard.",0.5106,21
Anyone have a link for full movie?,0.0,8
Anyone remember when Selena Gomez was on barney?,0.0,9
Best Disney show ever,0.6369,4
Congrats on trending guys!,0.5707,5
Congrats on trending!,0.5707,4
Damn i love wizards or waverly place,0.3612,7
Did anyone see a weird incestuous vibe between Alex and Justin throughout the series?,-0.1779,15
Did he just say he *N E V E R* watched this show,0.0,15
Dis was the best show,0.6369,5
Disney is Evil Wake Up!,-0.69,6
DisneyCember? Why not just call it DisCember?,0.0,9
Does anyone notice how he ends his sentences on a low note. Except that one time he starts low then goes high and finishes on low,-0.6249,27
"Does cgi work, no",-0.296,5
"Don't speak on what you know ,you need to watch every episode like we did when we were little",0.3612,20
Don't you know this was a tv show?,0.0,9
"Doug you magnificent dastard!
#13 trending BOI",0.636,8
Dumb show. Dumb movie. Why the fuck do you all like this piece of shit?,-0.9042,18
Everything is not *WHAT IT SEEMS*,0.0,8
Fuck Disney show,-0.5423,3
GTR Wendy with that disney channel flow,0.0,7
"God I worshiped this as a kid, in fact it still holds a very special place in my heart ❤️",0.8173,22
"God, this show got so incest vibe-y! There's an episode where Alex wishes the eldest brother didn't exist and The Mom thinks the eldest brother and Alex would make a cute couple! EwwwwX100!",0.7633,38
Good job trending!!,0.5399,5
Harry Potter spin-off 😂if only he saw the show,0.0,10
Hey! #35 on trending! Cool!,0.4898,8
"Hey. I recognize the magician! I watched the movie when I was younger and never cared about him, but I watched him in an episode of Supernatural (where he also did an awesome job) with seeing this rings a bell with the actor. There was another film he did that I watched, but I can’t remember what it was for the life of me.",0.7412,74
"Holy cow - the street magician is Steve Valentine, the voice of Alistair in the Dragon Age games! I didn’t know that until I saw this review, but he’s very recognizable!",0.0,39
Holy crap this is on trending heck yeah,-0.1027,8
How is this trending,0.0,4
How is this trending YOUTUBEEE,0.0,5
"I agree, I was surprised with how well their performances were especially for a DC movie. Selena did really well in this.",0.765,25
"I always felt as though this is exactly where the show should have ended. There is so much at risk and so much that feels right that it, in its own way, wraps the show up wonderfully. Not that I have anything against the show post movie, but this really hits hard where it rightfully should have finished.",-0.0643,64
I always thought Alex’s Mom was fine af.,0.2023,11
I always wanted to bang the mom,0.0,7
"I can't help but hear Alistair when Steve speaks.

I miss Alistair...",-0.3672,14
"I didn't really watch the movie but I read the book,  and the book did explained very good",0.6474,19
"I highly recommend watching the show, Doug. My favorite episode is Family Game Night. And since you enjoy the normal family dynamic, it's the perfect episode!",0.9391,31
I hope you do Descendants or Alex vs Alex next,0.4404,10
"I like your review on this..... if it wasn't trending, I wouldn't have found your channel",0.3612,18
I liked this movie,0.4215,4
I love it ❤️,0.6369,5
I love this show and movie❤️❤️❤️❤️❤️,0.6369,16
I love wizards of Waverly place,0.6369,6
I loved that show!!!!,0.7243,7
I loved this show as a kid,0.5994,7
I loved this to show and the movies that came from it!!!!!,0.7243,15
"I loved watching the show as a kid and I liked the movie, the show sets up the whole competition thing much better than the movie explains it",0.8625,29
I remember watching this movie...,0.0,6
I swear that competition STRESSED me out as a kid,-0.516,10
I think we can all agree that wizards of waverly place was the best show on Disney channel,0.7717,18
I thought she was from Barney! The more you know...,0.0,12
I thought they were doing a new movie.,0.0,9
I used to LOVE this show but I've already forgotten the entire plot of it. I just remember how good it was and how sad I was when I heard it was going to end.,0.0814,37
"I was just watching the show on Disney today!!!
#amarislee",0.0,13
I was really let down by this movieI do love Selena Gomez though,0.6369,13
I was watching Disney Channel two days ago when Wizards of Waverly Place was on ALL DAY!  I was so excited!  Yesterday Gravity Falls was on ALL DAY!  IT MADE ME SO HAPPY!,0.8944,37
"I watched some stuff in the show, and it's actually pretty good. The movie was really good too in my opinion.",0.8402,24
