,sentiment,wordCount
"1. USS calister
2. Black Museum
3. Hang the DJ
4. crocodile
5. Metal head
6. Arkangel",0.0,23
12.08.17,0.0,3
6th Trailer will be USS Callister,0.0,6
"A ""white bear""?",0.0,6
AI gone rogue?,0.0,4
"Aaron S. I mean that's what I understand, maybe I'm wrong lol",-0.0772,14
Aaron S. I've lost them for now,-0.3182,8
"Absolutely NO solid hate mate. But this universe... If you've seen 'The Road', they're going for that type of narrative, in which I would say the black & white scheme they're trying to portray didn't quite permeate with me. What was lacking was pure CONTENT. Emotion was clearly there, but I left with the feeling of... ok? I guess the protagonist was both empathetic towards providing hope towards her comrades but at the same time... I dunno. 'Fucking mechanical dogs' is what i'm basing my opinions on.",0.8639,103
Agree to disagree 💁,-0.0258,4
Alex B i loved arkangel actually. One of my fav.I think this episode and crocodile were not that good,0.3599,22
All for a damn bear smh man I can’t get enough so far so good anyone agree??,0.493,21
Any idea if there will be a Series 5?,0.0,10
"Any of the movements Metalhead can do can also be done by machines we have now, what we don't have is autonomous control, even the most autonomous vehicles we have like drones and self driving cars either require a human to do most of the work or can only be trusted to do a very limited number of things when no human is around.

But AI and autonomy comes from increasing what a machine knows and that is being done all the time by teaching them..
https://www.youtube.com/watch?v=_luhn7TLfWU",0.4186,91
Anyone getting Fahrenheit 451 vibes???,0.0,8
Anyone just finish watching this? It’s crazy all for a damn bear!!!!!,-0.7405,18
At the end before she cut her throat she said into the radio ''tell graham im sorry i couldnt get a replacement one like i promised'' so she was trying to get a teddy bear for someone she cared about.,0.4404,45
"Audial Asphyxiation i just said it, maybe you have some trouble with the reading comprehension. So I'll say again to make it easier for you: like terminator but with dogs. And that's it, there's no more ""analysis"" because this episode is plain and simple, no matter how many pretentious fanatics say that there's a ""deep meaning"" or ""hidden philosophy"" to this. I could have shit this this story myself, and I'm not a writer. That is how bad it is.",-0.936,96
BAD BOY!,-0.5848,3
BEWARE 0:21-0:22 ain't for the fainthearted,0.0572,7
BRITISH ACTING CHOPS IS WHAT MAKE  BLACK MIRROR WORK,0.0,9
Baby Conch it already exists lol,0.4215,6
Because the warehouse will be a treasure trove of goodies and a van can carry more than a car obviously.,0.296,21
Best episode by far!,0.6696,5
"Black Carnage Metal666 Well it doesn't faggot, so go paint your nails black and worship the nearest Goat lol",0.863,21
Black Eyes You clearly missed the point of the episode. You were meant to connect with the character and see her humanity in a black and white world. You were meant to feel how she feels. The backstory was irrelevant. And I’m glad their was no major twists.,0.3182,55
