,sentiment,wordCount
"""Must be cool, a show about people from these exotic places""
""It could have been, if they weren't advertisements for how progressive their director is""",0.3182,31
((( Cultural Marxism ))),0.0,8
(((Celebrate your surrender))),0.0,9
+KingZ umm you mean Iran yeah they do but the reason behind why they allow it isnt!,0.501,19
+KingZ wow...you really know how to sway an opposing opinion.,0.0,14
0:35 HOT!!,0.0,4
"11:11 means we are all ones of a kind - everyone counts -  one love. It's a global phenomenon and not just coincidence. Heaps of info online, including at sarahyip.com Don't let your head shut down the truth of your heart x

https://www.youtube.com/watch?v=tPXzPOyjf74&t=3s
https://www.youtube.com/watch?v=B2xOQ-GHR4k&t=300s",0.8823,47
"11:11 means we are all ones of a kind - everyone counts -  one love. It's a global phenomenon and not just coincidence. Heaps of info online, including on my site (many free tips from fellow repeating number see'rs - 1111, 111, 222, 333 etc) Don't let your head shut down the truth of your heart x",0.926,65
1:20 am I the only one who likes that,0.4215,9
1:24  epiccccc!,0.0,3
1:25 just one of the racist undertones.,-0.6124,8
2 episodes in and i'm hooked already.,0.0,8
A must see lol,0.4215,4
A show made by white people for white people.  Black Panther is a more relevant and uplifting piece of art and its a blockbuster comic book movie.  Good job hbo,0.7783,32
"A tranny muslim...  A ""boring white chick""... A black girl who is getting arrested...  Cringy as hell!",-0.8016,23
Abomination of bullshit propaganda,-0.7003,4
"All the cringe, I can be a Meme too!",0.0,11
"All the white people that are triggered are the ones calling it anti white just because it's people of color and it's not ""anti white"" they're just poking at the fact that since most well known/popular movies or movies in general have a cast full of white people or people with pale skin. They're trying to change film for the better and I don't think anyone except idiots should have a problem with it.",-0.2516,80
Allan Ball. You bought me alredy. 😍,0.0,9
Amazing trailer.,0.5859,3
"America is RACIST because it is WHITE.
The goyim must be made to race-mix until America is BROWN and BLACK and JEWISH.",-0.694,24
Another shitty six feet under series....,-0.5574,7
Anti-White propaganda,-0.25,2
Anti-white shite from the usual suspects.,-0.34,7
Anyone noticed bowie from andi mack in here,0.0,8
Are you saying the show's message is not to think like that?,-0.2755,13
As a wardrobesexual I dont feel represented in the show. They need more diversity.,0.0,16
"Asians aren't people of color, what the fuck is that guy on about",-0.5423,14
"Based Teal'c LOL. You're clearly triggered, bro.",0.7378,10
Basically This Is Us HBO edition,0.0,6
"But...but, what is this about???",0.0,11
Can't wait,0.0,2
"Can't wait. ANother SIx feet under maniac here, so hoping for genuinity and surprises here. :)",0.5984,19
Can't wait. I think I'm gonna love this.,0.6369,10
Can’t tell if criticizing “woke people” or trying to please them.... Alan Ball what u playin at,-0.0516,22
Can’t wait to see this,0.0,7
Casual 'white-people' generalising. How about no.,-0.1027,10
"Chef Boyardee já agora, és tuga?",0.0,8
Chef Boyardee so you have the sexuality of an lifeless object or are you attracted to a wardrobe? NOICE,0.4215,20
"Conner Ferguson not remotely close to this is us , unless that show is about supernatural and stuff like that",0.3612,20
"Considering all the different opinions the humans mind can make up ,  classifying someone dis Taste or dislike of certain aspects of something as just “right wing ” is very ignorant and bigoted.",-0.4391,35
Corny cheesy and stereotypical 🙄🙄,0.0,6
Cringy but it looks nice 😊,0.5719,6
"Cultural Marxism at its finest !
Absolutely disgusting, anti-white shitstorm.",-0.6105,12
"Diverse cast of all sexuality, ethnicities, cultures, religion, etc. Yeah, pretty much. But that's not necessarily a bad thing. I quite like it because it's unique in media.",0.8763,37
"Diversity (check)
Gay stuff (check)
Race mixing (check)
Anti-white (check)
Right-wingers demonization (check)
This show is gonna be canceled in a matter of weeks! This is just an observation I do not root for the cancelation of this show but I'm just making an educated guess.
People are tired of paying for propaganda",-0.7644,65
"Does Alan Ball need money? Wow what a mess. This thing is all over the place, and not one scene was interesting. Destined to be cancelled.",0.4588,31
Edwards!!! go back to the hospital,0.0,9
Except for the part where Sense8 had an really cool concept and was shot beautifully all over the world.,0.7425,21
"Finally! HBO makes a show that's a loose collaboration of nauseatingly liberal cliches, Hooray!!!",0.4885,19
Firnekburg how is the tv show anti-white?,0.0,8
Follow SYLUS.LEVA on INSTAGRAM!! He’s a hottie!!,0.0,13
Good goyim. Accept the diversity,0.6705,6
HBO sensei8 ?????,0.0,6
HBO’s ‘This Is Us’,0.0,8
"Harvey Dent its another ""white savior"" movie",0.0,9
Have 2 give it to these guys. That was a good thumbnail,0.4404,13
Hbo version of this is us,0.0,6
"Hooray for ""diversity"" or whatever but this looks cringy as fuck... Sort of reminded of Crash (2005)",-0.34,22
Hopefully this ends with a mass grave.,0.0258,8
Horrendous grievance industry nonsense.,-0.8625,5
How about a show about real people. The ones that live in the fly over states? This is La La Land fantasy.,0.0,25
How about you watch the damn show instead of assuming shit. That's what the show is about.,-0.743,19
How is this anti white? I'm pretty sure she was married to a white man and their parents were white etc. Because the minorities arent token characters it's anti white. 🤦🏽‍♀️🤦🏽‍♀️,0.0644,43
I am so confused by this trailer. I feel like its the movie crash meets the fosters meets love actually meets xmen meets rent meets the wire...i dont know?!?,0.4694,35
I can't tell if you're serious or being sarcastic.. LOL,0.4995,11
I didn't understand anything so skip,0.0,6
I don't get what its about. A different way of the show Modern Family? thanks for any replies.,0.4404,21
I don't know why the topic of race makes people uncomfortable,-0.3818,11
I feel like they classify white people as a  part of the human race that is separate from every other race.,0.3612,22
