,sentiment,wordCount
"""Damn it it's another box""",-0.4019,7
(In David Mills from Seven's voice): WHAT'S IN THE BOX?,0.0,13
"*Dust*
""Hmmm.. Cool product. I have it at home.""

Best review.",0.7579,19
*W H A T S  IN  THE  BOX*,0.0,10
*WE COULD MAKE A RELIGION OUT OF THIS*,0.0,10
*We could make a religion out of this*,0.0,10
*_dammit its another box_*,0.0,7
*and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another boxand another box and another box and another box and another box and another box and another box and another box and another boxand another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box and another box*,0.0,216
*dust*,0.0,3
*i have 2 tests tomorrow and i havent studied anything yet* **instead of that im here** pray for me,0.3182,25
*the sun is a deadly lazer*,0.0,8
*yeAh bABy GoT coOL SuNglasSes*,0.3182,7
0.75% speed makes him seem reaaallyy bored.,-0.2732,9
"00:00 - 00:06 
if only every youtubers could've such a short intro",0.0,12
"0:12 
I smell comic sans",0.0,5
0:20 in the wind?,0.0,5
0:42 - 0:43 Jacob Collier's Blackbird,0.0,6
34 out of 10,0.0,4
A jingle at 0:30,0.0,4
"Ah, yes. Dust. I’d have to rate it a 10/7 great product would buy again.",0.7783,21
Anyone else notice he made the history of Spain and Portugal private?,0.0,13
Apoya mi canal yo me Subcribi al tuyo.,0.0,9
Are you high when you make your videos?,0.0,9
Bill Wurtz I have him at home,0.0,7
"Bill. I've found your ""Sexy Alien"" song you wrote in Berklee. Is it supposed to be this way?",0.5267,23
Boxception????,0.0,4
"But wait, open the sunglasses *theres another box, inside the, sunglasses* w h a t s i n t h e b o x? *its some more, sunglasses* what's inside the *sunglasses? another box.*",0.0,47
"Can you make a ""history of Indonesia"" video for my exams?",0.0,14
Can you make a history of Singapore,0.0,7
Can you make history of Norway?,0.0,7
Can you make the history of Brazil?,0.0,8
D U S T,0.0,4
Dammit it’s another box!,0.0,7
"Day 153, I'm still searching for a replacement to get my Filthy Frank High. I may be getting closer.",0.0,22
"Dear Bill
What editing software do you use?",0.3818,9
"Did I just read ""ahre""???",0.0,10
"Do Histroy of Egypt 
It'll be egypt😂",0.0,8
"Do a ""history of fighting anime""",-0.3612,8
"Do a video about the Mayans, I need help on a project xd",0.7579,14
Do history of rome,0.0,4
Do the boxes taste like mush?,0.3612,7
Do the history of the United States,0.4215,7
Everyone ignores that all he does is shit post and make money at this stage,-0.6908,15
Fragile dusty sunglasses box in a box,0.0,7
"Good one, it would be great if u can make videos for USA and UK",0.7906,16
He thought outside the box on this one.,0.0,9
He's fucking awesome,0.659,3
History of America?,0.0,4
History of Germany?,0.0,4
"History of Russia 
History of Russia 
HISTORY OF RUSSIA 
HISTORY OF RUSSIA!!!",0.0,15
History of indonesia?,0.0,4
Hola es Me. Marrero me gusta los vídeos tengo un canal viajando con mr.marrero gracias.,0.0,17
How does this guy have 2.3 million subs???,0.0,11
I JUST SUBED      PLES SUB TO ME ID GOO CRAH CRAH frick i need      more boxes|Oh I'm fine THANKS FOR ASKING *help me*,0.6905,27
"I always wonder why I watch these.. oh look, I'm watching",0.0,13
I can't take this guy seriously lmao,0.4939,7
I can’t wait for the Future.,0.0,9
I don't even know what these videos are,0.0,8
I feel like I need to be high to enjoy this,0.6908,11
I give it a 5 star rating,0.0,7
I got dust too,0.0,4
I just watched every single one of your Thursday videos. Yes.,0.4019,13
I keep singing this at school. Fuck...,0.0,9
"I know this is asking a lot man, but if you know anything about the history of the U.S, could you make a video about it? I passed my AP World history exam because of your video “history of the entire world I guess” because it made sense and everything was correct.

Thanks if you do, keep up with this quality content and jingles",0.5927,73
I saw a double sharp in there,0.0,7
I scratched my head and it started bleeding a few seconds or minutes ago.,0.0,15
"I swear he has the same voice as the singer on the show my kids watch. ""Ask the StoryBots"" I'm curious if it is him.",0.2732,29
"I thought it was gonna be a video with no crazy editing, had me scared there😂",-0.7579,18
"I'm just wondering, did i take drugs or is the video actually trippy?",0.0,15
I'm midlly offeneded.,0.0,4
I'm not sure I get this. I'm also not very sure there's something to get.,-0.4449,17
"I'm thinking this has a thought-out meaning, like every bill Wurtz's videos. This time we may find a critical video. I'll explain. 

It's criticism against youtubers who just offer expectation (like unboxing videos) and junk content to their viewers, uploading the first idea that comes to their mind, without thinking about it so much. Once the unboxing is completed the box is empty (there are no more ideas nor content to offer), until another box is found and expectation is provoked again.",-0.7783,95
ISN’T THERE ANYTHING ON THAT ISN’T ABOUT BOXES?!?!,0.0,16
If watched in 25% speed sounds very strange,-0.2716,9
Im high as fuck,-0.5423,4
Instructions unclear got box stuck up ass,-0.7579,7
Is there anything on that isn't about BOXES?!,0.0,10
It is the pandoras box... DO NOT OPEN IT!!!,0.0,13
It still how cracks me up how you can tell on sight which comments come from non-subscribers who only showed up here by accident because it was trending.,-0.4767,29
It's more subscribers in the box,0.0,6
It’s a goddamn bomb!!💣💣💣,-0.5696,11
It’s another box,0.0,5
I’m not underestimating how long the vids take to make but plz make History of the US or should I say... finish it up... cuz I know it’s in the making (I think) lol ur the GOAT,0.631,45
Lol,0.4215,1
Love my mum btw,0.6369,4
MORE CONTENT PLEASE,0.3774,3
Make an app version of your website,0.0,7
Make more history like the history of Great Britain or something,0.7832,11
Make sum mor hestury vidjos pleez,0.0,6
"Man, you suck at cooking. Anyone else agree?",-0.1027,11
Me @ lootboxes in vidya games,0.0,6
Meph?,0.0,2
More a history of plz,0.144,5
More history please! Maybe America?,0.4349,7
More history videos pls,0.144,4
More history videos plzzzz,0.0,4
Not enough garbage,0.0,3
Now Morgan Freeman's interested.,0.4019,5
Now this video thinks outside of the box unboxing box!,0.0,11
OMG AN ABOCING VIDOR!!! HELL YEA FRADILE DO NOT OOEN,-0.7562,13
Officially one of the greatest unboxing videos I've laid eyes upon.,0.6369,12
Oh my god this guy is so intelligent,0.7155,8
Oh thats a great product i have that one at home😆,0.6249,12
"Oh, hi thanks for checking in I'm 
STILL A PIECE OF GARBAGE",0.4404,13
Opened 500 boxes thus far.....and no dust :-(,-0.5719,10
PLEASE DO VIDEOS ABOUT HOW SPACE WORKS - that would be amazing...,0.4648,13
Pair of cool Sunglasses.,0.3182,5
Please do more history vids. I yearn for the amount of knowledge you behold about the world.,0.3182,19
Plot twist: this video was made just so Bill could gloat about his new sunglasses,0.0,16
Reminded me that i did an unboxing and forgot to upload it,0.0,12
Se fumó algo este tipo,0.0,5
"See, the truth about the last box is a bit more complex yet easy to grasp. See, it says do not open, but our hero wonders what if. So, we can assume that the hero did in fact open the box. Now, the hero is wearing a yellow pair of sunglasses. This, in theory, is the fragile object previously hinted at.",0.9609,73
"So Bill, what’s your excuse for putting out garbage this ti-

Never mind this is perfection",0.6124,20
So fast !,0.0,3
Still waiting for when you make History of Korea or something,0.0,11
"Stop putting yourself in your videos.
Nothing against you at all.
But seeing a behind the scenes during your kind of videos is very distracting.
Its like hallucinating, but your hallucinating a guy explaining how hallucinations work.",-0.1191,42
"Stop showing your face, youre real cute but it ruins the illusion",-0.5346,13
"Stumbled across this on my YouTube watchings, great vid!!",0.6892,12
Thank you O' great one for being here to quench my thirst for these wonderfully made videos,0.8885,18
That first line of the video had me dying,0.0,9
That's why youuuuuu neeeeeed to think outside the box!,0.0,10
"Thats a great product, I have that one at home.",0.6249,12
The box has a another box and in box is a box which has another box,0.0,16
The last box contains Schrödinger's cat,0.0,6
The other box has to be Soap.,0.0,8
"Theory: he's one of those people that ghostwrites music for popular artists. he has a fuckton of musical instruments and his command of music theory, composition, and tropes of popular music (not to mention proficiency on a whole lot of instruments) all suggest that he's a professional musician who composes pop music, but nobody knows who he is, so his music must be performed by somebody else. He doesn't monetize his content, so he has an income outside of youtube. plausible ideas: massive inheritance/outrageously wealthy family, active ghostwriter, or he has a desk job. I think that it's most likely that he's an active ghostwriter because of his obvious level of education in music--very few people achieve his skill level as hobbyists. He had a bad breakup a while back (his longer songs make frequent references to missing a significant other, though admittedly that is also just another trope of pop music) and he sees the world in a Camus-esque absurdist perspective, giving his music its bittersweet themes and complete disregard for what's ""normal"" on youtube. He seems like a pretty instrospective guy.",0.9366,209
These videos are so random but I love it make more please,0.8906,12
This 6k dislikes are the dust specs being vacuumed,-0.4019,9
"This guy just farts and everyone praises, what a bullshit.",-0.1027,12
This is so *outside the box*,0.0,8
This is what I signed up for,0.0,7
This should trigger FNaF fans,0.0,5
"This video was once on trending....
Bill wurtz = ⊙        ⊙  how could this happen to me...my amazing content has failed me were not on trending no more 😭 *Sees views* nevermind 3M+ views😄
                          👅",0.3374,42
This...is beautiful. Have we found a child of god? *we must praise our new lord*,0.8625,21
"Trying out 3D effects, are we?",0.0,8
U do meth?,0.0,4
Unboxing videos in a nutshell,0.0,5
W h a t s  t h e  d a r n  t h i n g,0.0,17
