,sentiment,wordCount
#41 trending🙌🏻,0.0,4
0:50 - Caught Ana by surprise...  My sentiments exactly...  Ana is hot!!!!,0.0,17
Ahhh .Gracias por la correcion. 😉😉😇,0.0,10
Amo a ese hombre 😍,0.0,5
Ana Patricia imaginate tu la esposa de un actor tan importante!,0.0,12
Ana hoy duermes en la tina,0.0,6
BUTLER IS A FAT SOD AND BORING.,-0.3182,8
Buen actor! Siii! Que modales al comer..horrible! 👎👎👎👎,0.0,15
"Calenturienta,  no se conformó dormir sin calzones ahora anda de resbaloza.  Putiana",-0.7003,14
Come horrible!,-0.5848,3
Con la boca llena de comida hablandole de cerca a las personas. Que bien!,0.0,16
Cuando tengas el otro hijo se divorce como le paso con el q. Esta ahora yo espero le  pegue Los cuernos a este  bobalicon en turno,0.0,27
Es bello es hombre,0.0,4
Es de Escocia 😂,0.0,4
Es escocés,0.0,2
Es escocés.-,0.0,4
"Ese hombre es muy guapo .Ah y no es Norteamericano, Es de Nueva selanda .",-0.296,17
Fack Off he is Leonidas from 300 movie and geostorm movie,0.0,11
Fack Off looooool Weaboo,0.0,4
"Flor Lara De verdad me causa indiferencia si tienen o no seguidores porque q yo sepa los seguidores no los mantienen económicamente.Pobre de algunos seres humanos q están llenos de ignorancia!!Jaja,y q los seguidores!!Espero q cuando las veas en persona te den un abrazo,porque cómo son tan humildes.Fin del tema,me causa aburrimiento!",-0.6776,67
"Flor Lara Envidia,nada!Yo he viajado mucho a tu país,me imagino debes ser de R.D.y tengo muy buenas amistades allí.Pasa con la Pancha y Clarissa,q la humildad se les quedó trepada en los viajes q han hecho a tu país.Así q para nada envidio a nadie q trabaje en los medios porque hoy están en cámara y mañana,si te veo ni te conozco.Así q se vayan a estudiar para q puedan hacer algo con su vida",0.0,95
Gerard just here for the food? 🤣,0.0,8
Gerards face the whole time is like “what?”,0.3612,11
Haha stuffin that food down!,0.5093,6
Hello,0.0,1
He’s from Scotland which is in Europe stupido.,0.0,11
He’s smashed,0.0,4
I don’t speak Spanish but is the title “Gerald Butler declares his love for Ana Patricia live”?,0.7783,22
I love him! I love him!,0.8745,8
"I love that guy he stole my heart since I watched the phantom of the opera, and p.s. I love you. He’s so fine mmmmm ❤️",0.8949,34
I thought he knew Spanish and I was like what????,0.5362,13
"Jaja,las ganas de ella!!A la Pancha ni la miró.",0.0,15
"Jajaja pobresito cuando Ana dijo ""you can pay the college"" el escucho mal pensó que Ana dijo ""you can call me o algo así jajajaja 😆",-0.1027,29
Jajaja yo también pensé que era Gabriel Soto 😝😝😝😝 Ana esta hermosa. Cada quien hemos tenido a alguien que ha sido nuestro crush jeje,0.2023,27
Jajaja yo también 😂😂,0.0,5
Karlita más celosa que su hermano jajajaja,0.0,7
Like si tu tambien 👍,0.3612,5
Linda Pequeña Pero gordo😜,0.0,5
Linda Pequeña Yo pensé lo mismo!😂👍,0.0,9
Linda Pequeña Yo tambien jajaja,0.0,5
Linda Pequeña yo tambien😂😂,0.0,6
Linda Pequeña yo también por eso vine,0.0,7
Linda Pequeña. Me too 😉😉😉😉,0.0,8
MI AMOOOOOOR....! MI REY LEONIDAS... UNICO E INIGUALABLE😍😍😍😍😍,0.0,14
