,sentiment,wordCount
"""American thing"" = ""weird Hollywood thing with pompous, self-important actors.""",-0.1779,16
#MeToo,0.0,1
#TIMESUP NO MORE ABUSE BY WOMEN ON MEN,-0.7713,8
#metoo,0.0,1
#metoo lol,0.4215,2
'Moron' my friend,0.4939,5
*eyes WIDE open*,0.0,5
"0 0
\__/",0.0,5
"1958: Women with curves were considered sexy

2018: Skeletons with tons of make-up are considered sexy",0.7783,18
1:18 Brilliant. Stfu.,0.5859,5
4:07 Graham Norton finally gets a couple of straight men's semen on his mouth at the same time,0.2263,18
4:07 tha’s why u here,0.0,7
4:08,0.0,1
4:08 They are now mated for life.,0.0,8
4:08 is what you’re looking for,0.0,8
4:08 “so I guess this is what it’s like to kiss a girl? Great!”,0.68,20
4:09 . . . and Graham is gay no more!,-0.3595,9
5 different nationalities in one show,0.0,6
Acess Hollywood,0.0,2
"Actually it's because we don't hold your productions to ransom.  Hire an American and by the fourth year of a show it's ""I want 1 million per episode or I walk!"" or if your movie is lucky enough to get a sequel it's ""I want 25 million or you can find someone else!""

Well Hollywood did learn and what they learned was that it's better to just find someone else before you've made the first movie and to make sure that that someone else wasn't born in to an American middle-class republican family and taught from a young age that money and making as much as you possibly can of it is the sole purpose of life.

Andrew Lincoln is in his 8th year of making The Walking Dead and yet he and the hundreds of other Brits that dominate American TV probably don't earn in a year what the cast of The Big Bang Theory make each and every episode and yet he could still afford a private jet if he wanted to.

The American dream used to be joining the middle class but now the American dream is joining the 1% and it's going to make that country implode :/",0.4468,212
"Alison trying to explain what Neosporin is was hilarious haha, is it like Vaseline? Oh hand sanitizer!",0.8932,20
Allison Janney has just fulfilled a lifelong dream of every woman out there. Kiss a gay guy. =),0.8689,20
Allison Janney has the best personality 👏👏,0.6369,8
Allison Janney is Iconic!!,0.0,6
Allison Janney is the best.,0.6369,6
Allison Janney you are wild.,0.0,6
Allison Janneys hands are quite large,0.0,6
Allison is 6 feet. How tall is Graham?,0.0,10
Allison is completely amazing,0.624,4
Allison is so tall.nice,0.0,4
"Allison was so good in I, Tonya!",0.6166,9
Amazing couch. They all seemed to enjoy one another.,0.7906,11
"Anjani Kumar ....not really, it was consensual on both parties.",0.4019,13
Anti-biotic ointment used to heal closed wounds or some types of minor skin irritations.,-0.3612,15
"Ariana Well someone who does not find her attractive (I'm sure they exist), a gay man playing straight, a married man etc.",0.571,27
Ariana he's gay,0.0,3
Arunita Ghoshal .....you sound very judgemental......neosporin is not a common thing so its understandable that she is not familiar with it.,0.0,25
Because he was wrong...,0.0,5
Brits don't know what Neosporin is?,0.0,7
Chinno Pata don't use Neosporin on burns. And it's not used for bruises. Girl read the directions on the tube.,0.0,23
Clickbait,0.0,1
Close UK equivalent is Brulidine.,0.0,6
"Closest equivalent we have is Germolene
https://en.wikipedia.org/wiki/Germolene

But it is a chemical antiseptic because antibiotics can't be given without a prescription in the EU in order to stop bugs developing resistances to them.  Seemingly it too is now prescription only so something must have become immune to it.",0.0,50
Consistently investigate free apologize stadium fabric leg carve alleged anywhere tension beer budget.,0.34,14
Copy paste much ?,0.0,4
Cute. end of.,0.4588,5
"Daniel Kaluuya said ""Vicks"" twice and no one acknowledged. Hurtful.",-0.6808,14
Daniel has a big cock..i know he does,0.0,10
Daniel is so hot.,0.0,5
Daniel is the new John Boyega,0.0,6
Debt mention space entitle course among surprisingly stomach concentrate afraid accurate scientist.,-0.0772,13
Did he run the Swedish and British film industries too then?,0.0,12
Did i saw the tongue ?,0.0,6
"Didn't you hear? All your actors are British now. All of them. Ours.

(Yeah, he's British. Apparently Hollywood are snapping up British actors like nobody's business. It's all to do with how they're trained, apparently.)",0.3612,46
Don't do it. It easily spreads herpes,0.34,8
Douveline think she is pregnant cause her face looks a liltle fat,0.0,12
Edgy.,0.0,2
Einomar I don't find her attractive...but I still wouldn't refuse her tongue,0.2235,14
Either Graham is short or Janney is tall.,0.0,9
"EpicJacoby Yeah, the rest of the time she's kind of an uggo.",0.296,14
"Ever since 'I, Tonya' I'm obsessed with this woman.",-0.1779,13
Existing given plan middle green listen increase twist coastal proper negative tool tie light.,-0.34,15
Feature with dawn idea difficult twist you refer surprise.,-0.1027,10
Get Out brother! Lol,0.4753,5
God I love her!!!,0.8007,7
Googling said scene now...,0.0,5
Graham Norton!,0.0,3
Graham first kiss 😂😂😂,0.4215,6
"Graham got kissed by a woman, first time for everything I suppose.",0.3818,14
Graham kissed a girl and I think he liked it! LOL!,0.8597,13
"Graham you' re a Gold Star Gay,  what were you thinking , man !    She is lucky you didnt projectile vomit on her blouse as she moved in for a smooch. But you're a professional, you kept the vomit in your throat and continued on with the show, crisis averted.",-0.4389,56
HE'S BRITISH??,0.0,4
Haha in America Buzzfeed and Huffington Post would lose their minds at that kiss.,0.4767,15
"Haha, 'method'",0.4588,5
Hahaha the Neosporin tho.....   lol,0.7506,6
He has the most beautiful skin!!!!,0.7477,9
"He's not well liked in the UK, though I don't think he's liked anywhere after that thing where he yelled at someone on the set of a movie.",-0.6681,30
