,sentiment,wordCount
"""AMERICAN""",0.0,3
#TonyHawkdidmore!,0.0,2
#praisetheasian you go girl! 💘,0.0,6
"*Content Creator*
_America is a 1st world nation like Japan. It is more than fair to compared countries, especially when we are getting immigrants from there. America was founded on murder and theft. Or did you not hear what pilgrims actually did. That beings said, naturalization laws contradict immigration laws. I say anyone who is here illegally should NEVER be given a path to citizenship! We have laws to prevent new pilgrims from taking our country from us. I suggest we use them._",-0.479,96
"*Content Creator*
_She is NOT AMERICAN! She is Japanese! Americans do NOT have traditional Japanese Names like that! She was very likely born in Japan and Married into America, or had immigrate parents breaking the laws of America to have her born here..like MOST successful outsiders do. This will NEVER make an outsider an American, no more than it would in Japan. For those thinking it racist to say so, take a trip to Japan. They shit on ALL who aren't Asian, and REGARDLESS of citizenship NEVER accept outsiders as Japanese. You aren't even allowed to stay at some apartments because of your race! Hell half breed native born Japanese aren't acknowledged as Japanese!  America is clearly a melting polt, but if you were NOT born here from US citizens you're NOT American. You're an anchor baby. Success can't change that fact._",0.7454,164
"+Quantum Apotheosis Hey Dumbass, she was born in the United States! She is a citizen, therefore an American, if she WAS born in Japan she would be Japanese unless Naturalized in The USA, that is how citizenship Works here. 🇺🇸",-0.2714,48
0:09 gimme bekfast!!!,0.0,6
"1956: I bet they'll be flying cars in the future!
2018: ""First woman to ever land a triple axel in the Olympics""",0.0,27
"818 SMOKEEE Wow, you know so much about America, are you even an American?",0.5859,17
"818 SMOKEEE so going by your logic, anyone who was born in the US is not American then.",0.0,20
"818 SMOKEEE um, if you are born in America, you are American. She is ethnically asian but her nationality is American. You wouldn't call me Irish just because thats my ethnicity, you would say I american",0.0,41
818 SMOKEEE yes she id,0.4019,5
818 SMOKEEE.......thats American,0.0,5
">American
>Looks astonishingly Chinese 
>This comment is racist",-0.6124,11
A triple axel got them bronze?,0.0,7
ALSO JAPANESE,0.0,2
Accomplished historical feat...gets bronze...,0.4404,7
Actually all white people are from Europe.,0.0,8
Ahmed Saleh She’s American though,0.0,7
All I understood in this video is just pictures of her and people yelling,0.0,14
All that and never showed the jump?,0.0,8
Amazing how a bullshit slideshow can be a top trending video on Youtube. YouTube trending is such shit.,-0.4215,20
Amazing!,0.6239,2
American ... yeah ... :D,0.7378,5
American is not a race.,0.0,6
American what 😂,0.0,3
American? Don't you mean asian?,0.0,7
American? First chinesse woman,0.0,5
Anyone who can’t distinguish the difference between nationality and ethnicity here should be removed from their societies and form their own country. We’ll she how that turns out.,0.0,34
Asian Americans gonna be next President,0.0,6
Asian Momy lol basically yeah,0.6124,5
BUT SHE LOOKS CHINESE,0.0,4
Beanie Boy Exactly. I'm proud we have people so different living here.,0.4767,14
Being born in the US makes you american by law....,0.0,11
Best selling Women's Colorful Sexy Low Bra : https://youtu.be/9HGsg46mfd8,0.7579,9
Bronze....,0.0,2
But did she win gold?,0.5859,6
But she is asian,0.0,4
But she's Asian 😫,0.0,4
Charles Darwin redneck,0.0,3
China Origen China ancestor far away from.   🇺🇸,0.0,10
China could have won that bronze medal,0.7783,7
Clickbait af no video.,-0.296,5
CrimsonTide Your dumb,-0.5106,3
"Damn we have some rockin' Asian women on our teams !!! Korean, Japanese.... who else?",-0.5538,21
"Damn, I would rail that tight asian ass.",-0.7351,10
"Damn...If you're going to post, show the clip for Pete's sake. Otherwise, some will say this is CLICKBAIT!!!",0.0,26
"Delete the video, you didn't even show the axel",0.0,10
"DoGon Supreme 
That is not true at all, what are you talking about?
Are you saying that if she is mixed or an immigrant then she is no longer an American?
An American is someone who was born in the USA, not just a white person.",0.1098,51
Doesn't look American to me,0.0,5
Don't put FB trash here dude. Make a real video or go home.,0.0,15
Don’t see any Hispanics either🤔,0.0,8
"Erica the red head nope, she's Asian.",0.0,9
"Erza Scarlet yeah, no. Everywhere else in the world nationality is based on race. White people who become citizens in Japan are not considered Japanese because they are not Japanese.",0.0,34
"Even if she was born in the US ,shes not american, Gasagu or marisich, i bet shes really proud of being asian",0.5256,25
False,0.0,1
Fanboys have no knowledge i think the clickbait moat people thought it was going to be the video not some PowerPoint,-0.296,21
First American,0.0,2
First Asian woman.,0.0,4
First of all she isn't the fist women to do a triple axel!!!!!,0.0,16
First to do it at the Olympics,0.0,7
"First women; ""she's the third to do so"" what?",0.0,13
"For those saying ""she's not American,"" yes, yes she is.  Legally born and raised in California. Her *ethnicity* is Japanese, but her *nationality* is American.  It's disappointing to see that many lack this basic knowledge.",-0.8522,48
"Fred race and ethnicity are different you fucking idiot, what you're saying would mean ""you dont look american cuz your white."" bcs all white americans are European. Get and education",-0.5563,35
Go Mirai Nagasu! Arcadia is cheering you on!!!,0.6671,12
Great,0.6249,1
Great job young lady God bless all of our athletes better in the Olympics I wish them America would take care of the athletes better from America do you know that our athletes are pretty much training themselves while working full-time jobs to support themselves so they can go to the Olympics someone needs to look into the Olympic Committee very closely too much corruption,0.9766,65
Have you noticed a lot of Asians are making history in an Asian country? Are they hacking?,0.0,19
Her beauty is only surpassed by her talent 👍🏾,0.765,10
Her face in the thumbnail is like the instant she released the turd after a week of constipation. All jokes aside: stunning performance!,0.75,26
Her facial expressions are powerful but overwhelming,0.2263,7
"He’s a Trump supporter. Nothing we can do to help guys. Also, I’m in Japan, and they are quite respectful to everyone.",0.796,31
Hobbes84 Their nationality would still be Japanese since they are citizens of Japan. They can be ethnically different. Nationality is the affiliation of a person to their country. It has nothing to do with ethnicity.,0.0,40
Hobbes84 stfu u just angry she not on your Olympic team,-0.5106,12
Hobbes84 that’s not how any of the world does it. By that logic only 2% of the people who live in the United States are Americans,0.4215,31
Hobbes84 wrong,-0.4767,3
Hobbes84 your nationality is determined by the place you were born and not your ethnic origin headass,0.34,18
Honestly there’s more comments I see about people telling people to stop being racist instead of actual racist comments,-0.802,21
"Horrible, horrible pictures. The worst. Have some respect, TIME.",-0.8402,14
I can see the future,0.0,5
"I can't tell if you're joking or actually this stupid :/ 

Your ethnicity and nationality are two completely different subjects.",-0.6705,21
I could of used google images,0.0,6
"I dont think shes American tho, she was probably born in the US,",0.0,15
I don’t see any Blacks in the founding fathers,0.0,11
"I had a lot of respect for her until she started talking s*** about her other teammates. Saying she was the reason they won the team bronze. 

Wow what a primadonna as who the hell does she think she is. That finishing 10th was just a jumping off point for Dancing With the Stars as in seriously lol. 

With that kind of attitude I hope she leaves figure skating for good. Team USA does not need someone like this representing their sport.

Not taking away from her talent but making excuses for your own poor performance. Then taking cheap shots at your teammates is weak!! :/",-0.7086,118
"I hate when they think it’s acceptable to use a bunch of pictures after I just sat through a damn ad. It’s YouTube, not YouPic, wtf is this? IGN?",-0.3374,38
"I hope the few people that see this remember to always keep following their dreams. Never give up, Anything is possible!!! Mine is to be a successful YouTuber! ❤️ (which is really hard nowadays, anyways I’m always looking to support other youtubers!!) 🌟🌸",0.9114,58
I love Mirai,0.6369,3
"I love myself some Slideshows, with some Text and Music to round it all up. You exactly hit my Taste! Good Job TIME. There is always TIME to say TIME one TIME",0.8122,36
