,sentiment,wordCount
"""seth rollins beats roman reigns every single time"" - rollins :)",0.4588,13
*THE SHIELD* aint gonna work out...will it?,0.0,12
*_idiot_*,0.0,3
24k hoes liked it....,0.4215,5
3.00  I think that Roman wanted to do the Mid Air Spear,0.0,12
80% of romans fanbase are indians 😂,0.0,8
"After brock lesnar leave wwe my new favorite wrestler is ""Seth Freakin Rollins""",0.4215,15
Ah wrestelmania reigns vs brock lesnar,0.0,6
Aj Styles and Seth Rollins need to have a match already,0.0,11
All fake.Why would someone stand in the middle of the ring and watch someone climb up on the rope and let that person jump on him?,0.0,27
Any one can tell me? Why Roman reign vs Seth rollin? Where is the shield? Is the betrayal?,-0.6966,22
Aren't the shield back?,0.0,5
"BURN IT DOWN!!!!!!
SETH IS MR. RAW",0.0,11
BURN IT DOWN!!!🔥🔥🔥,0.0,9
BURN it down!!!!!!🔥🔥🔥🔥,0.0,9
Bazen çok sapitiyolar roman jhon cena yi yeniyo. Nasil yenebilir Hadi onu geçtim brock lesnar ile yaptığı karşılaşmada zorladı broum ile karşılaşmasında. Yendi undertaker ı yendi ama seth onu yendi cok sacma sacma neyse,0.0,36
Brock Lesnar or Brown Strowman?!,0.0,7
Bury yourself in the desert.,0.0,6
But are they still tag team,0.0,6
But.....The Shield?,0.0,5
Can someone tell me when cena has turn into curt hawkins😭😭😡😡😡😡😠😠😠,0.0,19
ChristopheDoesVlogs A garbage wrestler rightfully losing.,-0.3818,7
Cole I'm pretty sure Jericho's been in at least 8 elimination chambers and triple h about five or six,0.6705,19
"Comedy hunt Before you start calling wrestling ""fake"", just remember that all of the shows that you watch and enjoy are fake.",0.3818,26
Curb Stomp,0.0,2
Dean Ambrose kaha hai,0.0,4
"Dean can beat Seth clean
Roman can beat Dean clean
Seth can beat Roman clean
Wtf  shield are playing rock paper scissors",0.6249,22
Did the ban the word fist fight. Cause there saying slug fest now if they did thats fuckibg stupid,-0.8625,20
Did the shield broke up again? I heard some rumors though,-0.4215,12
Don't let this distract from the fact that rollins has beaten reigns twice clean😎🔥💯,-0.6486,17
Even as well are hypocrites hating on Roman,-0.296,8
Everyone who says that reigns is gonna win I damn hope you are wrong,0.2263,14
Fake,-0.4767,1
Fake VIdeo  fake moments,-0.7351,4
FocusOnAdventure Safaris & Tours but on wwe.com they say former shield brothers will fight each other on raw ?,-0.5267,19
Go Reigns,0.0,2
God I hate them both fighting with each other...,-0.6249,10
Hey the shield reunited ryt?,0.0,6
Hi,0.0,1
"I Loveee Sheamusss
But Roman Reigns nice
Qadeer irani",0.4215,9
I don’t like how wwe said oh Roman was about to beat Brock if it was not for Rollins but I remember that Brock did a f5 and Roman on the ground and then Seth came out lol,0.6652,40
I haven’t seen wwe in a long time  but I thought the shield came back why are they fighting again,-0.5023,22
"I know it’s not very cool to compliment the guy, but Reigns is doing a good job of selling and working. His promos are trash, and he has some bad body language habits, but he’s a good worker in the ring.",0.5488,50
I know that Dean Ambrose is injured but what's gonna happen with the sheild are they gonna start  fighting as the sheild or are they done,-0.6249,26
"I know that all the matches are faked; that's not problem, but in this case, Roman clearly ""helped"" seth to win; how it is possible that a man who endured five F5s in a wrestlemania agaisnt Brock is loosing a match in this way...at least, WWE should put more effort to make its matches more believable!...",0.8927,67
I like you Roman,0.3612,4
I love Roman,0.6369,3
I love Seth Rollins. My choice,0.6369,7
I love both,0.6369,3
I love roman .. 😍,0.6369,5
I love you all,0.6369,4
I need to turn autoplay off. Roman is such a bore.,-0.25,13
I suggest wwe to organise a 8 man  elimination match at elimination chamber. This is surprising for wwe universe.,0.2732,21
I thought the shield had re united?,0.4215,8
I want shield,0.0772,3
I'm glad WWE obviously decided to make Seth Rollins look great again. He was a midcarder for too long. I hope he'll win at No Escape.,0.9231,29
I'm pretty sure they're still back together I think this is a match to determine something with elimination chamber,0.6705,19
If ramen rains manevents wrastlemanea i unsubscreeb to double u double u e netwurk and go to tna eye also go kell my self beecuz eye donut liek ramen rains,0.0,30
In the spanish version dont censored the boos and the cheers and is toooo diferent,0.549,15
Is the shield over,0.0,4
It’s the most disappointing match of Roman reigns didn’t expect that😒,-0.5413,16
I’m really confused are they still the shield or is the shield no more?,-0.5849,17
Jordzyi 1 It's not hypocritical. Roman is actually a horrible wrestler.,-0.2547,13
Just Turn Roman Reigns or John Cena Heel that'd be great. But I'd be happy with a Seth Rollins Heel Turn or Dean Ambrose Heel Turn too.,0.8316,29
Just luck,0.4588,2
Michael Cole- Roman Reigns was one of the favourites in this match tonight and he goes out in the first match.Crowd- YES YES YES YES!,0.9328,28
My Lunatic is coming soon #Dean Ambrose,-0.4939,7
My foot,0.0,2
N,0.0,1
Nice,0.4215,1
No,-0.296,1
No death the shield,-0.7269,4
"Pardon the intrusion everyone, there's a serious situation going on in Syria right now where hundreds of women and children are being massacred who are caught in between by the war of aggressors. Donate generously through any donation of your choice to make a difference, because you can, make a difference.",-0.25,56
Pas le Shield comme même,0.0,5
Please check at 1:32 to 1:35,0.3182,6
"Please do not call it the stomp, atleast if you won't say curb stomp just call it black out like Corey did",0.5859,23
"Please join me in hypstar upload video 15sec you can get money Adindaputri membagikan video di Hypstar, ayo lihat! Click here >> https://www.hypstar.com/share/video/6524842560312052993/?tag=0&share_ht_uid=6506505187099557890&did=6522733740089853442&utm_medium=hypstar_android&tt_from=copy_link&iid=6522733745139828482&app=live_i18n",0.5848,26
R.I.P Shield,0.0,6
REIGNS IS THE BEST,0.6369,4
ROLLINS YARD,0.0,2
ROMAN   REIGNS    I  LOVE,0.6369,4
ROMAN RIENGS MY FAVOURITE 😨😨,0.0,6
Real. Hero roman ring,0.5574,5
Revolution knee!👌🏼,0.0,5
Rolins  is great.,0.6249,4
Rollina is great,0.6249,3
Rollins c'est le vrai héritier de Shawn Michaels,0.0,8
Rollins gave a perfect reply to Roman for the Royal Rumble,0.5719,11
Rollins is awesome,0.6249,3
Roman Is Best Ever It Doesn't matter That He Wins or Looses 💪💪💪👌👌👌,0.8034,18
Roman Reigns is a very good player in WWE,0.4927,9
Roman Reigns is gonna get exposed in a couple days. Follow Jon Bravo’s channel for the evidence video. https://youtu.be/rsng-ShQqjs #pushstrowman,-0.0772,24
Roman be getting Fat,0.0,4
Roman brings the fight,-0.3818,4
Roman deserves universal title just as much as Donald Trump deserves to be president.,0.0,15
Roman is nthg in front of seth rollins....i really hate reigns ...i lv rollins since he was in nxt...,-0.6115,23
Roman is so hot,0.0,4
Roman is the best in wwe ❤️😘😘,0.6369,10
Roman is the great guys he never gives up,0.6249,9
"Roman lose it...but Seth still owes Roman respect.
Roman is the leader of those two guys ie Seth n Dean and they all respect him

#RomanReigns",0.5423,29
Roman reign is big dog,0.0,5
Roman reigns half to win the match,0.5859,7
"Roman reigns over the years(2014-present):

2014: Mic skills- 6.5/10
Wrestling- 5/10
Popularity-8/10

2015; mic skills- 2/10
Wrestling 5.5/10
Popularity 4/10

2016; mic skills- 4.5/10
Wrestling- 6/10
Popularity- 4.5/10

2017; mic skills 6.5/10
Wrestling-8/10
Popularity-6/10

2018 (currently this can still change); mic skills 6/10
Wrestling 6/10
Popularity 5/10",0.8519,77
Roman reings,0.0,2
Roman rings Vs me meet me in the Philippines manila,0.0,10
Roman said nun of them defeated Brock but Seth and John cena did,-0.2617,13
Roman you are such a good fightare,0.4404,7
"Roman🙏😍👏💪
Rollins😂🖕🤨🤬💩",0.0,11
"Roses Are Red
Violets are Blue
U Do Your Move
ROLLINS Will Kick Out at 2!!!",0.0,19
SETH >>>>>> ROMAN SUCK,-0.5622,6
SUPER,0.5994,1
"Scripted match
No one can defeat ROMAN EMPIRE",-0.6369,8
"See WWE, you're amazing when u just stick to wrestling and less if that promo talking stuff.",0.5859,19
Seth ''FreaKingSlayerMan'' Rollins,0.0,7
Seth Rollins WIN!,0.7027,4
Seth Rollins the new iron man of wwe wow,0.5859,9
Seth gunha take,0.0,3
Seth is better than reigns,0.4404,5
Seth will win the chamber,0.5859,5
Seth wrestled for longer in one match than Brock did in 6 years.,0.0,14
"So Seth Rollins > Roman Reigns > Dean Ambrose > Seth Rollins... and then it continue. They are really ""the shield"".",0.0,26
So any hope of Rollins winning is gone,0.7635,8
So glad Seth is finally getting pushed again,0.5095,8
So happy i was their,0.6115,5
So no shield,-0.3597,3
So proud of him!,0.5697,5
Suicide dive 🙄😳,-0.6705,4
Tf,0.0,1
Tf was that,0.0,3
The best match on Raw ever.,0.6369,7
The talent Seth rollins,0.4215,4
There tag team,0.0,3
There was something different about Roman in this match that made it different from his other matches recently 🤔 he starting to change up just a lil but idk if anybody notice,-0.1531,32
"These two have great chemistry! They work together like dancers, you can see how they accept each others moves and work together like friends..",0.8999,27
They finally gave it a name,0.0,6
This time the shield never reunite :(( that sad,-0.4767,10
This year is sheth year,0.0,5
Triple H you have all the control in creativity,0.3818,9
U can beat him Seth,0.0,5
WTF? WHY,-0.5859,3
