,sentiment,wordCount
"""Born for greatness"" at the end :3",0.5106,10
#PushElias,0.0,1
#PushJohnCena,0.0,1
#WalkWithElias,0.0,1
*Cena 😢❤️😢😢😢😢 .!!!*,0.0,13
*Goku & Vegeta Vs Jiren* XD,0.6739,8
1,0.0,1
1 tane bile türk yokmu aq,0.0,6
"1) elias samson 2)john ceno 3) strowman............in that order..................in my bed.........of course, only 1 at a time",0.0,28
1:58 WTF Was That!??,-0.7339,7
1:59 Fun Fact: Nobody has countered the FKS at this moment. Elias is the first man to do it,0.5106,21
2,0.0,1
2:02-2:04,0.0,2
2:22 Macho man Randy Savage!,-0.5093,6
3...,0.0,2
6 I think coz then people would love to see Lesnar vs Cena and then Lesnar leaves WWE and Cena becomes 17 time world champion,0.8442,25
AND HIS NAME IS JOHHHN CEENA!!!!,0.0,9
Aashik,0.0,1
Almost every little kid is triggered that there master braun didn’t win,0.5859,14
"Amar
shader
moyna",0.0,3
Amazing,0.5859,1
Andrew Gunning The end was good thanks to Seth Rollins.,0.7003,11
Andrius um no....,0.0,4
At elimination chamber the undertaker will beat up john cena and they will have a match at Wrestlemania 34,0.0,19
Aye yo cuddie where tf is john cena??,0.0,10
Baby one more time,0.0,4
"Bible ref.
       1 Corinthians 6:9-11
9. Or do you not know that the UNrighteous will ""NOT"" inherit the kingdom of God ?

      Do not be deceived:

neither the sexually immoral,
nor fornicators,
nor idolaters,
nor adulterers,
nor homosexuals,
nor thieves,
nor sodomites,
nor covetious,
nor drunkards,
nor revilers, 
nor extortioners will inherit the kingdom of God.

 
11.  And such were some of you. But you were washed, but you were sanctified,  but you were justified in the name of our Lord ""Jesus"" and by the Spirit of God.


        All must REPENT from Sin to enter thy kingdom.

    Jesus Christ is the Only way to the father in heaven.",0.8662,134
Braun Strowman for Universal champion.,0.5994,6
Braun Strowman must be wwe chempion,0.0,6
Braun Strowman vs The Giant Gonzalez,0.0,6
Braun is Funny,0.4404,3
"Braun should be winning, i want strowman as the next universal champion",0.8225,13
Braun strowman world in the best,0.6369,6
Braun yo are stoopid man and poop it,0.0,8
Bunch of sweaty guys rubbing on each other... GAY!,0.0,11
But all of them entered,0.0,5
CaCa,0.0,1
Cara*,0.0,2
Cena,0.0,1
"Cena Vs Elias match at Wrestle mania  will probably happen, hope Elias wins the squash match",0.765,17
Cena deserve to win,0.5859,4
Cena is the best and i know cena going to win elimination chamber,0.8402,13
Cena lost,-0.3182,2
Cena sucks,-0.3612,2
"Cena used good strategy against strowman but unfurtunately he lost the match.......
And now a days Cena gets from the Top line Bottom..........
Otherwise no one can Dare to Face him in the Chellenges",-0.3818,36
Cena🌹🔥💗💗💗💗💗,0.0,6
D.,0.0,2
"Damn it, who else looked at Cena's hands when he took out strowman",-0.4019,14
Damn! Cena not lose,-0.1862,5
Dat nip slipa yall,0.0,4
De miedo,0.0,2
Dean Ambrose,0.0,2
Did anybody notice the strength of Elias throwing Braun strowman out of the ring like trash,0.6908,16
Didn’t John cena retire?,0.0,7
Does anyone else find it sad that the only thing interesting about their Universal Champion is Paul Heyman,0.5423,18
Dream match: Braun strowman vs Ryback 😒,0.25,8
Elais wins how?,0.5719,4
Elias The New Champion....!!!!,0.0,8
Elias is King,0.0,3
Elias is looser Elias sucks,-0.3612,5
"Elias won the match... really😂😂😂😂😂😂😁😁😁
You don't think it's funny...😹😹😹
I still can't believe 😁😁From this match #walkwithFUN😹😹",0.5719,33
Esta mierda es más falsa,0.0,5
Fantabulous,0.0,1
"First time this happened that who won enter on the chamber last 
Thats not a good idea 
Who else agree???",0.6524,23
Fixed,0.0,1
Gawd idk any of these new wrestler's,-0.1027,7
Geez a great main event with real stakes and real credit for everyone involved. Great work WWE and the three men in this match.,0.8957,26
Go cena,0.0,2
Good job,0.4404,2
Good very,0.4404,2
"Hahahaj first time in my life,cena caught acting.

Never tapped out this way ever",0.0,17
Has John Cena become a jobber ?,0.0,7
Hi wie geht's can you please subscribe meine !?,0.3802,10
How the hell did John Cena carry Braun!? Damn! He still got it! But Braun Strowman still destroyed them.,-0.9077,24
I WALK with Elias,0.0,4
I agree with sin card,-0.2732,5
I always knew that John cena is more powerful than braun strowman,0.4754,12
"I am very disappointed by WWE ,you are not booking john CENA good after royal rumble 2017 what is this you are pinning the 16 time champ by a 0 time champ what is this!",0.7183,37
I am walking with Elias... This guy won my heart,0.5719,11
I bet John Cena will or maybe Braun Strowman idk,-0.1027,10
I don't watch wrestling no more but that's the big dude special. GTFOH 😂😂😂😂,0.6116,17
I hate Braun Strowman he keeps beating people up when he loses a match,-0.8402,14
I hate elias,-0.5719,3
I just LOVE how much Braun Strowman is LOVED right now!!! ;),0.9238,15
I love *_JOHN CENA_* 😍  Wwe😥😥😥😥😥😥,0.6369,12
I love Elias because he’s so funny 😂,0.8377,10
I love John Cena,0.6369,4
I love it when Cena and Elias Working together,0.6369,9
"I miss old Braun i mean he should be using more moves, not just a powerslam i am getting tired of that move -.-. I liked a lot his reverse chokeslam, cluming blow or yokosuka cuttter.",-0.1779,42
