,sentiment,wordCount
"*Take this bag, let the cargo be free* https://t.co/1dGMprBCA8?8Cm",0.0,12
"A mudshark skank, who can only attract lowlife ghetto niggers.
SAD!",-0.628,14
All of these comments from retarded teenage girls give me cancer.,-0.8442,12
Aly Nicoco Justin Villarreal,0.0,4
Aly Nicoco Mixed children can be very white. They have the color spectrum from both parents. She has curly hair. Look at her  childhood pictures.,0.0,29
"Aly Nicoco She is to pale to be mixed? Tell that to Logic...Sophia Richie...Cameron Boyce, and many other black and white mixed people on earth....",0.0,32
"Aly Nicoco You're Right! I just looked it up! True asf, Totally Alex Roldan, although Khloe Came out Much More beautiful thanks to her mom's genes",0.8946,30
"And for the record, I’m NOT a fan of Chyna lol",0.6249,14
And never say never especially when it come to both Rob and chyna's crazy asses they just might get back together tomorrow,-0.7184,22
"Andrea Mendenhall look up the early replies, someone mentioned Alex Roldan, look him up. He's definitely her dad",0.4019,21
"Andrea Mendenhall she isn't OJ's Daughter. Look at kourtney and kim, their father was not black, he was armenian, and Kim and Kourtney are Darker skinned than Khloe!!!  Khloe's father was white.",0.0,40
Anyone who named their kid Dream shouldn’t be allowed to have children,0.25,14
"Are you kidding me? Natural? Yeah she looks great but she ain't natural..she got her hair done, probably by a professional, with extensions, professional makeup done with fake lashes, contouring, lip injections, God knows what else other fillers or Botox. There's nothing natural about the kardashians..",-0.1091,58
"Are you talking looks or personality? Cause she ain't natural looking..hair did, colored and extensions, makeup did, fake lashes, contouring, lip injections, possibly other plastic surgeries/injections/fillers...you realize how many layers of makeup this girl wears! None of her appearance is natural",-0.7658,57
BUT IS KYLIE PREGOO,0.0,4
Blac Chyna has behavioural problem.   Only a mad man will go out and have baby with her.,-0.7096,19
Boobs ruling this world,0.0,4
Boot diverse extra race particle resist credit major measure function provided harm.,-0.2263,13
Botox like a mf,0.3612,4
Btw both of yall stink,-0.4019,5
Cause she's o.j Simpson's daughter...chris cheated on Rob with O.J....thats why shes the only one that stands out different and got o.J features....,-0.7845,34
Chyna is one evil and conniving bishhh who really just wanted to get knocked up so she could be set for life...ugh...hate gold diggers...get a real job girl!,-0.69,35
Court Love that's not how bleach works...,0.6369,8
"Court Love you can't use bleach to make something darker, hence my original reply.",0.7579,16
Daddyfatsack 718 I think it's a combination of pregnancy and plastic surgery.,0.0,13
Daddyfatsack 718 Justin Villarreal,0.0,4
Daddyfatsack 718. I feeling like she was eating while talking.,0.4588,12
E news & it's viewers just live in their little bubble. How cute .,0.4091,15
EDUARDO RENTERI,0.0,2
Enough of the kardashins already please ...,0.3182,7
Ewwww those lips r so disgusting.   U will always be ugly. Dont matter how much plastic surgery. Your kids will be as ugly as the blood running through your veins.,-0.8972,34
