,sentiment,wordCount
"""No, you ain't nobody 'til you got somebody
You ain't nobody 'til you got somebody""

Isn't that twisted to be saying in a song that many people will look up to? Saying that you aren't anyone until you have someone is horrible to say to your fans cause many will end up believing it. Just a thought",-0.5423,64
"#R.I.P
Stephen Hawking is no more😭",-0.296,12
#teamturtle,0.0,1
''you ain't nobody till you got somebody'' not a very healthy message seeing as more than half of your fans are teens. Just sayin',-0.3559,30
18:55,0.0,1
2018??  Сәлем Әлем✋✋ from  Kazakhstan,0.0,9
2:34,0.0,1
2:36,0.0,1
"6:00 Jesse leave Demi
6:34 someone behind Jesse
6:40 Demi say sorry",-0.128,12
6:05 make me cry,-0.4767,4
"89.8M! 
GOOO 90M!!!",0.0,8
A handful of people have been commenting on how they realised that it's not him but Demi who leaves the altar. Can anyone explain how? I'm just not convinced,-0.438,31
Amazing keep shining in the light and let them stay in the darkness,0.4215,13
Amei,0.0,1
At 2:32 the song stars😛,0.0,6
At first I didn't like her but when she want to Las Vegas I went to see her now I love her,0.7714,22
Bad ending !,-0.5848,3
Beautiful♡,0.0,2
Because of that ugly feminist,-0.5106,5
But he loves April Kepner,0.5719,5
"CARALHO PORRA NAO FAZ ISSO COM UMA MULHER DESSAS MANO! AAAAH EU SEI QUE É SO UM CLIPE MAS NAO FAZ UMA MERDA DESSAS COM UMA MULHER TIPO A DEMI MANO AAAAAH 
EU VOU ME CASAR COM ELA VCS VAO VER",0.0,42
Casa comigo??❤💍,0.0,6
Close to 100M,0.0,3
"Congratulations Demi 
Your voice takes the roof off the ceiling",0.5994,10
"Damn!!! I was never even scared about getting left at the altar but now you got me thinking about it, Demi. Great song. You've always had one of the best vocals in the industry and you're so beautiful. Thanks for sharing. <3 I love you. There, I said it!",0.9918,60
"Dark 
  but most of time man suffering for thise in INDIA",-0.631,11
"Demi -Oh tell me you love me 
Me- I m sorry",0.5994,13
Demi I love you so so much ur the best u looking so cute,0.9134,14
"Demi Lovato Tell Me You Love Me Lyrics 

Oh no, here we go again
Fighting over what I said
I'm sorry, yeah I’m sorry
Bad at love, no, I'm not good at this
But I can't say I’m innocent
Not hardly, but I'm sorry

And all my friends, they know and it's true
I don't know who I am without you
I got it bad, baby
Got it bad

Oh, tell me you love me
I need someone on days like this, I do
On days like this
Oh, tell me you love me
I need someone
On days like this, I do
On days like this
Oh, can you hear my heart say
No, you ain't nobody 'til you got somebody
You ain't nobody 'til you got somebody

And I hope I never see the day
That you move on and be happy without me
Without me
What’s my hand without your heart to hold?
I don’t know what I'm living for
If I’m living without you

All my friends, they know and it's true
I don't know who I am without you
I've got it bad, baby
I got it bad

Oh, tell me you love me
I need someone on days like this, I do
On days like this
Oh, tell me you love me
I need someone
On days like this, I do
On days like this
Oh, can you hear my heart say
You ain’t nobody 'til you got somebody
You ain't nobody 'til you got somebody
My heart's like
No, you ain't nobody 'til you got somebody
You ain't nobody 'til you got somebody

Everything I need
Is standing in front of me
I know that we will be alright, alright, yeah
Through the ups and downs
Baby, I'ma stick around
I promise we will be alright, alright

Oh, tell me you love me
I need someone on days like this, I do
On days like this
Oh, tell me you love me
I need someone
On days like this, I do
On days like this
Oh, can you hear my heart say
You ain't nobody 'til you got somebody
You ain't nobody 'til you got somebody

Everything I need
Is standing right in front of me
I know that we will be alright, alright, yeah",0.9987,435
Demi Lovato is honestly a LEGEND👏🏼,0.4588,8
"Demi is hot too, but omgeee!!",0.0,9
"Demiiiiii your the best singer ever! Never give up or loose your faith because we all look up to you, and all other celebrities! You all have your own unique personality and its awesome just like you! <3 Stay true to yourself and ROCKKK ONNNNN AND BE THE DEMI WE ALL LOVE!!! :D",0.982,60
Deprime,0.0,1
"Did she just say ""you are nobody till you got somebody""?  Well that sums up why you fell in a shitty relationship",-0.3612,25
Doing the stink face to this good song !!,0.3091,10
Dr jackson avery is sexy love them eyes,0.8225,8
Dr. Avery why u gotta always ruin weddings?,-0.5859,10
Dr. Jackson Avery you need to stop screwing up weddings!!!,-0.6093,14
Dr. Jackson Avery!😲,0.0,6
Duet with charlie puth plzz,0.0,5
Dumb cunts marrying jealous cunts. Good story.,-0.9042,9
F*** demi if you dont like taylor you are the worst person in the world,-0.7359,18
Ficou foda esse clipe.,0.0,5
"Fitria Yeni pasti mba,aku sehari cuma bisa ngirim 5 kali,maklum lah aku kerjanya serabutan,maaf yah",0.0,21
GREYS ANATOMY  JACKSON!!!,0.0,6
Geil💔,0.0,2
"Get it, girl!! ;)",0.3578,7
"Gloria Alias if you notice at the end, when she says that she’s staring at herself in the mirror. It’s very poetic.",0.0,29
Good morning demi lovato,0.4404,4
Good song cute****💖💖💖💖,0.4404,9
Grey's Anatomy!!!!,0.0,5
Greys anatomy #japril or #jaggie?,0.0,6
Greys anatomy squad,0.0,3
HE IS RUNNING THE APRIL KEPNER,0.0,6
He is 11 years older than you bitch,-0.5859,8
He is one of the most gorgeous guys Ove ever laid my eyes on 😍 lord have mercy it's hot in here now 🔥🔥 the song is meh. I stayed for that beautiful piece of chocolaty goodness 😛🤑👌,0.9245,42
He left her at the alter 💔😭,0.0,8
He realized that he belongs to April,0.0,7
He was not ready because his heart will always belong to dr. April Kepler,-0.2755,15
Hellou demi,0.0,2
Hey Avery get back to Greece anatomy,0.0,7
Hi demi lovato,0.0,3
"Hi everyone, please watch my Demi Lovato's cover (Spanglish version) https://youtu.be/SpRPEXdSGhg",0.3182,14
"I      LOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOVE YOU BABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBY         ! 
By V[!]C !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",0.0,14
I Love you Demi 😘😘😘,0.6369,7
I bet he left to find April,0.0,7
I came to see why i wasn't invited to the wedding of  Demi'and Dr. Jackson Avery 🤔 i'm hurtededd,0.0,20
I cried to this  what an amazing song,0.296,8
"I don't need a guy to tell me he loves me, I'd rather him show it...",0.5719,18
"I feel inlove with Demi since í heard and watch her music vid. 
""Give your heart a break"" I love that song so much and the music video.she looks gorgeous and that long blonde hair ,just wow... 💕",0.8481,43
I feel this song in my soul so much😩,0.0,10
I hate you,-0.5719,3
I like the song,0.3612,4
I love this omg,0.6369,4
I love this song,0.6369,4
I love this song & video. 💞,0.6369,8
I love this song so much😍😍😍😍😍😍😍😍😥💕💕💕💕💖💖💖💖💖💓💓💓💗💗💗💗💙💙💙💚💚❣❣❣💟💟💟💌💌💌💌❤❤❤❤❤❤❤❤🖒🖒🖒🖒🖒😘😘😗😗😚😚😙😙😍😍😇😇😇😇🤗🤗🤗🤗,0.6369,58
I love this!!!!!!!,0.7482,6
I love u hotrod,0.6369,4
I love u 😁,0.6369,4
I love you demi,0.6369,4
I love you too,0.6369,4
I love your songs Demi cause your always so fierce about your songs and all,0.6369,15
I made dis up. YOU AINT NOBODY TILL YOU GOT LOVATONATORS!😂,0.0,14
I need a film of this,0.0,6
I really like this song,0.4201,5
"I remember Kelly Clarkson's song ""Behind These Hazel Eyes""...weddings etc...",0.0,15
I would had a gun under that dress then he tells me that he is not ready  and starts walking away i would have shot him in his foot and dragged  him into my car tire and would have ran him over!!!!!!!,-0.7076,45
I would've slit his neck,0.0,5
"I'm not ready, serious at that time?",-0.2235,9
"Idiottest


Read more",0.0,3
Im only here to see Jackson,0.0,6
Is that tufuu,0.0,3
It‘s sooo strange to see Jesse(Jackson) with her and not with April😩❤️❤️But the Vid is 💥🔥 anyway,-0.2023,29
I’m just here wondering how Catherine Avery feels about this?!,0.0,14
JACKSON,0.0,1
Jackson Avery❤❤,0.0,4
Jackson from Grey’s,0.0,5
Jackson likes to fuck up weddings,-0.1779,6
Jackson?!?,0.0,4
"Jesseeeeeee Williams ❤

Jackson Avery ❤❤❤",0.0,8
Kesini grgr JOAN Indonesian Idol ??? 😂,0.0,9
"Kudos The director on this!! Great song, great casting, excellent location, excellent video!!!! Where'd they shoot this, Savannah, Ga?!",0.9659,31
Last night I had a dream ... man it was extremely vivid . Anyways it was about someone.  And we had to sing a song . One of demis  songs was in it and I was  supposed to sing it yet I'm not even sure which song it was but I think it was this one ..,0.0049,58
Love the song and video👍🏼,0.6369,7
Love this song sooooo much and The video is better seeing 👀 Dr. Jackson Avery,0.7964,16
"Love this song, rings so true for me, Demi if u read this, I have been a fan from the beginning and your current music is AMAZING, I was in a bad relationship with a very abusive man, had a son, so I felt I had to stay for him, my friends warned me, but I clndt or wldnt listen.  Then I found my saving Grace, my husband and we will be married 14 years but, even though he isn't unfaithful, or physically, emotionally and physiologically  abuse me, we have grown so far apart we now have a son together 15 and he adopted my oldest 20 US Army Solider, I Love him, I am in Love with him, but I don't think he is still in Love with me.  I don't blame him, as in 2010 I had to have a complete hysterectomy due to endometriosis and needless to say it has been nightmare for everyone since, then I found out I had Hashimotos an auto-immune disease of my Thyroid, well had to have a Thyrpoidectomy, let me point out I have always been about 100-110lbs, between the hysterectomy and thyroidectomy I have gained close to 70lbs and it is so overwhelmingly mentally and physically I am always angry.  It doesn't stop there before the thyroid issues (which controls your metabolism) I was told I had a microadenoma in my pituitary gland, if u dont already know that is a small tumor on my pituitary gland, which is located in my brain, good thing is it has never changed in size, but the pituitary gland tells your thyroid(which I don't have) to do it's part, like to get your metabolism going, I take synthetic thyroid hormones, but it doesn't really help, so after working 40+hours a week I am so exhausted, but he doesn't understand, he thinks I am just being lazy and FAT, it doesnt stop there, my adrenal glands are also not functioning as they should so I have low cortisol, how do u fix that they prescribe u hydrocortisone, which is a steroid and everyone knows that makes u gain even more weight so I refuse to take it, which in turns causes severe joint pain and after a long day at work I get out of the car looking and feeling like I am 80, his words exactly.  I don't want to go to bed at 3pm when I get home, but I am so tired and in pain that i just dont want to do anything, i rarely leave the house bcse I hate the way I look, nothing fits and I know he does not want to be seen with me.  What happened for better or for worse.  Don't think all I do is complain, but when your body is working against itself and nobody understands and u feel all alone, I just dont know what to do.  I have to get this weight off bcse it is cause a HUGE strain on my body, causing me extreme anxiety and medically I am afraid I am going to have a heart attack.  I hope u see this or someone in your circle does, bcse I would love to know what u did, to get back in shape, I need this for me, physically, mentally, emotionally and medically, as well to get my life back.  Thank you for listening, even if u dont see this.  Jennifer jmlakos@gmail",0.1985,643
Love you Demi ♡♡♡,0.6369,6
Love 💕 this song,0.6369,4
Love 😍😍😍😘,0.6369,5
Loved this!!!!!!!!,0.7243,5
Love💝 u Demi😘,0.0,5
Luv it❤❤,0.0,4
MAFIA LOVATO,0.0,2
MC loma tem mais views,0.0,5
Minha Diva❤️,0.0,4
Musobikhan Fatkhlufi iyaa amiinn votee joan yaa,0.0,7
"Musobikhan Fatkhlufi yoo man, semoga bagus nanti",0.0,8
My feelings for the one I noe love,0.6369,8
My hearts no say uouuu,-0.296,5
No body comments back so i commented on my own commemt👌,-0.296,12
"Oh Demi, that boy, he is no good for you honey.",0.1779,14
Oh tell me you love me,0.6369,6
Omg I love this song 😍❤️,0.6369,8
Only came here for Jesse Williamssssss 😍😍 goddaaammmmm,0.0,9
Pepee’nin şarkısının ingiliççe halini yapan koca yürekli demi,0.0,10
QUEEN,0.0,1
Quem são esses loucos que deram 48 mil deslikes nesse clipe da Demi? 😱😱😱,0.0,17
SO MUCH CUSSING 🤬 😳😬🧐🤨,0.0,8
Sad,-0.4767,1
Sama semoga jha bisa naklukin lagu ini,0.0,7
Semoga penampilan nya se spectacular harapan kita ya buat JOAN. 💃,0.0,12
She sounds the same at the concert she has a beautiful voice,0.5994,12
She’s got my vote for twatwaffle of the year,0.0,11
Skip to 2:33 . You're welcome,0.4588,6
Song about a girl wanting her pussy filled with cum. Love it!!,0.6988,15
Song starts at  2:40,0.0,4
TAKE MY WIG,0.0,3
THOSE FUCKING EYES,0.0,3
"Take a look at my cover of this song!
https://www.youtube.com/watch?v=bjrtzVL0r0k",0.0,11
Tell me you hate me,-0.5719,5
The cinematography is beautiful,0.5994,4
This hurts me and I wasn't even there and I'm late to this song lol omg,-0.0772,16
This made me cry yo 🤕💔.,-0.4767,8
"This remind me of Capitu&Bentinho, characters of a Brazilian Book called ""Dom Casmurro"" of Machado de Assis",0.0,22
This shit sucks. The song is a depressing POS and the video is too long. BORING. Camila Cabello puts Demi to shame. Does this chick make any dance music or just suicide anthems?,-0.9603,38
This should be a movie,0.0,5
This song hits home rn😟😢,0.0,7
"This video is about Demi saying before she could be ready for a relationship, she needs to love herself. Love isn't something that completes you (or at least it shouldn't be). That's too much to ask of another person. There's no one in this world who you 'need' but yourself and your own love. Love doesn't fill a missing piece, it adds pieces to help you grow. And if you find that you are depending too much on someone or you feel incompetent when you don't have them by your side, you need to give yourself some space.",0.9622,111
"Todos os dias assisto esse clipe mais de 50 vezes, essa música é totalmente maravilhosa 😍😍😍",0.0,19
U BETTER RESPECT APRIL KEPNER U AVERY !!!!,0.8636,10
U aint nobody till u got somebody,0.0,7
U ain’t nobody until you got somebody . Wtf ?,-0.5859,12
Un gran video! Genia Demi!!! 😍,0.0,10
Very bad voice .,-0.5849,4
"Very powerful say to the mirror, ""Everything I need is standing in front of me."" Try it",0.4754,21
Vim pelo jackson 😍😍,0.0,5
"Wait, what? I have watched this music video like 20 times and I still do not get the last part.. Did he leave her or did she leave him?",0.3527,33
"Wanna save a bit of time ??

Start from 2:33

😅😉",0.5514,13
