,sentiment,wordCount
Again our sham of a justice system protects the real sexual predators who are police officers.,0.6908,17
Bitches are hoes anyways.,-0.5994,5
"Cut the penis from all white men.

Everybody happy.",0.3818,11
Gee,0.0,1
I can only get 0 girls in a year he gets fucking  more than me,0.0,15
LUCKY BASTARD PENETRATED 160 OF THE TIGHTEST CUNTS IN THE WORLD,-0.7456,11
Look up Aly Raisman’s nude photos and tell me you wouldn’t sniff her pussy and asshole if you were her physician.,0.0,26
So they basically had sex? About 10-13 times and she's claiming he forcefully did it!??🤔 4:36,0.0,21
Sub me i do vines sub if u love abc news sun my channel,0.6369,14
This not fare,0.0,3
kindergarten??? goddamn it..you ugly motherfucker!!!!!!!!!!!!!! even 175yrs are not enough for what you ve done monster!!!!!!!!! ...perhaps people...parents will learn the fuckin lesson already!!!!! NEVER LET YOUR KID ALONE....NOT WHEN HE'S 2....8...12 ..20 ..not until they ready to fight against monsters!!!! people are evil folks....learn that already to avoid this shit from happenin again.,-0.9641,85
"lonzo maggard 
She stated she engaged in sexuality activity when she was in kindergarten due to him.",0.4019,18
yes he had probably sex with the judge dont you see,0.4019,11
