,sentiment,wordCount
"$ Maintenance $ ? 
What maintenance?",0.0,7
$60B market cap and not a cent in profit. What a fraud.,-0.7356,15
(HearCo,0.0,2
*Badass entering!*,0.0,5
...HEAD LIGHTS NOT ACCEPTABLE FOR ROAD USE. government going dow,0.4648,12
1:12 Tony Stark it's you?,0.0,6
"500 miles range?   NOT ENOUGH dude.  Team drivers DO NOT STOP and consider the ones leaving from Québec Canada (atlantic side) going accross the states to California, that's about 1800 miles  NONE STOP.  So how can they meet their schedule in 3 days and a half??  A single driver can make it in 5 days (back and forth) but has to stop after 14 hours of driving. So your electric truck has to last 13 hours NON STOP mister. So it's not about mile range here, it's about hours driven that the electric truck can last.  Until your semi electric can deliver that , than we'll talk!",-0.8876,122
500 miles range? Very poor effort. I don't think that any company or sole operator would buy it without at least 1000 miles range. Especially not in Australia taking in consideration that long haul truckers go 600-700 miles one way. very disappointing range,-0.7837,47
"999,999 view!",0.0,3
"A diesel truck can ONLY do 45 mph up hill? What the hell, does he think all semis have a governed four and a quarter CAT in them? Well, put up or shut up! Let’s see a test run, Go on and get this thing grossing out at 80,000 pounds and pull some 65 mph hills. All this Tesla hype is getting boring",-0.7752,72
A pickup that carries a pickup lol smh if that aint some redneck shit idk what is,0.4632,17
A pickup truck that can carry a pickup truck? A super duty can pull 3 more of itself and a tundra can pull 2 more of itself,0.5994,28
AND NEW 2070 TRUCKER TRUCKEY TRUCKEFF FUTURE,0.0,7
"Aaaaand my question is answered...lol Wondering when this would happen, electric Semi's, Gr8 idea!",0.6114,19
Almost every normal truck can go 1500 miles on a tank,0.0,11
"Along all the top, left and right side sidecar you have more space to put solar panels ;)",0.4019,19
"And guess what, there is a huge surprise for the buyers of these semi-trucks. There are equipted with built-in ""Tesla Fidget Spinners"", so the driver can play while the autonimous truck drives itself on the way...",0.7003,42
And it weighs what exactly?,0.0,6
Any Queens of the Stone Age fans here?,0.0,9
At 2:43 looks a fart?www,0.0,7
AungHsi,0.0,1
Autobots let's roll,0.0,3
Awaiting Tesla mobile devices,0.0,4
Awesome visionary,0.8176,2
Bad Ass Mother Fucker,-0.9062,4
"Black version had them, check the video.",0.0,9
"Bottom of the truck is completely flat which is great for aerodynamics, but what happens on wet roads?  What happens when this thing hits a good sized puddle at full speed?",0.7757,34
