,sentiment,wordCount
"""I hope they end up together"" yikes for people who have actually seen it",0.4404,16
"""I think they're going to get together"" - LOL!!",0.627,13
"""I think they're gonna end up together"" *spit take*",0.0,13
"""It's a female director! LET'S START SUPPORTING WOMEN...WHEN IT'S CONVENIENT FOR ME!""

Pure Philosophy",0.639,20
"""Let's start supporting women!"" 
* looks at Ally *
""When it's convenient for me!""
Best CH scene since Troopers",0.8264,25
"""Well I think 'Get Out' because I'm not racist"" hahaha",0.3391,14
"""Well he sounds straight"" 😂😂😂",0.4588,9
"""Well, he sounds straight"" XD",0.7531,8
"""Well, he sounds straight."" I'm crying",-0.4767,10
"""he sounds straight"" lol, yeah he does",0.7096,10
'Get out' is the best out of the list lets be honest,0.8176,14
"1 Corinthians 6:9-11
9. Or do you not know that the UNrighteous will ""NOT"" inherit the kingdom of God ?

      Do not be deceived:
neither the sexually immoral,
nor fornicators,
nor idolaters,
nor adulterers, 
nor homosexuals,
nor thieves,
nor sodomites,
nor covetious,
nor drunkards,
nor revilers, 
nor extortioners will inherit the kingdom of God.

11.  And such were some of you. But you were washed, but you were sanctified,  but you were justified in the name of our Lord Jesus and by the Spirit of God.

        All must REPENT from Sin to enter thy kingdom.
        Jesus Christ is the ""Only"" way to the Father in Heaven.",0.8662,131
666k views.............ok,0.0,4
90% of the internet,0.0,5
A masterpiece,0.6249,2
All your friends on oscar's week,0.4767,6
Ally and grant are the duo you didn’t know your life needed.,0.3612,15
"Ally is by far my favorite writer. Like, I haven’t seen any of her sketches but I just know she’s really good.",0.7929,29
"Ally marry me please ❤️ ~from not a boy, or at least my friend said so",0.6705,19
"Ally- ""I'm not homophobic""
Yeah, life would be just a *little* hard for you if you were",-0.3156,23
And that in a nutshell is why this year's Oscars had such bad ratings no body actually saw any of these movies and then we talk about them like we did and then don't watch the Oscars and then pretend like we did watch them at work the next day. Honestly I have watched get out and star wars that's it.,-0.4019,63
Angery Doggo but good on you for taking a comment on a comedy video oh so serious,0.7174,17
Angery Doggo you didn’t get my reference to a joke made in this video 😭 nvm dude I thought it was funny,0.6249,24
"Another great CollegeHumor sketch. Well written, well acted, the works. Also...the way they kept turning to the camera cracked me up 😅",0.8074,28
Anyone think grant looks like Keith from the try guys?,0.6124,11
Are they making fun of 12 years a slave because the two board members who hadn’t seen it voted for it at the Oscars. They didn’t want to be called racist.,-0.1027,37
At first I thought you were setting up a good joke... But then I realized that wasn't true.,0.1451,20
At least they got The Florida Project right,0.0,8
But dude. The new Starwars was so good.,0.5777,10
CALL ME BY UR NAME YUUUSSSS,0.0,6
CNN?,0.0,2
"Can there be a ""It's 2018, Heterosexuality is Gay"" type video omL 😂",0.0,16
Can this be a series?,0.0,6
Collegehumor is the better buzzfeed,0.4404,5
Congrats on Trending!,0.5707,4
DAAMM Grants looking like a 5 course meal in this video 😍 Those eyes doe !!,0.6103,17
Easily my favorite sketch,0.6597,4
