,sentiment,wordCount
"""Sometimes gravity is like, 'no not today'"" lol",-0.2575,13
#FreeLarryNassar,0.0,1
'Survivors'? Was death ever a possibility?,-0.644,10
". . . . CRICKETS.. all I hear is MONEY, FAME, POWER hungry whor*s. . . . . .",0.5622,17
... Americans.,0.0,3
...maybe 50 Shades of Gray is not an appropriate ad before this kind of video...>:/,0.0,18
2020 SHES GOING TO RULE,0.0,5
267 haters... some people are so dispicable and disgusting. How do they sleep at night,-0.5667,17
"3 February 2018:  Simone is 100 percent adorable with her little face and she is well spoken. I am happy and proud of all of her accomplishment and that she is African American is icing on the cake. American needs more positive African American young and adult role models.  I wish that she was my daughter.  There is another very talented and adorable little Black Jewish girl, a 17 singer named Eden Elena who just won the X Factor singing competition.  Two thumbs up high for Simone & Eden",0.9821,96
45ginola are u rlly telling girls who were abused as kids to get over it ....,-0.5106,16
7,0.0,1
A beautiful well spoken “black” woman representing in such a positive way. I almost lost hope with the trash out here today.,0.8811,26
A hero <3 hope women all over the world get strength from her and all the other girls who came forward. <3,0.9382,23
"A true American hero. Watching her compete was like watching a completely different sport, as she so exceeded the competition.",0.836,23
Another reason why Simone is my idol.,0.0,8
"As a father of 2+ years old GYMNASTIC girl, she born to be fitness champion,    I have so much anger and so sad about what happend ,  what can we do protect our little one from predators like Larry ? My little one home trainings:    https://youtu.be/R-iJwkyA8tE",0.4076,50
Aww she seems so cute and bubbly!,0.632,8
Beautiful strong woman,0.802,3
"Black Girl Excellence
Black Girl perfection 
Black Girl Magic",0.8316,9
"Blah blah blah, surely. You should have go and testify. The trial is over, now seeking publicity withou need for any proof? Take your regular dose of steroids, yes, it is because of asthma hahaha. Look at the figures of Russian or Chinese gymnasts, I mean females! Go and mate tennis Williams brothers, yeah girls' power, anabolics make it happen.",0.8588,74
Buff,0.0,1
But why it take so long to say something🤔,0.0,10
Caterpie omfg,0.0,2
"DARNIT! I WENT TO APPLY ON THE COLLEGES WEBSITE, HOWEVER, I DO NOT HAVE $60 TO PAY AN APPLICATION FEE!!!",-0.5108,27
"Dear Simon, you never lost anything. How can someone incredible and superb as you lose something to a creep like Larry. Just think there was a termite in the US Olympics for a long time, which was left unattended. All power to you and others.",0.8157,51
Despite Larry popped her cherry she has moved forward.,0.0,10
Did he take your virginity?,0.0,6
"Dont make her talk about this again. I have seen her in many interviews, and never seen her like this before. I didnt know this happened to her this is sad. She had a bad start to life and then this happens too... wow",-0.6007,49
Dumb hoe is on steroids.,-0.5106,6
"Every body.She perseverance she tries so hard im watching the moive 
she brokw alot of bones to",-0.2183,17
Fool asf,-0.4404,2
Glenda Baugh-Johnson u look like you got some niceass feet,0.3612,10
God bless this young woman. May He strengthen her.,0.7351,11
God she is ugly,-0.296,4
"Good Lord, Megan Kelly is wearing the ugliest dress I have ever seen in my life, it’s hard to look at it....     Simone is my lil hero!!!",0.4898,35
"Good interview. I will check that university and volunteer. Great idea. KIVA Fall,PhD.",0.7906,19
Good luck im biggest fan!!,0.8309,7
"Gorgeous little Lady, you go Simone",0.6124,7
Great role model for all women God bless her,0.8402,9
HANDS UP! DON'T TOUCH! AHAHAHAHAHAHAHA,0.0,7
Happy bday Simone!,0.6114,4
He took her virginity because that’s something you can’t get back,0.0,15
Heart emoji.....,0.0,3
Her muscles do not fit her small body,-0.2755,8
Her smile is the most beautiful one i have ever seen,0.7713,11
Her smile is the most beautiful thing!,0.7897,8
Hey Simone I'm a big fan I'm so proud of you and I'm so sorry the bad things you went through me and my sister got child abuse when we was young we understand what you been through keep your head up and keep doing what you are doing God bless you,-0.0289,52
How did this airhead nut get her own today show,0.0,10
"How strong and sure, even in her vulnerability. What an amazing young woman. The BEST representation for the cause, for all of us, and for the United States Of America!!! She is unstoppable!!!",0.9485,44
I HATE MEGYN KELLY!!! There is something so repugnant about her.,-0.7437,15
I LOVE HER!!!!,0.7482,6
I LOVE YOU SIMONE!!!!,0.7482,7
I WOULD SMASH A PART OF HER TO!!,0.0,10
I am a speed skater and my dream is to go to the olympics one day. One of my friends and teammates is going to the olympics this year! He is only a junior so it`s really amazing. Simone is so inspiring and I love her so much! <3<3,0.9591,56
I am very proud of all of these athletes.  They sacrifice and contain so much for dream that holds no guarantee of ever coming to fruition.  #myheroes,0.6659,29
I am writing a biography about you Simone. Your are a Strong Beautiful women and you are a hero.,0.8957,21
I am your biggest fan Simone biles and good luck with your training.,0.802,14
