,sentiment,wordCount
"'She's a little problem.'

Same.",0.0,9
(@^^@),0.0,6
*cute!!!*,0.0,6
"1 like this comment : 9 Views 
3 like this comment : 30 views 
10 likes this comment : 107 Views",0.7783,21
"1. She looks so cute!
2. Wow, I've never seen Ro without makeup before",0.849,18
11:33 thoughhhhh,0.0,2
14:11 Swan murder scene in backgraound,-0.6908,6
14:13 Top Left,0.2023,3
14:43 where is the swan?!?!?,0.0,10
9:24 was that a glitch!??!?,0.0,10
Aahh u look so weird without of makeup,-0.3052,8
All I Have To Say Is LOL this was a very funny vid,0.7735,13
All I drink is water too. I don't even drink soda.,0.0,13
Aly Schilling,0.0,2
At 14:13 the swan was excited too,0.34,7
Awwwwwwwwwww that’s so CUTE!!!,0.769,9
Bonjour de France ❤️,0.0,5
Can you do a treat on Ro's channel but related to makeup?! Plzzzzz!!!,0.4621,18
Cool,0.3182,1
DONT LIKE IT,0.3612,3
Damn ugly without make up eww 😷,-0.7184,7
Delilah Cartier but......I am not getting rude its just my opinion . I THINK YOU UNDERSTOOD,0.357,18
Did you know that my aunt was born with rainbow hair,0.0,11
Does anyone know what palette she used for Ro's contour? Im a pale young lady that needs assistance 💕,0.0,20
First time seeing Ro without make up she looks sooo different but still just as pretty 💕,0.6486,17
Girl you soo good at makeup ❤️🦄🍕,0.4404,10
Give this comment a like if Kandee and Ro should do more collabs.,0.3612,14
HI KANDEE CANE,0.0,3
Her face is so different without makeup.like if you agree.,0.3612,11
Hey  Ro,0.0,2
How  did you get  so good at make up,0.5777,9
How does she still look good without makeup like 😩😩❤️❤️,0.1999,15
How does she still look so cute without makeup 🙈♥️,0.5949,12
I Know Him,0.0,3
I enjoyed this video so much! Both of you seem very sweet and fun. The final look is very accurate and cute :),0.9494,25
I just watched wreck it Ralph,-0.4404,6
I learned how to curl my eye lashes when I was 6 or 7 years old,0.0,16
I like how she didnt flinch when you went all in on the water line,0.3612,15
I love Rosanna,0.6369,3
I love Rosannas shirt in this video! KANDEE  did an amazing job!,0.8619,14
I love how she turns out in the end!,0.6696,10
I love it,0.6369,3
I love the swan in the background,0.6369,7
I love youuuuuuuuuu💗💗💗💗💗💗💗💗💗💗💗💖💖💖💖💖💖😍💖💖💖💖💖💖💖,0.6369,13
I only looked at the thumbnail and I was like “ that looks like Ro from nerdy nummies” and then I looked at the title and I was like I’m a genius to be able to know when it’s Ro,0.743,45
I ship it...,0.0,4
I subscribed,0.0,2
I think Kandee sounds just like vanellope from wreck-it-wralph,0.3612,9
I'm sorry but ro looks weird without makeup,-0.296,8
IT ISN'T RO WITHOUT THOSE FAKE LASHES!!!!,-0.6449,10
"It seems weird to me. When Ro took her makeup off, I didn’t really notice that much. She is BEAUTIFUL!",0.6399,26
Kandee is an makeup expert like if u agree,0.6124,9
Kandee is so pretty!!,0.6908,6
Kandee sounds and talks just like Vanellope too,0.3612,8
Kandee sounds like Louise off of Bob’s Burgers!,0.4199,11
Kandee sounds like b vanelepe a little,0.3612,7
Kandee this is my first time watching you and to me you sound a lot like venelope xD,0.743,18
Kandee u r so funny,0.4927,5
Kandee u sound like the lil girl ok wreck it ralph,0.2023,11
Kandee you sound like vanelipe (not a bad thing),-0.25,11
Kandee your so sweet,0.5949,4
"Kandee: YOUR SO CUTE!!!

Ro: <murmurs> Im so embarresed",0.7674,14
Kandees voice sounds exactly like Vanellope Von Schweetz voice,0.3612,9
"Literally the two sweetest people on YouTube together, yay!",0.5707,11
Look at the duck in the pool,0.0,7
Looks great❤😘,0.0,4
Love it,0.6369,2
"Loved this!! Didn't know someone could be as sweet as Ro but Kandee's name fits her perfectly, she seems like such a sweet person with an amazing heart😊😊❤",0.9758,34
Me tooooo!,0.0,3
Mundo da imaginação,0.0,3
My and my sister enjoyed it sooo much,0.5106,8
My antie is called ebony,0.0,5
My eyebrowes are exactly the same,0.0,6
My favourite name is Rose how about you!!!!!!!!,0.0,11
My mom said she went to high schooolll with you landed Johnson,0.0,12
My sis has that makeup sponge,0.0,6
"NakedFace
lol!",0.4753,3
Never seen her without makeup! She's still so cute.,0.632,11
Nice,0.4215,1
Not trying to offend anyone but doesn't Ro look like Emma Watson without her make-up?,-0.5048,16
Now remember you are in the not my hands makeup challenge you had to take off your make-up,0.0772,18
OH MY GOD XD,0.7096,4
OMG,0.0,1
OMG how do u guys put on makeup with no spots????,-0.4871,14
OMG i just realized it just today you ro really look like Venellope,0.4173,13
OMG roll looks just like her sister without makeup on OMG but she looks so cute though.,0.7935,18
OMG u actually look like vanilla bean from Wreck-It Ralph you should actually be in the movie Just Saying😂😂😂😂,0.3612,22
OML!!!😮 Ro looks disgusting wid out Make Up !!¡,-0.6776,15
Oh my rosanna without makeup looks ummm not that good  =-O . Who all agree,0.0243,17
Omg Rosanna looks so beautiful!,0.7417,6
Omg i love that movie i watch it like 100000000000.... times,0.7717,13
Omg she is really cute,0.5095,5
Omg she looks so much like her sister without makeup 😍😍,0.4173,12
Omg she looks soo cute without makeup as well!!,0.4157,11
Omg she’s so beautiful with out makeup,0.7177,9
Omg so good 😉,0.4927,4
Omg that intro go girl !!!,0.0,8
Omg! She looks soo pretty without any makeup!!! If you just add very little mascara and a wing of liquid eyeliner 👌,0.6562,26
"Omg, i just realized, even without this makeup, vanellope looks a lot like ro",0.3612,17
Once my friend curled my eyelashes and she tried to flipping curl my eyelid 😭😂 IT HURT SO BAD 😭,-0.8016,21
One looks like her and the other sounds like her 😂😂😂,0.6124,13
"Please do  a ""Marissa Cooper"" makeup tutorial (Misha Barton).",0.3182,14
Rachana Bajpai I don't. She has beautiful skin. Why you gotta be rude?,-0.7308,16
Ro could totally pull off an Audrey Hepburn look! 💜💜💜,0.0,13
Ro is the cutest!!❤️😍,0.0,9
Ro looks so diffrent without the glow eyelushes thingy,0.0,9
Ro looks so weird without makeup I thought she never wore makeup,-0.3052,12
Ro says : Loa Moosey,0.0,5
Ro you look just like Hermione from Harry Potter without makeup! :o,0.4745,14
Ro you look pretty with out makeup,0.4939,7
Ro you look so cute and you kandee,0.5949,8
"Ro:i drink a lot of water
Me: i bearly drink any i have like coca cola aand stuff

And oviously ro is gonna keep healthy and us teens are in a party the whole night drinking and eaing pizzas

HEY BUT PIZZAS ARE GOOD",0.8555,47
Romansa kinda reminse me of Emma Watson,0.0,7
Ros will make the perfect demi lovato makeup,0.5719,8
Rosanna Pasino we have the same birthday!!,0.0,9
Rosanna looks like my mom and that's a great think my mom is beautiful moms name is Zoubaida! :),0.9299,20
Rosanna looks soon different without any makeup,0.0,7
Rosanna sounds like vanilla p💗☺,0.3612,7
Rosanna you are so pretty!!!!!!!!,0.0,8
Rosanna you look so beautiful without makeup,0.7177,7
Rosina looks perfect so dont be afraid to take off makeup,0.5719,11
"Rossana looks so cute
And kandee looks like taylor swift.",0.8001,11
