,sentiment,wordCount
#t-shirtreference,0.0,1
*BAWSE*,0.0,3
*wнen ιѕ ѕнe never ιnѕpιraтιonal*,0.0,7
"119K likes
2.1K dislikes
that great ratio says something!!",0.6988,12
"3 things that make me happy
- dank memes
- wifi
- baths",0.5719,13
300th reply,0.0,2
5:13 my fortnite dance,0.0,4
"5:22- when Lilly said, 'definitely Singapore'....I was like, Boo I live there",0.6369,18
73 QUESTION WITH CARDI B!!!!!!,0.0,8
73 QUESTIONS WITH BEYONCE,0.0,4
73 QUESTIONS WITH IRENE KIM PLEASEEEE,0.0,6
73 QUESTIONS WITH PEWDIEPIE,0.0,4
"73 Question with Lele Pons ❤
PS. Love Lilly so much 💖",0.6369,13
"73 Questions With  Dylan O’Brien ,  please",0.3182,9
73 Questions with Emma Watson!!!,0.0,8
73 Questions with Justin Timberlake please,0.3182,6
73 Questions with Loagn paul!!,0.0,7
73 Q’s with SHAQ! 😂😂,0.0,9
73 question with zayn malikkkkk please please please please,0.802,9
73 questions with Camila Cabello,0.0,5
73 questions with Melanie Martinez plz,0.0772,6
73 questions with Namjoon?,0.0,5
73 questions with Timothee Chalamet !!,0.0,7
73 questions with Tom Holland or Justin Timberlake,0.0,8
"73 questions with Zendaya, please?",0.3182,7
9:33 Tay Tay copied Lilly or otherwise ?? 🙀🙀🙀🙀,0.0,12
AYE SINGAPORE,0.0,2
"Also, you are so inspiring! The most inspiring person ever!",0.8324,13
Always confuses me when feminists say feminist means not sexist but then why does feminist only have feminine in it and nothing to do with men or man.,-0.1655,29
Amazing God is good,0.8316,4
Aww I want some skittles,0.0772,5
Boring..,0.0,2
"By far, only her and Priyanka have given such natural answers..",0.3612,13
Can you do 73 question with cristiano ronaldo?,0.0,9
Can you do Tom Holland aka Spider-Man,0.0,7
Can you do one with @coreyfogelmanis,0.0,6
Check out the row of nutella 2:03,0.0,7
Come over any time! For real though! I need human interaction. Haha! Thank you Vogue! x,0.7696,21
DO ONE WITH ZAYN MALIK PLZZZZ,0.0,6
DO SHANE DAWSON NEXT PLEASEEEEE,0.0,5
DO WHY DONT WE,0.0,4
Do 73 Questione with camilla cabello,0.0,6
Do 73 question with cardi B,0.0,6
Do 73 questions with Angelina Jolie,0.0,6
Do 73 questions with Ariana grande,0.0,6
Do 73 questions with BTS,0.0,5
"Do 73 questions with Harry Styles
Or Zayn Malik",0.0,9
Do 73 questions with Logan paul,0.0,6
Do 73 questions with camera man,0.0,6
Do Alex wassabi,0.0,3
Do one WITH DYLAN OBRIEN,0.0,5
Do one with Zendaya! (Btw happy4 Lilly),0.0,11
Do this with Timothée Chalamete Please!?!?,0.5013,10
Eu inspire me 2 werk HAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAARD!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.7067,9
FINALLLYYY,0.0,1
"FINALLY!!!!!,",0.0,5
Farzeen Mirzan is uh supposed to be you?... 🤔,0.0,11
G EASY IS NEXT,0.4404,4
Glad she left out the annoying “uugh” and “oogh”...that seem to come with every Vogue interview,0.0772,22
God is still good,0.6124,4
HARRY STYLES!,0.0,3
How can someone hate this amazing woman ❤️,0.2023,9
How come i never saw this?,0.0,7
How didn’t I notice this until now? This is amazing!,0.6239,14
I CAN NOT EXPLAIN HOW MUCH I LOVE SUPER WOMAN ! SUPER INSPIRING XOXO,0.9642,14
I LOOOOVR HER!!!!!,0.0,6
I LOVE WILL SMITH AND CARDI B!!!!!,0.7482,10
I always find these videos to be a bit awkward because the interviewee and the interviewer are trying so hard,-0.3541,20
"I am waiting for 73 questions with dua lipa



Anyone else??",0.0,13
I asked Timothée Chalamet to prom with my version of 73 Questions...it would mean the world to me if you could go check it out on my channel!! :),0.555,33
I can do the thing with the lip too!!! OMG!! Love her so much! She always inspire us to become more positive !!!!,0.932,31
I didn't know it was Vogue when she tweeted a guy was following her around. That was so random I thought,0.0,22
I hate you Lilly dummy and people should delete your youtube channel.,-0.5719,13
I have been truly inspired by how honest and open you are with everyone.,0.8555,15
I just saw you on f the prom you were one of the teachers,0.0,14
I like her attitude but it's clearly scripted...,0.6486,9
"I like how she didn't kick him out,most of the other celebrities tell him to leave near the end",0.3182,21
"I love Lilly so much. We have these things called dress downs at my school and that's when you get to wear your clothes for one day instead of uniform and I wore my sweatshirt that read feminist in bold white letters and this one boy in my class had the pride to say ""So you hate men??"" and he was actually serious and I felt my blood boil, then Lilly came into my mind to be confident and speak truth with kindness. I replied that being a feminist means you believe in the equality of the sexes and he said with ""oh""😂❤❤I LOVE YOU LILLY. THANK YOU FOR INSPIRING ME",0.9763,125
I love her,0.6369,3
"I love her so much, she's such a great role model for kids everywhere ❤❤",0.8519,17
"I love u lilly
Cuteee dog!!!!",0.7482,9
I love you Superwoman,0.6369,4
I love your houuuuuuuuuse,0.6369,4
I luv it but her outfit wear could i get it😍😍❤😚,0.0,15
I really feel so proud being a girl seein uh..❤️ uh really inspire me to b strong n facing difficulties in life. I really wanna meet uh one day so badly. I really wish i do 🤞🏻 i love uh so much 😘,0.931,49
I thought I invented the lip needle trick... 🤔 is it supposed to be hard?,-0.1027,17
I used to not like her before for some odd reasons but I'll have to rethink now. This was one of the most interesting 73Q's yet.,0.4185,30
I want dat house!,0.1511,5
I wish I was her,0.4019,5
"I'm So proud of u girl!
🙂🙂🎉🎉🎉",0.5697,12
I'm simple person i see superwoman i click 😊,0.0,9
IISuperwomanII  i❣️her,0.0,5
"IISuperwomanII LOVE YO HAIRSTYLE.

   AND DEM HOOP EARRINGS.

#SWAGG",0.7125,11
IISuperwomanII Soooo good! The best one yet!!,0.8392,10
IISuperwomanII THANKS FOR INSPIRING ME TO SMILE EVERYDAY 💗💋🔥,0.886,11
IISuperwomanII come such a long way and soooo real !!!!!!,0.0,12
IISuperwomanII do you know Logan paul,0.0,6
IISuperwomanII love you Lily,0.6369,4
IISuperwomanII you acting like Dwayne Johnson,0.3612,6
If this isn't the most inspiring 73 questions video. I don't know what else is. Idol for life. ❤🙌,-0.3713,23
If you have 9 minutes 58 seconds to live... watches this immediately,0.0,13
Indians took our jobs now youtube...we gotta step up our game,0.0,13
Is it just me or did we see Taylor Swift doing Lilly's secret talent in her music video for the song Delicate?! 9:33,0.5983,25
Is this interview a pisstake ? This isn't lil being normal is it ? Confused lol ...,0.2168,17
KILLED IT❤,-0.6705,3
LILLY SO FINE 🤤😩😍,0.5513,6
LOL MY LAST NAME IS SINGH!!!!!!!,0.6083,9
Lauren says the end of the fn world is sooo good i guess i have to watch since my two top fave youtuber r watching it XD love u superwoman,0.9463,30
Lilly make 73 questions with my parents .....,0.0,8
Lilly tussi bhout proud feel karaya hum sabne,0.4767,8
Lilly you are my role model 😆,0.0,7
"Lilly you are truly inspirational - keep doing you , dont LA change you!",0.7574,15
Lilly you made it girl💕💕😍,0.0,8
Lillyy is the coolest person ever,0.0,6
Lillyyyyyy,0.0,1
Lilly’s house kinda looks like Liza’s.,0.3008,11
Lily is the best EVER!!,0.6988,7
Lily when you said Singapore🇸🇬I was so happy and heartfelt,0.8592,13
Lol,0.4215,1
Love you,0.6369,2
Love you Lilly Singh!,0.6696,5
