,sentiment,wordCount
"""Pumped up kids "" song intesified",0.0,7
#18 on trending but has only 7k views,0.0,8
**earrape version**,0.0,6
"2 terrorist attacks a month, and you want to ban all immigration. A shooting every other day and you won’t even agree on gun control. The hypocrisy of Americans is eventually going to be deadly for the rest of the world.",-0.8957,47
2018 is kicking off great,0.6249,5
3 People shot in different locations of the school.How many times do you have to drop abag to kill your enemys ?,-0.7783,22
69 degrease 😩😩😩,0.0,5
96 are you retarded or stupid?,-0.7964,7
>when you redpill too hard,-0.1027,6
A big majority of school shootings are caucasians boys. So this is a shocker. I hope it wasnt bullying related,0.6348,22
"A female school shooter? Wow us females have come so far 😀 




But seriously, that's fucked up lmao. I'm still going to make memes out of this tho.",0.3262,32
ALL THE OTHER KIDS WITH THE PUMPED UP KICKS YOU BETTER RUN BETTER RUN OUT RUN MY GUN,0.5267,18
"Abhinav Ramesh 
How do these people get these guns? Illegally? Why punish legal owners?",-0.533,17
"Abhinav Ramesh 
I don't know anyone advocating forced ownership of weapons. I don't know where you are from but the U.S. has a History of not having a Large Standing Federal Army. The Militias have been the source of our soldiers up until the National Guard replaced it. We have our rights to be as well armed as the Army or Police. That's what our 2nd Amendment of our Constitution is there for. It's not for hunting or Target shooting although those are encompassed within it. These people getting weapons are the problem only when they become radicalized or seek to kill fellow human beings. How can one know that moment until it happens? Here a child got hold of an unsecured weapon. There is the problem. This kid might have been bullied to the point of acting out but how did the weapon get into their hands? Funny you bring up Las Vegas. We don't even know what happened or who all was involved. No direct answer has been put forth that would explain things and the evidence is unreleased. Until we know the truth and everything is made public that incident is not one to refer to about ""Gun Laws"". Gun laws are for criminals. 
 I live in an open carry state. We rarely have big problems with citizens going off who are not criminals. Armed society is a polite society also. The problems with guns and authority has been with the Police. They are the ones most likely to abuse their position being armed with a badge and a C/J system that favors them. 
 Arming everyone is a stupid idea unless it is as a reserve force who have been trained in the use of the weapon and drilled on interaction with other reservists. Even then it would be adults or late teens.
 Criminals break the law and ""gun laws"" are for criminals. Not the guns.",-0.9969,353
"Abhinav Ramesh And guns could prevent more shootings if the security guards are armed. and have an extremely deep background check as well as checking for any mental illness,taking away guns will only make the problem worse.If a possible school shooter knows that the security guards have guns then they are statistically less likely to do it because some like the thrill it gives them so if you have other people with guns you ruin their fantasy of shooting up the place,so no,banning guns is not the smartest thing at all and it violates our 2nd amendment and im guessing by your comment ""Guns should be banned "" im guessing you are a Democrat?",-0.7202,123
