,sentiment,wordCount
"""So the 14 million Jews worldwide are the terrorists while some billion + Muslims are peaceful good guys. ""
Your words not mine asshole.",0.25,27
*I don't give a rats ass about that*,0.431,10
"+John Excell. So the 14 million Jews worldwide are the terrorists while some billion + Muslims are peaceful good guys. I guess you would prefer to have all the Muslims in your country instead of the Jews? Of course you would, since Islam is the religion of peace unlike those ""evil Jews"" who are ""the real terrorists in the middle east"". Those ""evil zionists"" like Jacob ""satan in the flesh"" Rothschild, who dared to use his influence to help his own people. Only a blood sucking lizard who eats babies with the queen of England in some dank basement, while shapeshifting in to some lizard form could do something so evil and vile. Or could the reason for your hatred be, that you've heard that there are many Jews in places of influence and this to you should be impossible, because people like you could never make it. Of course their intelligence, hard work and good connections could have nothing to do with their success, so it all must be a conspiracy to destroy people like you, who should be in those positions of power. Now I'm sure you can enlighten us all of the other ""rational"" reasons for your antisemitism, like the swimming pools in Auschwitz for the Jews to relax etc. but I think I've heard enough of the likes of you. To hell with your antisemitic idiotic stupidity. 

Pro 12:15  The way of a fool is right in his own eyes: but he that hearkeneth unto counsel is wise.",-0.9329,285
"Always remember the kike victims of the USS Liberty, and 911.
The kikes like dancing to the subversion of the goyim.
https://www.youtube.com/watch?v=UMkX5uemLyk",0.5574,25
Awesome,0.6249,1
Blessings to Israel...Rapture Alert part 2 https://youtu.be/6dkXg6krj5k,0.6908,9
"Bognerknot Uberknob 

Death to Da'ash! (ISIS = Islamic state). Death to Hamas! Death to Hezbollah! Death to the Palestinian Islamic Jihad!
 NO MORE TERROR! 🛇☠
You're a bunch of scum. Soon you will rot with yours 72 wh*res..  sorry, meant virgins.. 😆💣💥

FREE ISRAEL FROM ISLAMIC TERRORISEM!! ✡🕆🇮🇱
 🎓https://en.m.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks",-0.9724,72
"By the way dick head, kikes aren't Jewish.",-0.5106,10
Death to kikeland the synagogue of satan.,-0.5994,8
"Don't waste your time. I couldn't care less about your conspiracy theories. I'm not even American (although I like Trump).
""Israel was not created in order to disappear—Israel will endure and flourish. It is the child of hope and home of the brave. It can neither be broken by adversity nor demoralized by success. It carries the shield of democracy and it honors the sword of freedom."" *(John F. Kennedy)*",0.7066,88
"Executive Order 11110 - ending the kike central bank 1963
""The very word secrecy is repugnant in a free and open society...""
https://www.youtube.com/watch?v=2aFkGaKdEOg",0.5106,26
"Federal Reserve Note = Kike bill of credit, subverts the US constitution on Dec 23, 1913.",0.3818,19
Fuck israehell fuck America 💣💣,-0.7906,6
Gee don't you think the kike central bank should be ended first ?,0.0,13
Gee where's Nick the kike propagandist ?,0.0,7
"Ginno Ricci = Fucking fake Jew, fucking hebe.",-0.5256,10
"Hey Ginno kike then their was the 911 investigation, Oy vey never brought up the dancing kikes did they.
In fact they let the majority of ""Terrorists"" go...Nothing like starting a false flag war financed with bills of credit.  That's why USA is toast, banking system is going down...USA = Banana Republic since the kikes hijacked the central bank.",0.0516,70
"Hey buddy, death to the kike bankers ok hamster.  Enough of the false flag BULL SHIT.",-0.7925,19
"High price of US legal tender isn't a conspiracy theory, its a sad reality.",0.0454,16
"I don't think it's convenient for Israel to become a full NATO member and have their hands tied when they have to respond to infimuslim terror. Also there's no need to risk relations with Russia. But it's good to have some degree of cooperation against the muzrat plague around world. Nobody likes those 400,000,000 goatfuckers occupying and terrorizing 99.999(9)% of North Africa and Middle East (as well as the rest of the world).",-0.5994,85
"I fucking hate kike land, all cause of human misery.",-0.8268,12
I love you Israel,0.6369,4
I wish the best good luck!!!,0.9284,9
ISIS= israel,0.0,3
In a police state there is no rule of law.,-0.296,11
"Israel is a democracy, you moron. Over there you can make peaceful protests without fearing the ""secret police"" or being gunned down, like in Iran. That's why the people in Israel express their will in democratic elections every couple of years. They are not ruled by a ""Supreme Leader"" chosen by the pedophile prophet and a regime that can only be changed by force in a civil war.",-0.4983,78
"Jews are the problem of the world always are and always have been , search it!!! Never ever trust a Jew",0.3561,24
Jews r our brothers...,0.0,5
John Excell Death to Hypocritical Dictatorial Regime of Radical Islamic Groups promoting genocide and the main source of pain for their own people.,-0.8271,24
LiberateAmericafromIsrael America needs a nuke separatist like you.,0.3612,9
"LiberateAmericafromIsrael bless your heart. May the world see what happens to you. God is not someone to test. 
Bless Israel! Bless Israel! BLESS ISRAEL!
I just wanna give our Jewish friends a big hug ..know that you have a great number of friends. God is good. 😬 Yeah you probably shouldn't of said those words. ☠️👻🤨 👋 C'est la vie",0.987,73
"LiberateAmericafromJihad

🇺🇸🇮🇱🇺🇸🇮🇱💪✡🕆

Death to Islamic terrorisem!! 
☠⚰☠🔥☠
https://en.m.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks",-0.6688,24
"Like these Jews being beaten by the kike police Ferdinand ?
https://www.youtube.com/watch?v=jbf-bM3AcPk",-0.168,12
Live Long Israel !,0.0,4
"Lmao all what I hear from that orc mouth is democracy peace human right lol all what he is spitting out from his orc mouth is the opposite. Isis = mossad why Isis never TRY to attack Israel? Lol 
Israel is the ultimate criminal state ever created. How can a human being with half brain can believe that orc.",0.921,63
Long live Israel!,0.0,4
"Maybe not now, but you will. Do you know where your worthless bills of credit are ?",-0.1154,19
"Model Lee Levi 👈👈👈

""For nothing is hidden which will not be revealed, nor secret which will not be known and come to be revealed.""",0.0,31
"NATO &Israel deplomecy relationship is consolidate alliance. NATO has elite special forces. Israel defence force has superb war experience. They have to political partnership & good MILLITANT exercise. Today,many countries doesn't like Muslim terrorists. (bomb explosion) .so dangerous. Palestine Hamas is not political committee. it's terror citizens troop. Hezbollah (Lebanon*)is radical Islam terror army. It.s not peaceful. Iran support many terror troop (rocket &missile) . Even though Jerusalem is eternal capital in the israel. Turkey is most hub important militant base of nato(Last year) . but today turkey don't want NATO airforce base (incilic city airforce base  ).Turkey country wants leave u.s.a airforce combat jet (f15 strike eagle&strategy bombers ) from turkey south area province.  They are not Europe Union. turkey is just Islam country. Turkey doesn't like Israeli foreign affairs &deplomecy relationship of middle east. Even so Jerusalem is eternal capital in the israel. After 10years,probably turkey will attack  Israel country.(someday) . Iran &turkey prepare massive new mideast war (5th Israel middle east war) . Iran provide Yemen against government citizens troop. (missile) . Yemen against government citizens army fired missile to Saudi Arabia capital Riyadh (Muhammad king palace)so Saudi  Arabia attacked Yemen country area (last year) . Saudi Arabia is Sunni Islam country. Iran is Shiite Muslim country. It.s different. Saudi Arabia foreign minister Adel jubeir says "" Iran is not our Islam country. They are not middle east country (gulf area)"".Iran is so dangerous. They had proxy war in Yemen &syria . Israel do not want middle east war. but they will preemptive offensive each other.",-0.9952,336
NATO needs to be crudified .. But i am sure someone in NATO will veto any such move !!,0.4374,20
Nato doesn't impress,-0.3412,3
"Netanyahu is correct in that Islam is the problem ?
Kay ??? Earth to hamster please come in, zionism is the problem since it was created in 1897.
Rothschild financed.",-0.4696,35
"Netanyahu is correct in that Islam is the problem. As a statesman he is ""forced"" to use terms like radical Islam, but in reality everybody knows that wherever any type of Islam settles, then sooner or later the radicalizing begins and the radicalized Muslims will use the peaceful Muslims as their front and even sacrifice them in their ""quest"" for Allah. Thus if the Islamic leaders are allowed to rule, the middle east will remain in chaos, but If they would lose their power (first their religious power), then countries like Iran would in fact prosper and benefit Israel and Europe and why not even Russia and America. Perhaps the key to such a change would be the young people. If they would have a way to stand up against Islam publicly, it could shake the whole Islamic establishment in the Middle east. You could say that they have the numbers already, in that millions of young people constantly show that they would much rather live their lives in peace than join any militant Islamic cause. What they lack is the voice and unity to rise up against persecution at the same time. (I'd say that they would need literature and unifying things that give their numbers the real power to stand up at the same time and not fear, knowing that when one of them does it, millions will follow right away. )",0.8702,258
"No luck involved, hijack the central bank, hijack the society.  USA hijacked by kikes Dec 23, 1913.",0.2023,22
"Patriots For Israel what an ignorant . I have not wished death to Israelis . That’s the difference between You roach like you and I . 
We are all human bothers and sisters . No matter your race or your religion. 
But I have zero tolerance for Israeli policy gouvernement.",0.4303,54
Prime minister Netanyahu is wonderful international leader. i respect his opinion. He is good communication leader. He is my superb opinion (foreign affairs &deplomecy relationship national security) . I support him forever. Israel is holy land in the world. Israel country has biblical historic culture minister. God loves israel.Israeli defence force will easily win. God bless Israel &prime minister Netanyahu. toda!,0.9862,74
Respect To Israel Hebrew Jews And Your Land 🤨 https://www.youtube.com/watch?v=IzlQYVY0KDU Grupo Codiciado - Gente De Accionar (En Vivo 2015) https://www.youtube.com/watch?v=4lXzX1S9hkk Sins of father: Netanyahu's son exposes unknown corruption schemes _______ Respect To Israel Hebrew Jews And The City Of David Becouse I Believe In G-D And Also Respect Palestine And Jerusalem,0.7319,54
"Seed of Abraham , not kikes OK.",-0.3465,8
"Swiss 20 Franc 1935LB - minted 1945, 1946, 1947 Kikeland est. 1948",0.0,15
The Crime Minister of Israel........thousands out marching against the Dictator.......where is Niki Haley calling for a security meeting in the UN......LOL,-0.2732,27
"The chosen are the seed of Abraham: whoever believes God's prophecies and survives because of it.
Galatians 3:6 according as *Abraham did believe God* , and it was reckoned to him -- to righteousness;
7 know ye, then, *that those of faith -- these are sons of Abraham* ,
8 and the Writing having foreseen that by faith God doth declare righteous the nations did proclaim before the good news to Abraham --
9 `Blessed in thee shall be all the nations;' so that those of faith are blessed with the faithful Abraham,
Psalms 118: 17 I do not die, but live ( *I am Immortal, I have life everlasting* ), And recount the works of Jah,
22 *A stone the builders refused Hath become head of a corner* .
23 From Jehovah hath this been, It [is] wonderful in our eyes
18 Jah hath sorely chastened me, And to death hath not given me up.
Habakkuk 2:4 Lo, a presumptuous one! Not upright is his soul within him, 
And *the righteous by his stedfastness liveth* .
18 What profit hath a graven image given That its former hath graven it? A molten image and teacher of falsehood, That trusted hath the former on his own formation -- to make dumb idols?
19 Wo [to] him who is saying to wood, `Awake,' `Stir up,' to a dumb stone, It a teacher! lo, it is overlaid -- gold and silver, And there is no spirit in its midst.
20 And Jehovah [is] in His holy temple, Be silent before Him, all the earth!
Acts 10:34 And Peter having opened his mouth, said, `Of a truth, I perceive that God is no respecter of persons,
35 but in every nation he who is fearing Him, and is working righteousness, is acceptable to Him;
Daniel 12:1  `And at that time stand up doth Michael, the great head, 
who is standing up for the sons of *thy people* , 
and there hath been a time of distress, 
such as hath not been since there hath been a nation till that time, 
and at that time do thy people escape, *every one who is found written in the book* .
2 `And the multitude of those sleeping in the dust of the ground do awake, 
*some to life age-during* , and some to reproaches -- to abhorrence age-during.
3 And those teaching do shine as the brightness of the expanse, and those justifying the multitude *as stars to the age and for ever* .
Acts 10:28 And he said unto them, 
`Ye know how it is unlawful for a man, a Jew, to keep company with, 
or to come unto, one of another race, 
but to me God did shew to call no man common or unclean;
Genesis 12:1 And Jehovah saith unto Abram, 
'Go for thyself, from thy land, and from thy kindred, and from the house of thy father, 
unto the land which I shew thee.
2 I will make of you a great nation. *I will bless you and make your name great. You will be a blessing* .
3 and *I will bless them that bless thee* , 
and *him that curseth thee will I curse* : and in thee shall *all* (not only Jews) the families of the earth be blessed.
Matthew 21:39 and having taken him, they cast [him] out of the vineyard, and killed him ( Psalms 22 = *Jesus* = *The king of Faith* );
40 whenever therefore *the lord of the vineyard* ( *Jehovah* ) may come, what will he do to these husbandmen?'
41 They say to him, ` *Evil men* -- *he will evilly destroy them* , and the vineyard will give out to other husbandmen, who will give back to him the fruits in their seasons.'
42 Jesus saith to them, `Did ye never read in the Writings, 
*A stone that the builders disallowed, it became head of a corner* ; from the Lord hath this come to pass, and it is wonderful in our eyes.
43 `Because of this I say to you, that the reign of God shall be taken from you, and given to a nation bringing forth its fruit;
44 and he who is falling on this stone shall be broken, and on whomsoever it may fall it will crush him to pieces.'
45 And the chief priests and the Pharisees ( *those idolators priests* ) 
having heard his similes, knew that of them he speaketh,
46 and seeking to lay hold on him, they feared the multitudes, seeing they were holding him as a prophet.
Exodus 20:2 I [am] Jehovah thy God, who hath brought thee out of the land of Egypt, out of a house of servants.
3 `Thou hast *no other Gods before Me* ( do not worship any creature, neither the messengers (angels or my son Jesus), 
do not worship / pray to any creature).
4 ` Thou dost not make to thyself a graven image, or any likeness which [is] in the heavens above, or which [is] in the earth beneath, or which [is] in the waters under the earth.
5 *Thou dost not bow thyself to them* , *nor serve them* : for *I, Jehovah thy God, [am] a zealous*  God, charging iniquity of fathers on sons, on the third [generation], and on the fourth, of those hating Me,
6 and doing kindness to thousands, of those loving Me and keeping My commands.
7 `Thou dost not take up the name of Jehovah thy God for a vain thing, for Jehovah acquitteth not him who taketh up His name for a vain thing.
8 ` *Remember the Sabbath-day to sanctify it* ;
16 `Thou dost not answer against thy neighbour a false testimony.
Isaiah 66:22 For, as the _new heavens and the new earth that I am making_ , Are standing before Me, An affirmation of Jehovah! So remain doth your seed and your name.
23 And it hath been from month to month, *And from sabbath to sabbath* , 
Come do all flesh to bow themselves before Me, Said Jehovah.
24 And they have gone forth, And looked on the carcases of the men ( *those idolators priests* ) 
Who are transgressing against me (My above commands) , 
For their worm dieth not, And their fire is not quenched, 
And they have been an abhorrence to all flesh!
Mark 9:44 where there worm is not dying, and the fire is not being quenched.
Mateo 5:17 `Do not suppose that I came to throw down the law or the prophets -- I did not come to throw down, but to fulfill;
18 for, verily I say to you, _till that the heaven and the earth may pass away_ , one iota or one tittle may not pass away from the law, till that all may come to pass.
19 `Whoever therefore may loose one of these commands -- the least -- and may teach men so, least he shall be called in the reign of the heavens, but whoever may do and may teach [them], he shall be called great in the reign of the heavens.",0.995,1441
"The kikes have been running USA into the ground since Dec 23, 1913.  Its unfixable.",0.0,18
The number one threat to world peace is the kike central bank creating wealth out of thin air and subverting the US constitution currency laws.,0.7003,26
The number one threat to world peace: islamic terrorism. I have a feeling this has something to do with Islam.,-0.5719,23
The only currency I care is the eternal one: Torah and mitzvot,0.4939,13
Turn off your Jew owned news !!!  Jews are the real threat to America . They been fucking Americans for ever!!!,-0.6776,26
Why You go and suck off each other too !!!,-0.5826,12
"Yeah, I remember the dancing: https://www.youtube.com/watch?v=oMOZvbYJMvU",0.296,8
Yuck.,0.0,2
dream on jew!!  and the holocaust never happened !!,0.4885,12
fuck israel,-0.5423,2
fuck israel BDS!!!  fuck those terrorist khazars!!!,-0.9309,13
"fuck jews , all of them",-0.5423,6
http://s2.quickmeme.com/img/56/5606dd2263610079c5e4a68cdf2eef9e7ce93906ad9b530d6538af1bbb9fd7de.jpg,0.0,1
https://memegenerator.net/img/instances/500x/48883107/i-can-feel-your-anger.jpg,0.0,1
https://www.youtube.com/watch?v=TWxO4ApkhSU American people are you watching ?,0.0,7
"israel is a terrorist welfare state that couldnt survive on its own  with out sucking the blood out of the American tax payers , 15 billion a year.",-0.6908,29
israel needs a nuke to those stingy jew terrorist !!!,-0.8472,12
"mossad is ISIS  , notice how they never attack israel? Lol ,,,,,,,,,,,,dumb goys wake up",0.0572,19
shalom! Godbless the state of Israel and the Jewish People.Thank you Pm Bibi Netanyahu you are such a blessing to Israel.Love Israel and praying for it's peace daily.Am Ysrael Chai.,0.8588,32
"‘Bro, my dad arranged a $20bn show for you & you can’t spot me 400 shekel?’ – Bibi’s son’s alcohol-fueled boasting recorded:  https://queenofbritain.livejournal.com/32056.html",0.0,35
