,sentiment,wordCount
"""Everything"" is your answer",0.0,6
*EVERYTHING IS WEIRD AND TASTELESS IN EUROPE* SAY 70-80%.,-0.347,13
5:24 That poor car... If it does get squashed.,-0.4767,11
A lot of this isn’t as off putting at you make it out to be,0.0,17
Actually Brits have better dental hygiene then the states no one knows why that is so common,0.1779,17
"Actually carrying a gun in Serbia is highly regulated, to the point of only seeing them only carried by police men",-0.34,22
Actually it was found in a medical paper tho i cant remember the name of it that in the past dental hygiene in the UK was terrible but has now risen to one of the best in the world oh and I know it's a shocker to Americans but Europe is not a country heck most us brits would not consider ourselves even European!,0.63,65
"Advertising is different between US/Canada and, at least part of Europe. It is illegal to name/downplay competition in your ads in Europe. It is also banned to show or talk about any commercial brands in news or any TV shows. For example you can't have a talk show and have a Pepsi cola on the table. It is considered illegal advertising.",-0.8807,71
Also the imperial system is super dumb.,0.1531,8
"America is not a country either officially, But the US generally calls the US America, while a lot of people call the EU, Europe, EU and Europe aren't the same either.",0.0,36
American News Is Comedy.  Thats A Fact.,0.3612,9
"American things Europeans find weird:

America(ns)",-0.1779,10
Americans' are the normal ones....,0.0,7
And I guess Europeans still use horse and cart. This video is so wrong it's basically rasict,-0.6113,18
And in Britain you can’t buy smokes aged 14! That’s ridiculous! Britain has sensible age restriction laws tooo,-0.6351,24
"Anonymous the Vatican is not fully recognised as a country, so not exactly. The Swiss have guns but they first need to go to some mandatory military time, and they are not allowed to have ammunition, with our special licence. Last, big boobs are appreciated but not a thing of obsession, like in the USA",0.9355,62
Are you always this loud?,0.0,6
"As a Brit I can tell you it's weird that an anti-globalist pro-prosperity barely scraped in to save the country from oblivion. 
And what's all this gender-fluid Antifa white guilt nonsense?
You can keep that!",-0.3802,38
"As a European I find US elections strange. It's like a show tbh. We go to the polls and by the evening the results are in and we have a president, unlike America where the election lasted for idk how long 😂",0.0772,45
"As a brit it quite strange  when Americans point out our ""bad teeth"" lmao. You all know that bleaching your teeth doesn't mean they are cleaner right? If it did, we wouldn't t have more teeth on average would we? Cos at the minute, brits aren't missing as many teeth as you lot over the pond. Guess we just don't really care about the aesthetics and just  would prefer to have a full set of teeth",-0.3204,84
As an american i couldnt STAND the portion sizes on drinks (non alcoholic) in Portugal xD and you have to pay to get another one like bro.....this is like a shot to me how am i suppose to enjoy this with my meal xD,0.9371,48
Atchaly dentists comforted British teath are better than American teath it's just a myth,0.6908,14
Bacon on pancakes. Why do you mix something savoury with something sweet like pancakes? And then drown the salty bacon in maple syrup. It’s just ugh.,-0.25,32
Basically none of this is true (I don’t find this weird) also we don’t call them commercials we call them adverts.,0.4215,28
Ben O'Keeffe really,0.0,3
"Britian has better teath hygene than usa, britain has the best in the world joint with i think germany",0.7964,20
But it was the French who invented the Internet...,0.0,10
"Canadian not European, but I think it is intensely sad that Americans feel like they need to carry concealed handguns and own semiautomatic rifles to protect themselves from others and their own government. What a terrible way to live your daily life",-0.4748,44
Check out our brand new channel! https://www.youtube.com/watch?v=xkWAfns6law,0.0,8
"Chicken? For breakfast?
That sounds unappetizing...
Unless of course if its something like sausages or ham :)",0.7059,20
Circumstition. Seriously wtf.,-0.6705,5
Cough lie,0.0,2
Could everyone please just stop arguing about whether America or Europe is better both have their own pros and cons.,0.0,21
"Credit cards is less used in the US than elsewhere, next time, use real info",0.3818,17
Danes have more flags than Americans. I sure of that.,0.3182,12
Do you even know what stereotypes mean ?,0.0,8
"Europe is so insanely diverse that there's some stuff they do in France that Germans would find weird.

Tipping is a nightmare too. In Ireland they have a tip jar and it's considered optional, in America it's pretty rude to not tip. In Austria you need to tip but handing back change is rude, you're meant to instruct them to hold onto a portion of the change.",-0.6428,73
European PUSSIES...!!!,0.0,6
"Europeans are weird, they hate tech.",-0.6597,8
"Europeans find American gun ownership scary. .... you know what I find scary?  That Europeans countries are so cucked and disarmed that their govt easily over runs their countries with savages from Africa that rape and rob and murder the citizens.
Now that's truly scary!  So long Europe, it was nice knowing you!",-0.9715,58
Every serb has a gun at his home . My father uncle grandfather  atleast a pistol.,-0.34,17
Except the fashion and teeth thing,0.0,6
"Except wrestling is very popular world wide not just usa... the uk especially enjoy it. And speaking of soap opera drama, i noticed in southern europe at least, dramas are like the number one shows ( they are shown during evenings when ppl are home rather than during daytime/work hours)",0.855,57
Forgot peanut butter. Europeans hate peanut butter,-0.5719,8
God the level of ignorance from this,-0.1027,7
Good ole u s of a,0.4404,6
"Guns r good to have. They deter government tyranny. Look at any number of European nations that have multiple revolutions and you will see that a lack of an armed populous was a major cause of this. Notice again how the USA has only had 1 revolution, and it was against Britain, not itself. Guns aren’t for self defense or fun, although those are also advantages of having them, it’s for deterring the government from taking control of our lives. Also anyone that says “guns cause no good” even after I just explained why we need them, they also stop up to 2 million crimes per year in the USA (msnbs article source)",0.5859,131
"Haha! Like Europeans matter, at all. Ever.",0.7088,11
Hahhaha usa is UK’s son,0.0,7
Here in Europe you cant buy drinks after 8 PM or 9 PM,0.0,13
"Hey, with the WWE thing, didn't that stage fighting thing come from Italy and Spain and has it's roots in bullfighting and commedia delarte? I think I saw something about that.  So yeah, WWE is just an American version of old timey jester shows and whatnot.",0.5578,52
Holy shit im triggered,-0.5574,4
"How are big lips and breasts a fashion weird? It's genetics, not a fancy hat you take on and off.",-0.1779,23
How can Americans eat so much I tried ONE American pancake I was bloody full!,-0.4926,16
"Huh... people die by guns... how can people defend themselves from guns... BY OWNING GUNS THEMSELVES!
Wait? Gun murders increased??? WELL MORE GUNS TO DEFEND THEMSELVES WITH!!







Why can't we just ban guns worlwide...





And go back to swords",-0.7414,50
I disagree with this list,-0.3818,5
"I don't care that they are big, have big things, are nationalists or have guns.
WHY TF DO THEY STILL USE THE IMERIAL SYSTEM? NOBODY UNDERSTANDS ANYTHING WHEN YOU SAY X°F, OR X Ft, OR X LBs FFS",-0.7998,46
"I don't really eat much, every American is different,you all will probably be saying something about me being mad (go ahead)

So please don't go on and saying, oh this is what ""Europeans"" think is weird that Americans do,not everyone does those things and yes i do agree on mostly everything because its just dumb for some things and some things are to keep us safe and most are just out of the picture for some Americans,the ID thing i really get it but then i don't, some things are just so stupid, you can't compare places, every place is unique in there own way(if it's weird or not)also you all think that America is so obese,it might have much people like that,but not everyone is.the food portions to the restaurants i go to *aren't* so big,which is what i like about those restaurants",-0.2151,171
"I don't see how any European can hate WWE yeah we get its not real but 50% of the UK are sports fans the UK barely gets any WWE events thats why they have local promotions such as Progress,ICW,OTT,RevPro & more",-0.1901,48
"I don't think there is anything ""weird"" about Europeans but I do find it interesting how people from Liverpool sound",0.5499,22
I don't understand any of these things either and I'm an American,0.0,12
I don't understand what he is talking! The way he talks makes me dizzy. Goodbye!,-0.3578,18
I find it weird how many foods in america are so sweet. It seems that even bread and stuff that should not be sweet just are.,0.7925,28
I find it weird that Europeans find this stuff weird.,-0.34,11
I find it weird that you haven’t banded freaking guns yet,-0.5423,13
I find it weird when u land in a plane full of Americans they all clap and cheer as if there was something wrong with the plane but in fact it was never going to crash I’m English,0.3893,40
I find strange pizza with pineapple that an offense for us italian some italian youtuber made an experiment meant where delivery guys delivered pizza with pineapple to client the delivery guy was punched kicked and insulted,-0.7269,36
"I found it a little strange that a lot of the comments were asking people to respect other cultures and then the next are people complaining about things Americans or Europeans do. I don't think it's wrong of us to think other cultures are weird, everyone is entitled to an opinion after all, it's only wrong if you constantly go out of your way and call out the lovely folk elsewhere on their dressing or their food habits when we ourselves aren't at the best we could be. And to stray off the topic a bit, wouldn't Americans technically include all of South/Central/Latin/North America? I live in the US and even I don't like the term American for the US, its like saying the other nations aren't a part of the continent they kinda live on.",0.5443,150
