,sentiment,wordCount
# Release the memo,0.0,4
#NODACA  #DeportIllegals #NoAnchorBabies #TrumpsBan #AmericaFirst #AMERICANDREAMERS #MAGA  Come LEGAL like I did ! #Cuban4Trump #FakeNews #BIASMEDIA #SOCIALISM #LIBERALS #progressiveDemocrats #SAULALINSKI #FASCIAST,0.6155,21
"#STOPHUMANCLONING 

http://astral7ight.blogspot.com/?m=1",0.0,2
#SchumerShutdown,0.0,1
"#Schumershutdown
#Releasethememo

Sad that democrats care more for illegal immigrants than American citizens!",-0.6212,14
#trumpshutdown,0.0,1
*Barack Obama,0.0,3
"- Inauguration (Jan 20 2017)
- Shutdown (Jan 20 2018)

This will all go down in history. I can't believe that in the year 3056, kids will read about the Donald  Trump and the most embarrassing presidency yet.",-0.4391,45
"1st. republicans control EVERY branch of government, a shutdown with a 1 party rule has NEVER happened before. 2nd, not even EVERY Republican agreed on the bill, 3rd there was a bipartisan deal made up and TRUMP rejected it TWICE. the Democrats have literally no blame for this. Maybe if the Republican party could learn to compromise better then the Democrats would have voted for it. I'm not a Democrat nor Republican. DACA HAS to go on.",0.3612,87
"1st. republicans control every branch of government, a shutdown with a 1 party rule has never happened before. 2nd not even every republican agreed on the bill, 3rd there was a bipartisan deal made up and Trump rejected it twice. the democrats have literally no blame for this. Maybe if the republican party could learn to compromise better then the democrats would have voted for it.",0.3612,73
26magicman26 samd,0.0,2
26magicman26 you dont leave your road i bet,0.0382,8
44 out of 49 Senate Democrats voted to shut down the government then blame it on republicans and Trump for shutting down the government.  DACA doesnt expire until March 5th.  No reason for Dems to demand DACA to be tied to the  bill to keep government funded,-0.6249,49
"44 out of 49 Senate Democrats voted to shut down the government,  Shame on Trump for not convincing Dems to put US citizens ahead of illegal immigrants",-0.8384,28
"5 years ago

Democrats: ""Shutting down the government to get what we want would be petty and childish.""



Today

Democrats: ""Give us what we want or we'll shut down the government.""",-0.0516,39
"A GIANT waste of money. Thank you Trump and Republicans. I remember in 2013, last time the Republicans had shut down the government I was kicked out of Zion in Utah along with hundreds of tourists from around the U.S and world.",-0.0772,48
A billion a day is a small loss for the all mighty powerful government,0.128,14
ACSHUALLEE!!,0.0,3
Actually the governor of Arizona is keeping the Grand Canyon open because it's such a huge tourist destination,0.6486,18
Adam Gronemeier *OBSTRUCTION IS THE DEMOCRATS MISSION FOR THE NEXT 7 YEARS*,0.0,14
Adam Gronemeier my last comment also goes for you,0.0,9
All I heard was  'Grand Canyon'.,0.4588,9
All these far right dudes are annoying af,-0.4019,8
"Alright, this is our chance. Purge and Anarchy.",0.4588,11
And I don't get my paycheck this month fuuuuuuuuuuuuu,0.0,9
Andy Zimmerman Well maybe Democrats don’t want to pay for a wall because that will mean higher taxes and they will end up paying for it plus a lot of their money will go to red states that receive the most federal dollars.,0.25,46
Are you a dreamer? Do you wanna go back to where you come from?,0.0,16
Are you calling me conspiracy theorists? Because this planet needs a world government; nation states are too divided to do anything that can have real impact on the rest of Humanity.,-0.5267,34
"AwesomeGuy Let me see, all Republicans voted for it an not one Democrat. Takes 60 votes in Senate, only 51 Republicans. As with the tax bill not one Democrat voted for it. Reasons: they despise President Trump because he is exposing them for what they are, they don't want to give up the illegals because they will lose voters, the care not for the American people nor this country.",-0.4976,78
AwesomeGuy do you? They voted against the new budget! They couldve just voted yes and then tried to change it later but NOOO vote no so we have something to blame on republicans and *trump*,-0.6533,39
BS you know what really happens? They stop spending our money for a few days. Win win as far as I'm concerned. No amnesty.,0.6041,28
BUILD THE WALL,0.0,3
Basically nothing important happens. Government isn't important.,-0.2924,9
"Batman that seems to be his point, that no one really cares",0.2716,13
Beautiful! Truth is strong in this comment section. MAGA,0.8687,11
"Believe this is more fake news because the parks will remain open but our military won’t get a pay check while they are still doing their job. Wait but congress gets a pay check, why?",-0.5262,40
"Big If True 

Not yet",0.4215,5
Build the wall!,0.0,4
"By your videos, you're clearly gullible 
Please education yourself
Best regards - The rest of intelligent humanity (sorry if big word) 👍",0.8658,25
