,sentiment,wordCount
"""Operation Northwoods, look into it"" - Eddie Bravo",0.0,11
#FreeNikolasCruz,0.0,1
#freenikolascruz,0.0,1
1 like = 1 fuck Nicholas,-0.25,6
"17 lives for 1? No, kill him",-0.7845,9
"Ah, everyone making it about race. Typical.",0.0,10
All I see when I watch this video is strictly female professionals. Am I the only one to find this peculiar?,0.1901,23
All things aside......the judge is banging 👌👌👌,0.0,11
"America and their stupid lax gun laws. When will they ever find a solution? Tragedy after tragedy, yet, nothing is achieved. Students are inconsequential to them- if a person shot the politician/the president’s children, THEN they will pass up a bill on gun control",-0.9403,55
Another moron who can buy a gun in his dinner hour,-0.6808,11
As a human i feel both the need of killing this animal and also saving . But an example must be made of these psycho criminals . We just can't be fully sympathetic to a person like this taking into consideration the sick mental condition . What is happening to these kids man ? It's just sad ...😔,-0.9425,59
"At first I wanted him to be executed, but now that I think of it, death is too easy for him. He needs to spend the rest of his life in a tiny ass cell and rot away his years for the rest of his life.",-0.8047,50
Bad  boy  How  could  kill  people   I  hope  you  stay  in  jail  until  you  50  years,-0.743,16
Bad shooting school not like like that we will get trouble,-0.8563,11
Better yet lets try that torture method on you 1st and see how long you last.  Assuming you are not a coward.,0.123,24
C/O's should get a hold of him. Apparent suicide by hanging in his cell.,-0.6705,18
Can everyone please stop commenting about how hot the judge is,0.0258,11
Cant use this troubled pass as an motivation on everything good he does smh,-0.128,14
Category: Entertainment,0.4215,3
Cruz needs a lawyer? He needs a gas chamber,0.0,10
Dam that judge is hot.,0.0,6
"Damn just look at him... he could barely look up and into peoples face... his whole face shows it all. The kids life is ruined and it couldve been so much better for him if he chosen a different path. I dont feel bad at all for him, he decided his own path and this is what he gets. Hes paranoid and his whole life is gonna be haunted. Its crazy how people can be... world peace can never exist. Smh",-0.2046,90
Damn that judge is hot.,-0.4019,6
Damn the judge is fucking hot what’s her name,-0.4019,11
Damn this nigga did a solo squad and got 17 kills he's pretty good lol,0.4019,15
Death by gas chamber,-0.5994,4
Death or life please. He does not deserve to walk these lands anymore.,-0.3818,15
"Debería pagar con su vida, para dar ejemplo a cientos de personas que en este momento están planeando eventos similares. El ejemplo es el que educa.",0.0,29
