,sentiment,wordCount
"*77 likes and this is on trending??!!!!* 
I’m triggered! TRIGGERED! TRIGGERRRREEEDDD!",0.6517,23
*Ad,0.0,2
"*black culture is pure death*
*IS THIS WHAT CHRIST DIED FOR, NO*

Isaiah 66:23-24 KJVS
And it shall come to pass, that from one new moon to another, and from one sabbath to another, shall all flesh come to worship before me, saith the Lord . 

[24] And they shall go forth, and look upon the carcases of the men that have transgressed against me: for their worm shall not die, neither shall their fire be quenched; and they shall be an abhorring unto all flesh.",0.2614,103
+Koopa High how I'm I a hypocrite?,0.0,9
"+Trey Diggz I know for a fact it's death.
the black woman is the number murder of blacks.

why are you mad at the cops for killing, but your queen of death you are not mad at?",-0.9618,42
"1 Corinthians 6:9
KJV
Know ye not that the unrighteous shall not inherit the kingdom of God? Be not deceived: neither fornicators, nor idolaters, nor adulterers, nor effeminate, nor abusers of themselves with mankind,

New International Version
Or do you not know that wrongdoers will not inherit the kingdom of God? Do not be deceived: Neither the sexually immoral nor idolaters nor adulterers nor men who have sex with men",0.4494,79
"3.6k views, number 10 trending................. Mhmm.",0.0772,10
"4K views....#10 on trending.

Right.",0.0,9
"?? 😕😕😕wtf? There IS NO hip-hop in atlanta. The only shit the south contributed was wack ass crunk bs, unintelligent trap yap, and some weak incoherent mumble...",-0.957,36
@Freddy   your life your choice.,0.0,6
"@Mark Lopez   ""jews"" they are not! But they are Jew-ish! not the same.
you are correct, but they only give you the means to destroy yourself. you MUST eat what they have given to you for it to work! 

so, why do negros keep eating death!",-0.9227,56
@Prahalad Kangeyan  tell that to the incubus that rapes you in your sleep!  just saying!,-0.7256,17
Adam Egit is worried this show will make people think Stalin was worse than Hitler.,-0.6486,16
"Another broke ass, low expectation, ""black"" movie. We need to start demanding MORE from what we spend our time and $ on.",-0.8519,28
"Arima I understand. but even negro with degrees are destroying the community. look at all this collage educated black women  pure death they say, black man are worthless.... no good... bad fathers.....

these educated hoes are worse then the project hoes. at least the project hoes can say their uneducated.

them educated negros got an ego the size of the universe.",-0.9749,70
Before I read the comments I said the same thing lmao .,0.5994,12
"Bitch makin it rain 
MEANWHILE...
a hungry child aching in pain...
Fuck these commercial studio brats yo",-0.8885,19
Boo this man,0.0,3
"Bow wow - if the ones don't stick to them, they ain't working hard ennough 

I expected better from this fool 😐",0.6244,23
"Bow wow ain't *""growing up hop""* when your GROWN ASS IS 30",-0.1111,16
Bow wow is so cringe worthy 🙄,0.7893,7
C Major808 Says the one with a racist profile. Fuck off honky.,-0.8176,15
"CHRISTINE MATHEWS Isaiah 66:23-24 KJVS
And it shall come to pass, that from one new moon to another, and from one sabbath to another, shall all flesh come to worship before me, saith the Lord . 

[24] And they shall go forth, and look upon the carcases of the men that have transgressed against me: for their worm shall not die, neither shall their fire be quenched; and they shall be an abhorring unto all flesh.",0.7493,88
CHRISTINE MATHEWS this comes on TV,0.0,6
Cult-ure,0.0,1
Damson thats TUFF,0.0,3
Do you see how  bow puppy is looking at the strippers? It's like dude is hypnotized or something SMH but all these celebrity brats are the worst children I have ever seen,-0.7855,33
Eddie R I don’t think I asked for your worthless opinion.,-0.4404,14
Eddie R I know you are,0.0,6
Eddie R okay but you can’t beat me in a fight so shut up.,-0.4497,17
Emily Oberg yas bow wow produces it lo,0.5859,8
Everything isn't  hating there young like u I'm  tired of seeing the young generation acting this way its pointless,0.3187,19
Fuck God and you evil Jesuits.,-0.7783,7
Fuck me people watch this shit.,-0.8294,7
Fucking garbage music,0.0,3
Gross,-0.4767,1
Growing up ghetto*,0.1779,4
Growing up ghetto.,0.1779,4
HIV section you mean.,0.0,5
Heyyy.. Where's the full episode upload for this???!,0.0,13
How primitive.,0.0,3
I hate how it makes Zonnique seem like she never been to the strip club before she be going since she was 18 🤔 this show trash 😂,-0.296,28
"I have been getting paid 86 bucks per hour from completing an online web work from home... My neighbor shared with me methods how she is averaging close to 4 thousand dollars on a monthly basis by doing a work she discovered online... I felt indeed shocked and have decided to try out... Nowadays i feel very graced she revealed to me this, and would certainly tell about it to everyone to have a go... Here is what i do>>M­­a­­x­­7­­0­­­.­­­c­­­o­­­m",0.2716,116
